scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
B,oracle_B,gaussian,poisson,gaussian,poisson,0,7000,7050,0.16025695749051952,0.14022293711162306,-0.020034020378896455,0.8749881397187911,0.5929217783496425,0.522885331967155,-0.07003644638248752,0.3033667937621941,0.30787655385808593,0.004509760095891824,-1961.7623419226013,-1791.8835154672524,-10036.253508664797,-1961.7623419226013,8074.491166742196,-8971.975912116675,-1791.8835154672524,7180.092396649423,0.4664964210634369,0.48504568642824136,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,1,7100,7150,0.15561468839438514,0.14351235309931362,-0.012102335295071515,0.922228837007984,0.5675026754924025,0.4674553154149455,-0.10004736007745701,0.3112291276270477,0.3132972350421223,0.002068107415074627,-2715.3328340639205,-2610.4969582174367,-10997.156801552697,-2715.3328340639205,8281.823967488777,-9385.487305605036,-2610.4969582174367,6774.9903473876,0.49176899113920153,0.48577969320577263,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,2,7200,7250,0.16952170604137554,0.13704105618203416,-0.032480649859341376,0.8083982835129458,0.6655042522526838,0.5460546434730486,-0.11944960877963529,0.307100740983318,0.31074418241945384,0.003643441436135819,-2120.6892990814704,-1862.0028485716841,-11013.332303965444,-2120.6892990814704,8892.643004883974,-9601.86119346787,-1862.0028485716841,7739.858344896186,0.46703274421262736,0.499195308446121,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,3,7300,7350,0.17421541981093916,0.1361486114986385,-0.038066808312300665,0.7814957576452689,0.6473882282338799,0.4603585631090005,-0.1870296651248794,0.3089856867292403,0.3101276644307149,0.0011419777014745613,-3167.2982650091935,-2915.6837996568825,-10423.926381604166,-3167.2982650091935,7256.628116594972,-9627.34547602595,-2915.6837996568825,6711.661676369067,0.462453006067881,0.4947185192759846,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,4,7400,7450,0.15305992896328044,0.13576615200423264,-0.017293776959047796,0.8870130342005018,0.5798385837395029,0.5017733563553701,-0.0780652273841328,0.31341145339360993,0.3174697421944734,0.004058288800863452,-3380.9507843276588,-3258.1949053673593,-11886.38466151353,-3380.9507843276588,8505.433877185871,-10953.8463936525,-3258.1949053673593,7695.651488285141,0.49225424139043117,0.4983207821805129,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,5,7500,7550,0.15586358921186774,0.14221607215025586,-0.01364751706161188,0.91243935077704,0.511652062517917,0.45890723824160834,-0.05274482427630861,0.2971576097590916,0.3030701776370637,0.005912567877972064,-3064.89830131192,-2955.2237724416073,-11371.11222903156,-3064.89830131192,8306.21392771964,-10708.481819291497,-2955.2237724416073,7753.25804684989,0.4899506081837318,0.494041367222447,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,6,7600,7650,0.3332544223009338,0.14010052349374644,-0.19315389880718734,0.42040109333413,1.2878431329109994,0.7290453472235889,-0.5587977856874105,0.3046670365,0.30369629246295815,-0.0009707440370418374,-2471.3582858834584,-1166.6777665568516,-9850.537966771772,-2471.3582858834584,7379.179680888314,-9005.588906059533,-1166.6777665568516,7838.911139502681,0.38451791886521,0.48528615450641266,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,7,7700,7750,0.15209658166833534,0.13250867827203722,-0.019587903396298123,0.8712140458290386,0.5824406676851602,0.5334385042122405,-0.049002163472919746,0.31240007678891973,0.31693821841840586,0.004538141629486125,-3536.7654985717572,-3418.0457504556593,-11493.462289824713,-3536.7654985717572,7956.696791252955,-10775.075662417383,-3418.0457504556593,7357.029911961723,0.48254756373244545,0.48751321445616513,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,8,7800,7850,0.1643576318417543,0.14805556696617772,-0.01630206487557659,0.9008134596921399,0.5638949752396085,0.5084763642334138,-0.05541861100619472,0.3163185154314624,0.319202358129631,0.002883842698168604,-3359.5788258454604,-3258.4124476678626,-11697.892057093346,-3359.5788258454604,8338.313231247885,-10919.362801807849,-3258.4124476678626,7660.950354139986,0.4911699532869746,0.4868059417336782,True,True,,,Scenario B oracle (correct family)
B,oracle_B,gaussian,poisson,gaussian,poisson,9,7900,7950,0.156942064192861,0.1430572041650176,-0.013884860027843393,0.9115287536247724,0.5173926111714701,0.468337243283076,-0.04905536788839404,0.30165912676492107,0.3049598025664295,0.003300675801508446,-3429.2848906052122,-3332.435282646517,-11417.554930054739,-3429.2848906052122,7988.270039449527,-10794.272617467488,-3332.435282646517,7461.837334820972,0.48616908512719453,0.4838326936259243,True,True,,,Scenario B oracle (correct family)
