scenario,true_x_dist,true_y_dist,estimated_x_dist,estimated_y_dist,trial,seed_data,seed_model,n,d,k_true,k_est,L,iterations,rmse_z,rmse_f,rmse_x,rmse_y,q_value,w0_est,w_est,nan_occurred,nan_count,is_oracle_condition,is_conventional_like_condition
B,gaussian,poisson,gaussian,bernoulli,2,6200,6250,150,15,3,3,5,8,1.3167427777588325,308088.59267031285,0.9752271877732505,0.5308861340345236,118321.6602849141,17.815508190716763,4.499996114628464,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,3,6300,6350,150,15,3,3,5,8,1.0395873510002844,0.24227285253711955,0.7160117632144372,0.5334309747630313,115666.29492672192,17.815505562097186,4.499982351223525,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,4,6400,6450,150,15,3,3,5,8,1.188909165655481,126083.17973035501,0.9184322525637002,0.5339912538102288,105935.270621955,17.81549859589094,4.499914056607265,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,5,6500,6550,150,15,3,3,5,8,1.0090338797311504,0.20636684855956822,0.7081182123071323,0.5286947752819241,119048.41919471312,17.81548508503312,4.499867374976558,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,6,6600,6650,150,15,3,3,5,8,0.9654568454332276,0.18552077859979105,0.6867769034131381,0.5284829344906808,112618.1222369567,17.815444195357923,4.499551732423908,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,7,6700,6750,150,15,3,3,5,8,1.023385211674177,0.20087513596413595,0.7584992641406326,0.5277261761393631,118662.6180261119,17.815480473384582,4.499888673387322,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,8,6800,6850,150,15,3,3,5,8,1.2374897472156006,11865403.708399706,0.8378884859640523,0.5324752706987941,108456.90936338513,17.815509141988727,4.499998605464616,False,0,False,True
B,gaussian,poisson,gaussian,bernoulli,9,6900,6950,150,15,3,3,5,8,1.1383146635127759,0.32303951368571165,0.8162478152872675,0.5313686040816602,115034.3378036004,17.815499376188654,4.49996590428094,False,0,False,True
B,gaussian,poisson,gaussian,poisson,0,6000,6050,150,15,3,3,5,8,0.12971803126451645,0.02559750599531346,0.3039062287164944,0.37799522789963336,-4422.961318546244,0.006354320741391563,0.49617164350125764,False,0,True,False
B,gaussian,poisson,gaussian,poisson,1,6100,6150,150,15,3,3,5,8,0.1334330408577472,0.023482339668181376,0.29808783588659243,0.41727814478085024,-3531.101798194012,0.00971030127938079,0.4996134758833219,False,0,True,False
