condition,y_obs_rate,trial,n_cols_used,n_train_pairs,rmse_Z,w0_err,w_err,train_y_ll,test_y_ll,train_y_rmse,test_y_rmse,nan_occurred,runtime_s,x_rmse_gauss,x_rmse_bern,x_rmse_pois
y_only,0.2,1,0,506,0.7835608620878135,0.010565787853985542,0.009862122452901356,-1.9940183765365125,-2.2282993941182276,1.9531733109618934,2.44437821700097,False,4.82,,,
single_gaussian,0.1,1,3,253,0.4521226510670055,0.012723793735062827,0.02339536820675603,-1.9780390304630575,-2.04122794385479,1.8567414977103973,2.0291576486958087,False,4.88,0.36346835050627246,,
per_column_all,0.1,1,9,253,0.3561284712242715,0.005667834652215875,0.033323560568543464,-1.9841530654102015,-1.9720237212933132,1.8741976447740232,1.8812685120322692,False,7.37,0.33818567173033304,0.45449105925270805,1.178480190307033
all_gaussian,0.1,1,9,253,0.7572111096280896,0.08402214234207706,0.10719465026394767,-2.1248341780839106,-2.1065487611439693,2.1355716689551265,2.15917233494665,False,4.78,0.5571460182944507,0.5218487483311256,1.5803275603052003
y_only,0.1,1,0,253,1.2318529874486392,0.005277139594761504,0.022308361639681307,-2.069189827392264,-2.436343917999328,1.979220909682022,2.810624512984812,False,4.76,,,
single_gaussian,1.0,2,3,2528,0.2543832022158549,0.005901740837295444,0.009523113336738498,-1.9974962854339033,-2.005253217197426,1.9319096206234414,1.9739338787653389,False,4.92,0.30864265659657625,,
per_column_all,1.0,2,9,2528,0.23206939540761176,0.005770765957505031,0.009230633784858222,-1.996110756217826,-1.9905687297559074,1.9231633233496683,1.9345867020507332,False,7.46,0.3065083468667617,0.4483804879870184,1.4047227391964188
all_gaussian,1.0,2,9,2528,0.24878305087682873,0.00612649519527686,0.008972160412062391,-1.997352335003673,-2.0001739009396795,1.9315399609382338,1.9618697795043292,False,4.75,0.3087825580891632,0.6678772329360971,2.3625815593077837
y_only,1.0,2,0,2528,0.31807455915048094,0.003712187329118821,0.008859994663336035,-1.9972879581658205,-2.0305936224847114,1.9249974150715798,2.0610578387180873,False,4.87,,,
single_gaussian,0.5,2,3,1264,0.3115025110590965,0.021664419569698,0.018990091532046005,-2.016764896796486,-2.0263086111130164,1.9667851855280016,2.0147368007190263,False,4.81,0.32564125102463776,,
per_column_all,0.5,2,9,1264,0.27368555098956,0.021344051889960802,0.016659342958912637,-2.0120537327885044,-2.022536894455132,1.941026045862921,2.062397129070381,False,7.32,0.3143071672098392,0.44927370727483634,1.396146892679065
all_gaussian,0.5,2,9,1264,0.3693746268160743,0.023346744345982717,0.018378907154656732,-2.014229371689362,-2.0604691679200977,1.9473300194847507,2.0761905025528726,False,4.87,0.4625083435678525,0.6485059905059524,2.3162412992398207
y_only,0.5,2,0,1264,0.5280959832579899,0.017245057737820257,0.017201403249424874,-2.0075238390229666,-2.13705642935448,1.9559352367183822,2.231395960965095,False,4.84,,,
single_gaussian,0.2,2,3,506,0.38756694656513146,0.0063351018398225545,0.006487544709864568,-1.9832855180639775,-2.0612827110262297,1.884379112417663,2.1326183921909103,False,4.78,0.3565504837192819,,
per_column_all,0.2,2,9,506,0.3083440796608325,0.012561812900612868,0.01225065001414899,-1.9913706538174238,-2.00916857606477,1.9028690017575114,1.9779601203104165,False,7.35,0.3283078271037753,0.44834410797315444,1.3297505596576114
all_gaussian,0.2,2,9,506,0.8408713418215092,0.07858784996882129,0.07689505681465428,-2.1035426233456547,-2.2185947122200127,2.1393092242796325,2.3424531313321615,False,4.69,0.8578008284891742,0.5055967874505932,1.8945767922095809
y_only,0.2,2,0,506,0.7763829085983687,0.015325094182076615,0.06058529663054393,-2.0297766134174,-2.2524837074203394,1.9777148909286597,2.411688417171126,False,5.15,,,
single_gaussian,0.1,2,3,253,0.45238428365449573,0.0009193075704843068,0.0037368241847430816,-2.0279068489856287,-2.1192386186438656,2.005296567704436,2.2983519093367493,False,4.97,0.40039652936844333,,
per_column_all,0.1,2,9,253,0.3305991947932792,0.007781266639201645,0.014737495991218041,-2.024166974897322,-2.0544550619700037,2.0044151571605453,2.1245861687475056,False,7.28,0.3346916283218644,0.4474583098659012,1.3790015469438657
all_gaussian,0.1,2,9,253,0.8605387980139262,0.10680438964541916,0.03156102422102208,-2.0957838662430426,-2.287582160618724,2.1448245599814006,2.487295895141279,False,4.86,0.8724786694290886,0.5110319347284324,1.9325569406073924
y_only,0.1,2,0,253,1.2202174730448696,0.0322492231336422,0.002857155160441327,-1.9818012046295632,-2.772576311475656,1.9802084989433881,4.641072115344089,False,4.82,,,
single_gaussian,1.0,3,3,2528,0.2088720131389568,0.011257028621916687,0.002582814508531872,-1.9592022772092834,-1.9944969005550264,1.8525658306031592,1.9509697910736712,False,4.78,0.2941833081100196,,
per_column_all,1.0,3,9,2528,0.19396672941351928,0.012099472504065956,0.0017920419808495902,-1.9583209278962903,-1.9937485494351144,1.8472023207175365,1.9595469352653825,False,7.38,0.2985574579740019,0.43173393351510464,1.41526228751242
all_gaussian,1.0,3,9,2528,0.20197916389699166,0.011499944823897268,0.00041389210141173916,-1.9580567792364647,-1.9917542151443097,1.8506647785508425,1.9359326183567118,False,4.73,0.29666989017147805,0.6498323555269147,2.859000652514472
y_only,1.0,3,0,2528,0.3092559958792656,0.010738806076293628,0.0022260438700239527,-1.9593336680482676,-2.035517057807748,1.8540082309161288,2.0739301808855553,False,4.71,,,
single_gaussian,0.5,3,3,1264,0.25710133552814574,0.020237327774045966,0.0051005503313154565,-1.9527719154092575,-2.0162557057349706,1.8307868601207558,2.0052651634894647,False,4.74,0.30480306458407147,,
per_column_all,0.5,3,9,1264,0.2377167592667946,0.01574180796231861,0.006163346095900135,-1.9560398493207198,-2.0079038397850146,1.8416767301498944,1.9898556943326606,False,7.28,0.3068785585351419,0.4312198627738604,1.29654970971148
all_gaussian,0.5,3,9,1264,0.26440806098454317,0.01658415266693347,0.0019250113451143025,-1.9536625324900754,-2.010598850709773,1.8256139387794639,1.9701574014289875,False,4.88,0.3279208754848403,0.6471143120313504,2.784869614652354
y_only,0.5,3,0,1264,0.4712616745256422,0.017333355586088395,0.0021039488421510377,-1.9541972133304308,-2.140535765290774,1.8085548524011548,2.317805494928721,False,4.88,,,
single_gaussian,0.2,3,3,506,0.39201608429481943,0.014290609801034249,0.028324972496161227,-1.9287194328233233,-2.0747318000488453,1.7699929783999604,2.1638804694272697,False,4.89,0.3540220405059735,,
per_column_all,0.2,3,9,506,0.33538892587198343,0.00016208144297991112,0.029720022561670556,-1.940953577126784,-2.0599218166204585,1.786956399319681,2.170906562004443,False,7.41,0.32989875681347514,0.43125300958999224,1.206320724261255
all_gaussian,0.2,3,9,506,0.8602837440968566,0.06790083017492177,0.10442177976251962,-2.0596986803693107,-2.1956303377968855,2.0608685972734606,2.426565646871028,False,4.99,0.5843843219249755,0.5047931854709246,2.5932995650683317
y_only,0.2,3,0,506,1.0169509798810121,0.011293440982608871,0.06446616753797682,-1.9387687331442343,-2.4324143873145965,1.8003886129045177,2.875027025682599,False,4.91,,,
single_gaussian,0.1,3,3,253,0.48027221108526835,0.0591453884672577,0.009609645212752815,-1.923696939394171,-2.136253458398781,1.829271540786243,2.243074674746255,False,4.96,0.38681790349117134,,
per_column_all,0.1,3,9,253,0.3581011073855143,0.03967676789311203,0.0038221436317625312,-1.9573626298055498,-2.088095094755146,1.9343478796023552,2.242852323590548,False,7.45,0.3258796574244768,0.4332753941382205,1.2441023003695237
all_gaussian,0.1,3,9,253,0.7343143649370257,0.12595334665623992,0.03147814588950887,-2.0280697417751257,-2.1841630053048022,2.065289246159488,2.3601557023504043,False,4.79,0.5582364481208023,0.5338130566198414,2.3985873459805567
y_only,0.1,3,0,253,1.2273831106064066,0.1066394043309653,0.02690784742774588,-1.956515443878976,-2.5896630804041862,1.8268448125555816,2.9633644983195273,False,4.85,,,
single_gaussian,1.0,4,3,2528,0.2508423386003055,0.009828674210679234,0.004209890413416462,-1.989728054799177,-2.0748878304636724,1.921322257768062,2.138877492562851,False,4.74,0.3136434400437195,,
per_column_all,1.0,4,9,2528,0.23346263636024286,0.01062411721001455,0.007499935135601543,-1.9932305243854225,-2.0801900404166633,1.93630404999099,2.1776902447711755,False,7.51,0.3028921516043459,0.43297922901900443,1.2638315064219596
all_gaussian,1.0,4,9,2528,0.24433314922236707,0.009701812581095925,0.01008182758951054,-1.9935512445312755,-2.0812333897627244,1.93672912354702,2.1765134141428715,False,4.83,0.30249537987770875,0.6355402304972787,3.139810929136328
y_only,1.0,4,0,2528,0.31990661650362046,0.010565016902972735,0.009793762960834451,-1.9954694388700236,-2.120258723665816,1.9430148275760373,2.291902209310287,False,4.81,,,
single_gaussian,0.5,4,3,1264,0.3147955977218699,0.02340119454146472,0.0008823359676035647,-1.9922723367217623,-2.0870683056500723,1.95139173696248,2.145814699928273,False,4.73,0.3328729873461927,,
per_column_all,0.5,4,9,1264,0.2915525855010246,0.01601427512233,0.00368491263575893,-1.998048019233246,-2.0979733002011636,1.9467149645527841,2.2108720931264614,False,7.4,0.32203619931877603,0.435354965903133,1.25252524804614
all_gaussian,0.5,4,9,1264,0.5927354046702227,0.014553027095111748,0.0425933141257448,-2.0656986803482194,-2.176351421545527,2.08260838183641,2.337895457800716,False,4.76,0.43600581088839696,0.6323392905614796,1.7534743831000448
y_only,0.5,4,0,1264,0.4675067841027796,0.013652335507554625,0.0031087450420970164,-1.986009171115833,-2.2020785798727958,1.9277800259703473,2.5061984681729963,False,4.9,,,
single_gaussian,0.2,4,3,506,0.3883585849780432,0.015359859944222398,0.007883565767267453,-2.0256983616975184,-2.1209764886059057,2.0169604091914297,2.2688041279522673,False,4.84,0.3259725340295886,,
per_column_all,0.2,4,9,506,0.35243350691215175,0.012091689552260698,0.0006382034618112042,-2.0269246172029787,-2.1215110851545878,2.020614996028345,2.2483662477990607,False,7.33,0.33207583973729443,0.4334322742643875,1.2825741085991849
all_gaussian,0.2,4,9,506,0.6726672032307656,0.00022655213130384766,0.07863562843998806,-2.1398980037725677,-2.2030735108934625,2.229659331148251,2.39208413964238,False,4.81,0.44703149883656906,0.6277618634886222,1.6225200091636902
y_only,0.2,4,0,506,0.8659683022372238,0.01375948714794517,0.007222110800864268,-2.0142341944799194,-2.4908255772700367,1.9835548407020505,2.901795740535935,False,4.78,,,
single_gaussian,0.1,4,3,253,0.5334836878373426,0.07238914449691003,0.05514764612675682,-1.924602564095104,-2.259130373707001,1.7997616285642584,2.5746502871386365,False,4.81,0.36940062421852576,,
per_column_all,0.1,4,9,253,0.37101166804232105,0.07197109490296705,0.03232071780957091,-1.965687147168802,-2.129816562707198,1.8596561164112027,2.2958913364241367,False,7.5,0.33148061545015467,0.4343528893383251,1.3179790513426242
all_gaussian,0.1,4,9,253,0.710911660179448,0.08611285202230223,0.011074100698733325,-2.019107841866668,-2.2174039497281206,1.9400238396854153,2.4105471296293803,False,4.7,0.45398952290642963,0.6303373366132354,1.6127957950206462
y_only,0.1,4,0,253,1.1835969086302183,0.09911931120276485,0.03555285834259431,-1.934988944287622,-2.906928027309131,1.9015688001447104,3.6968335772156236,False,4.77,,,
single_gaussian,1.0,5,3,2528,0.23168228191904547,0.013460177081841662,0.00015064593562835737,-2.010173326456599,-2.0304752075948738,1.9565156900892624,2.015606529862443,False,4.69,0.30741278570968317,,
per_column_all,1.0,5,9,2528,0.2217026421365437,0.013295395163265056,0.001170389901061164,-2.009456866551821,-2.0274643133505132,1.9539340646941037,2.0090205365419376,False,7.31,0.3067751513045381,0.45247632500944984,1.1611014229596452
all_gaussian,1.0,5,9,2528,0.22979207680641492,0.014380584132974272,0.0017264721299389274,-2.0094874389698494,-2.029319762278215,1.952972542176661,2.016505289208149,False,4.78,0.3090028961463025,0.6098128636855046,2.548531952386959
y_only,1.0,5,0,2528,0.3259379368822383,0.013257646549099444,0.0016438190164240196,-2.0090013414995154,-2.043330948163065,1.9543461465224707,2.0458940314539786,False,4.74,,,
single_gaussian,0.5,5,3,1264,0.2734082092900817,0.007136204639216492,0.013048418990875499,-2.0006089082175573,-2.048282373081378,1.9560312489709923,2.0666530044055422,False,4.72,0.3099241444524773,,
per_column_all,0.5,5,9,1264,0.25687648748134234,0.0065376444545506285,0.014221540061863047,-1.9997631330189785,-2.0404463971335463,1.9482317069591222,2.0468859064829257,False,7.23,0.307843247433848,0.4506192308247589,1.162017758275514
all_gaussian,0.5,5,9,1264,0.2746672834186101,0.0112091711343143,0.009498839073820375,-1.9982889691723984,-2.047648590749713,1.9470008534543772,2.0671460193026383,False,4.76,0.32262019081720206,0.6098309090956784,2.5630570965635577
y_only,0.5,5,0,1264,0.442597750716939,0.010126272996771712,0.010482615685009244,-1.997251849749335,-2.1422407329528683,1.9270876870397788,2.2418640885445225,False,4.84,,,
single_gaussian,0.2,5,3,506,0.31870810667264443,0.0009825886724779131,0.01676121898423838,-1.9823100054465914,-2.0687020580649143,1.9094381021414257,2.1210447628685483,False,4.95,0.3043983572944747,,
per_column_all,0.2,5,9,506,0.2871592936679745,2.836838974173972e-05,0.01841383970211513,-1.98094813188999,-2.054217378299272,1.894082843955121,2.085842467185171,False,7.33,0.2927429934906359,0.451213305963929,1.2193630606249568
all_gaussian,0.2,5,9,506,0.6533252721270272,0.02367911858905747,0.061903823672069896,-2.1072054369537234,-2.1502222428809783,2.2067309060259785,2.2619504926659477,False,4.78,0.5986953678439649,0.5024366293756252,2.145563379852276
y_only,0.2,5,0,506,0.8078381902417723,0.019703596410420854,0.027592935492624815,-1.970835703910033,-2.412591494195578,1.9352027584351321,2.825204549701307,False,4.92,,,
single_gaussian,0.1,5,3,253,0.3617063507368096,0.050615643094128915,0.019310811103726788,-2.036417333024219,-2.088885311597184,2.025606978820098,2.170889705063972,False,4.79,0.3270534298477535,,
per_column_all,0.1,5,9,253,0.31658043166549404,0.048911276417592076,0.008651954596460787,-2.0305094567600896,-2.0755387014690436,2.0000005165928267,2.1543747846975068,False,7.5,0.29850916657119464,0.44965913814763037,1.2451368710379556
all_gaussian,0.1,5,9,253,0.7677468079065775,0.010133291427675273,0.09122849357862312,-2.1512139123826275,-2.1703951830689814,2.2531978243236983,2.284674180564132,False,4.77,0.643613033561354,0.48517474095363955,2.120138330040735
y_only,0.1,5,0,253,1.2652895696575701,0.02411254768517468,0.03919203898078977,-2.1342165685398076,-2.534847701741716,2.204107583240647,2.8545351304956195,False,4.78,,,
single_gaussian,1.0,6,3,2528,0.25943372354676764,0.00013446739148648135,0.005168453471771417,-1.981998284461261,-2.0391526515285774,1.9219380631011305,2.112190795439684,False,4.74,0.30692481829060886,,
per_column_all,1.0,6,9,2528,0.2466417458437237,0.0011439954761012228,0.005523655823585327,-1.9841507079344993,-2.0326467538771653,1.925049278678786,2.103851655366934,False,7.27,0.2999956914203491,0.4196479456981442,1.1245697735527405
all_gaussian,1.0,6,9,2528,0.2556377983052226,0.00012411737787498822,0.004111713316759247,-1.9843399588163306,-2.0304107080932243,1.9249746596058868,2.0768030230995125,False,4.82,0.30231398578778756,0.6337442189208881,2.0653255959588908
y_only,1.0,6,0,2528,0.2948345695700738,0.0011139216029119048,0.004126506317308154,-1.9891042442410325,-2.064145920709965,1.9412264758512354,2.1411279098407405,False,4.89,,,
single_gaussian,0.5,6,3,1264,0.30954038491727626,0.021393644102094544,0.0014160299045188895,-1.9841088703559644,-2.062318831574339,1.932964696481674,2.1809524759411345,False,4.87,0.32313807457719657,,
per_column_all,0.5,6,9,1264,0.2891444844174725,0.021396569085058825,0.00013521241719538502,-1.9907494831755164,-2.0585828593029003,1.9458755069337657,2.2086673925966904,False,7.31,0.3085502743172282,0.4221803817118249,1.1091915582053693
all_gaussian,0.5,6,9,1264,0.4370294031537692,0.002631919044408404,0.025780837132876988,-2.0220021116484075,-2.0801753984397098,1.9957926307533242,2.1556110506614763,False,4.71,0.41376191746678787,0.5787600798740924,1.72034781637551
y_only,0.5,6,0,1264,0.48117016378191585,0.016274188298154968,0.0014921231566515925,-2.0044748847816387,-2.168742266477853,1.9815745087774312,2.344778924822914,False,4.85,,,
single_gaussian,0.2,6,3,506,0.38373637373705677,0.01933699776205744,0.05229313920461276,-1.969670508961141,-2.1486169198058382,1.918001638270128,2.6812666102714933,False,4.9,0.33236086770206,,
per_column_all,0.2,6,9,506,0.3399594082974925,0.021120249905519417,0.060031341478827716,-1.9634524648056426,-2.1230677107094342,1.895520285138528,2.6760125753710597,False,7.47,0.32172318362883096,0.4213415291339843,1.1064477740661098
all_gaussian,0.2,6,9,506,0.65989096692745,0.08471604080763706,0.02825481252074724,-2.0928873677452584,-2.1977261433763013,2.165414367227078,2.437127067451498,False,4.79,0.48915337687303695,0.4880024684111037,1.5159435900762304
y_only,0.2,6,0,506,0.826427796724842,0.06222038034974586,0.038831907709832136,-1.977170955279774,-2.4970993358764186,1.9795636301896913,3.1083884119435106,False,4.88,,,
single_gaussian,0.1,6,3,253,0.45345139780000854,0.005331037284737494,0.026789007960345834,-1.8994100579220738,-2.174260990592168,1.902773631537379,3.0190027021650994,False,4.73,0.33854794749018147,,
per_column_all,0.1,6,9,253,0.3794382746925401,0.023896077465621834,0.0016323586776630372,-1.896670705189193,-2.1454539441847156,1.8564577574699466,3.0089817793488685,False,7.58,0.31699820066404427,0.4219490548736426,1.1395520134807404
all_gaussian,0.1,6,9,253,0.6962119467798684,0.07447122988699917,0.06571721751287707,-2.01900646262388,-2.2051584580776935,2.015938815696693,2.47000432174384,False,4.91,0.4964651818137286,0.47051128437885886,1.5388284416684905
y_only,0.1,6,0,253,1.2077589245164242,0.024023481949750014,0.013365830411297519,-2.0200575956513056,-2.6019238393788395,2.079830571366672,3.0425544475078077,False,4.76,,,
single_gaussian,1.0,7,3,2528,0.21882535698671948,0.015329958069077998,0.005702612224898762,-1.9570791927214415,-2.019535360941585,1.849139749498262,1.9240877732279351,False,4.73,0.28489015507941434,,
per_column_all,1.0,7,9,2528,0.2398176987220802,0.014656074833023114,0.004496172411865895,-1.9641763970622612,-2.0253526498381493,1.8727798666138888,1.971267286415461,False,7.48,0.27127321280095573,0.46653462169657706,1.1498501227460047
all_gaussian,1.0,7,9,2528,0.24467479752119198,0.015159385056599417,0.005014420625226557,-1.9635615035183527,-2.0245144264395547,1.8719012111863658,1.9691049316863347,False,4.78,0.2733848338605442,0.6372396787203438,2.191636528805209
y_only,1.0,7,0,2528,0.3023502970869491,0.01664838361156873,0.004238576808930694,-1.9610591137776654,-2.0593949414421866,1.8699905938799348,2.0568693740457036,False,4.84,,,
single_gaussian,0.5,7,3,1264,0.25521867441976176,0.023035275027755375,0.015004430878362507,-1.959102640872511,-2.028627213926426,1.8284353817300067,1.9526131781924707,False,4.97,0.2878053171646345,,
per_column_all,0.5,7,9,1264,0.29725495423969933,0.020890989069402233,0.013421581224702828,-1.9644296608818133,-2.044447664162401,1.8576162583161706,2.0357865824975176,False,7.74,0.28320786002159853,0.46745580161538003,1.1443358397490337
all_gaussian,0.5,7,9,1264,0.308588952026348,0.021131808330246526,0.015066318784238308,-1.9634757140653623,-2.044544979872726,1.8538390676899759,2.0363472574486305,False,4.85,0.28426701542458604,0.6372940289737693,2.194903119821729
y_only,0.5,7,0,1264,0.44034637665106613,0.024519980697479626,0.01568107518772316,-1.9694594892085309,-2.115581136478978,1.9032593966256894,2.234830555777116,False,4.81,,,
single_gaussian,0.2,7,3,506,0.3724379311414748,0.02999108927491112,0.026938630790668605,-1.9207462801492905,-2.0737555748357703,1.7573232980975133,2.085939765844769,False,4.89,0.3098074457268157,,
per_column_all,0.2,7,9,506,0.32933852426921356,0.03176400419984904,0.023278560669829584,-1.9170910430105477,-2.0649188001040484,1.759233743762848,2.0656572748207642,False,7.52,0.2971719107881921,0.4655819111692066,1.1303933206451011
all_gaussian,0.2,7,9,506,0.5520965238799075,0.08123422820016102,0.05810763417903492,-1.9360391683627667,-2.1230586865793732,1.789929694921577,2.2317690033310393,False,4.82,0.45897601355799084,0.5780698272761869,2.009514071403524
y_only,0.2,7,0,506,0.9967424752190689,0.05802962262986777,0.053654006497417084,-1.923983224411368,-2.4421106787459332,1.7874551463849737,2.700830409004971,False,4.74,,,
single_gaussian,0.1,7,3,253,0.41608402396938726,0.0026465473725876265,0.014279492686151973,-1.9768511199991396,-2.0834766994539082,1.8337151166344654,2.1080780216806194,False,4.92,0.3290613608093064,,
per_column_all,0.1,7,9,253,0.3358192442361394,0.004543492150358874,0.019281700746965058,-1.9821786607747616,-2.062974929563255,1.8472550144769575,2.0697186894723845,False,7.67,0.2922413510090207,0.4675278037879899,1.1513661722931738
all_gaussian,0.1,7,9,253,0.46968937059715454,0.016655312407926504,0.020867436664321948,-1.9926593454862556,-2.104896406121133,1.8724418243913898,2.1950645051151754,False,5.11,0.3900575314751455,0.6070790470404094,2.1298575762746235
y_only,0.1,7,0,253,0.9668767525052155,0.017520046763370045,0.018805458034457434,-1.9682590358638739,-2.525487719737387,1.9206662397198417,3.0150303231264735,False,5.02,,,
single_gaussian,1.0,8,3,2528,0.20328623992245898,0.01759874578921683,0.013698408309356536,-1.9488644241395174,-1.9672635658793955,1.8689161930257852,1.8734719976784278,False,4.7,0.27663195639324434,,
per_column_all,1.0,8,9,2528,0.19339797193508185,0.01767017635103918,0.013414384486609587,-1.9494969058153169,-1.9639703957095835,1.867116655779474,1.8652447683254745,False,7.3,0.2706699151495691,0.4527756536477988,1.3796496749614624
all_gaussian,1.0,8,9,2528,0.20066262229145046,0.01750430823363902,0.01244295607688689,-1.9495364659262422,-1.9683474675670343,1.872904464338906,1.8814929733015893,False,4.69,0.27303104660098854,0.6707978239812717,2.419930759661086
y_only,1.0,8,0,2528,0.2770248699017572,0.01878615592944355,0.015290890215785502,-1.9461458239470844,-2.003636863172382,1.8348189640717658,1.9304856695124533,False,4.94,,,
single_gaussian,0.5,8,3,1264,0.2510044008976162,0.011835585330536746,0.00047194522513283044,-1.9651830884762167,-1.9777786871575684,1.909538743601181,1.9013375634390308,False,4.87,0.27825296822806495,,
