y_obs_rate,comparator,trial,is_primary,rmse_comparator_complementary,rmse_comparator_fullcoverage,rmse_joint_complementary,rmse_joint_fullcoverage,delta_G_complementary,delta_G_fullcoverage,I,D_G,D_J,identity_abs_err
0.1,single_bernoulli,7,False,1.1787563903734155,1.1694556522925301,0.6465841022634592,0.48357770555122537,0.5321722881099563,0.6858779467413048,-0.15370565863134844,0.009300738080885385,0.16300639671223383,0.0
0.1,single_bernoulli,8,False,1.1747170959249957,1.1731123131108372,0.573272289004312,0.41496772905902535,0.6014448069206837,0.7581445840518118,-0.15669977713112815,0.0016047828141585452,0.1583045599452867,0.0
0.1,single_bernoulli,9,False,1.064095188280106,0.992053699003726,0.6809241852188437,0.4405078128613571,0.3831710030612623,0.5515458861423689,-0.1683748830811066,0.07204148927637999,0.24041637235748659,0.0
0.1,single_poisson,0,False,0.9066547148298713,0.73620501030303,0.4791538878588097,0.394495255147119,0.42750082697106156,0.341709755155911,0.08579107181515055,0.17044970452684127,0.08465863271169072,0.0
0.1,single_poisson,1,False,1.0320482755244231,0.7960495131766637,0.7037202763012845,0.41464042596946077,0.3283279992231386,0.38140908720720296,-0.05308108798406436,0.2359987623477594,0.28907985033182376,0.0
0.1,single_poisson,2,False,1.0883306702809767,0.9123236430344754,0.6609219605360916,0.4049079800645086,0.4274087097448851,0.5074156629699669,-0.08000695322508178,0.1760070272465013,0.256013980471583,5.551115123125783e-17
0.1,single_poisson,3,False,1.0158084258531288,0.9451848101835256,0.6204481583050724,0.4411935865938725,0.3953602675480564,0.5039912235896531,-0.10863095604159667,0.07062361566960318,0.1792545717111999,5.551115123125783e-17
0.1,single_poisson,4,False,1.016307220726246,0.8053949085750104,0.522473016664196,0.39004726935940076,0.49383420406205003,0.41534763921560963,0.0784865648464404,0.21091231215123563,0.13242574730479523,0.0
0.1,single_poisson,5,False,1.0065375278916038,0.920925082828125,0.7381713020793752,0.41320485256779355,0.2683662258122286,0.5077202302603314,-0.23935400444810284,0.08561244506347876,0.32496644951158166,5.551115123125783e-17
0.1,single_poisson,6,False,1.1014943829415975,0.8643340474637411,0.5935778080630932,0.40996820022578984,0.5079165748785043,0.45436584723795126,0.05355072764055302,0.23716033547785642,0.1836096078373034,0.0
0.1,single_poisson,7,False,1.0707480137677066,0.860366115471129,0.6465841022634592,0.48357770555122537,0.42416391150424737,0.3767884099199036,0.04737550158434378,0.2103818982965776,0.16300639671223383,0.0
0.1,single_poisson,8,False,1.1438208296217927,0.8507081253222124,0.573272289004312,0.41496772905902535,0.5705485406174806,0.43574039626318706,0.13480814435429356,0.29311270429958025,0.1583045599452867,0.0
0.1,single_poisson,9,False,1.1087897508951428,0.8336551249061557,0.6809241852188437,0.4405078128613571,0.4278655656762991,0.3931473120447986,0.034718253631500495,0.2751346259889871,0.24041637235748659,0.0
