trial,col,block,family,intended_dominant_dim,f_1,f_2,f_3,f_norm,dominant_loading_abs,off_dim_norm,dominant_share_of_sq_norm,eta_min,eta_max,eta_mean,eta_var,x_mean,x_var,true_c_mean,true_t_col,true_t_dim1,true_t_dim2,true_t_dim3,z_corr_12,z_corr_13,z_corr_23,bernoulli_event_rate,poisson_mean,poisson_var,gaussian_var
2,4,gauss,gaussian,2,0.03199374331811869,0.96946050431067,-0.2431516624870077,1.0,0.96946050431067,0.24524748843097532,0.9398536694182986,-3.0618188808511797,2.6138498044627756,-1.1102230246251566e-17,1.0342998035846016,0.03476966590462967,1.0303917507741502,11.111111111111112,11.111111111111112,0.011373329016729605,10.442818549092209,0.6569192330021746,0.0346597967419591,-0.01151019853891946,-0.06781319482011594,,,,1.0303917507741502
2,5,gauss,gaussian,2,0.022321645206774682,0.96139183444571,-0.2742762928442331,1.0,0.96139183444571,0.2751831038801485,0.9242742593388874,-3.014620827461196,2.6288045963152467,-1.1102230246251566e-17,1.0373914398548132,0.07086116917783926,1.0932866695503458,11.111111111111112,11.111111111111112,0.005536176052634747,10.269713992654307,0.8358609424041725,0.0346597967419591,-0.01151019853891946,-0.06781319482011594,,,,1.0932866695503458
2,6,pois,poisson,3,-0.07877479183385035,0.022808512548237236,0.9966314784948701,1.0,0.9966314784948701,0.08201034125724298,0.9932743039268705,-1.911265662783415,2.348496541537448,-3.3306690738754695e-17,0.9985997535191536,1.7375,5.6185937500000005,1.640275324185262,1.6402753241852623,0.010178675754059029,0.0008533175526650887,1.6292433308785383,0.0346597967419591,-0.01151019853891946,-0.06781319482011594,,1.7375,5.6185937500000005,
2,7,pois,poisson,3,0.06234206550393355,0.18508044762645565,0.9807439496500063,1.0,0.9807439496500063,0.19529799083683858,0.9618586947750941,-1.9065609935450922,2.3048586764460843,-5.551115123125783e-18,0.9747738945762684,1.725,3.9993750000000006,1.6157396546024654,1.6157396546024654,0.006279625699162435,0.05534679363101429,1.5541132352722888,0.0346597967419591,-0.01151019853891946,-0.06781319482011594,,1.725,3.9993750000000006,
2,8,pois,poisson,3,0.12308096044056793,0.18731745058561766,0.9745579766658995,0.9999999999999999,0.9745579766658995,0.22413556191927245,0.949763249883132,-1.970412893296968,2.340783003112282,-2.2204460492503132e-17,0.9740780619393036,1.5625,3.52109375,1.6219448990715182,1.621944899071518,0.02457071809914859,0.056910522498835894,1.5404636584735334,0.0346597967419591,-0.01151019853891946,-0.06781319482011594,,1.5625,3.52109375,
3,0,bern,bernoulli,1,0.9873656540020962,0.08098937510151574,0.13619760063113737,1.0,0.9873656540020962,0.15845840241846706,0.9748909347029872,-2.5306087867830533,2.423333255653728,-2.2204460492503132e-17,1.0294383100430389,0.525,0.24937499999999996,0.20572610958084026,0.20572610958084026,0.20056051926207452,0.0013494149255011613,0.0038161753932645687,0.1532474571139217,0.022940361248000283,-0.05624355012943968,0.525,,,
3,1,bern,bernoulli,1,0.9770520551661311,-0.20467065087137334,-0.05898479607091884,1.0,0.9770520551661311,0.21300066078686108,0.9546307185043605,-2.4198663069384736,2.4077517108362114,2.2204460492503132e-17,0.9347068653063207,0.55,0.2475,0.20849686148821228,0.20849686148821228,0.19903750868839623,0.008733949233416062,0.0007254035663999948,0.1532474571139217,0.022940361248000283,-0.05624355012943968,0.55,,,
3,2,bern,bernoulli,1,0.9934841191650478,0.10876466316808919,0.034052210101276244,1.0,0.9934841191650478,0.11397063203671921,0.9870106950331508,-2.53548557360456,2.581021880770591,1.1102230246251566e-17,1.0342541479799539,0.475,0.24937499999999996,0.20602801431625237,0.20602801431625237,0.20335185360658417,0.0024372603049504153,0.0002389004047177922,0.1532474571139217,0.022940361248000283,-0.05624355012943968,0.475,,,
3,3,gauss,gaussian,2,-0.009225358879211679,0.9865009707211084,-0.16349534403113974,1.0,0.9865009707211084,0.16375541141077138,0.973184165233689,-3.0037869745034516,3.275216255685648,1.1102230246251566e-17,1.0154227002407459,0.038133910129219,1.0849419560649671,11.111111111111112,11.111111111111114,0.0009456360716694419,10.813157391485436,0.2970080835540083,0.1532474571139217,0.022940361248000283,-0.05624355012943968,,,,1.0849419560649671
3,4,gauss,gaussian,2,0.21969883540060375,0.9742873839236794,0.049965140355765866,1.0,0.9742873839236794,0.22530888470531504,0.9492359064728471,-2.7858102340333857,3.123503277460011,-1.1102230246251566e-17,1.0606329041773208,-0.00335661390389973,1.110277573838363,11.111111111111112,11.111111111111112,0.5363064252931288,10.54706562747608,0.027739058341904255,0.1532474571139217,0.022940361248000283,-0.05624355012943968,,,,1.110277573838363
