trial,regime,block,family,source_dim,true_c_mean,eig1,eig2,eig3,trace,lambda_min,lambda_max,coverage_index,effective_rank,f_norm_mean,eta_min,eta_max,x_mean,x_var,hash_Z,hash_Y,hash_eta_y,hash_F,hash_U_bern,hash_E_gauss,hash_E_gauss_regime,gaussian_common_noise_source_equal,gaussian_common_noise_hash_equal,hash_U_pois,spawn_order,spawn_index,poisson_sampling,z_corr_12,z_corr_13,z_corr_23
3,complementary,gauss,gaussian,2,11.111111111111109,31.841436122747425,1.4835013526913383,0.008395857894573176,33.333333333333336,0.008395857894573176,31.841436122747425,0.00025187573683719525,1.093529452706484,1.0,-4.058188454178746,2.588431887588306,-0.03631056410508456,1.192941628217377,d5d4d51c878b5156,ac4f5027dd3e4a6f,9af57a525fab8b95,9c60fa00eb7a2cce,89503634de5b47e8,6599839034227fec,6599839034227fec,True,True,95622123214c4cc6,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",0.014397736601078808,0.027392427194514513,-0.2942743156240518
3,full_coverage,gauss,gaussian,2,11.111111111111109,14.84125052386279,12.447121056863466,6.044961752607069,33.33333333333333,6.044961752607069,14.84125052386279,0.1813488525782121,2.6986067131174627,1.0,-2.7685567477541833,3.2714992901969486,-0.03631056410508458,1.0885103684544617,d5d4d51c878b5156,ac4f5027dd3e4a6f,9af57a525fab8b95,57a5d23dab84310e,89503634de5b47e8,6599839034227fec,6599839034227fec,True,True,95622123214c4cc6,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",0.014397736601078808,0.027392427194514513,-0.2942743156240518
3,complementary,pois,poisson,3,1.7666616906297217,5.176185222807537,0.10984190694046797,0.013957942141162513,5.299985071889168,0.013957942141162513,5.176185222807537,0.0026335814067089884,1.0479269119408283,1.0,-2.0106642752131147,3.7614042827357923,1.7291666666666667,11.039149305555554,d5d4d51c878b5156,ac4f5027dd3e4a6f,9af57a525fab8b95,9c60fa00eb7a2cce,89503634de5b47e8,6599839034227fec,6599839034227fec,True,True,95622123214c4cc6,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",0.014397736601078808,0.027392427194514513,-0.2942743156240518
3,full_coverage,pois,poisson,3,1.6214434270802747,2.1982711586909245,1.6476117103292591,1.01844741222064,4.864330281240823,1.01844741222064,2.1982711586909245,0.20937053064596758,2.756407809786752,1.0,-3.5346367837656247,2.811368453817122,1.6083333333333334,4.413263888888888,d5d4d51c878b5156,ac4f5027dd3e4a6f,9af57a525fab8b95,57a5d23dab84310e,89503634de5b47e8,6599839034227fec,6599839034227fec,True,True,95622123214c4cc6,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",0.014397736601078808,0.027392427194514513,-0.2942743156240518
4,complementary,bern,bernoulli,1,0.20481176066256465,0.5939558205016009,0.02044429492170689,3.516656438625889e-05,0.614435281987694,3.516656438625889e-05,0.5939558205016009,5.723396005596437e-05,1.0688820106876884,1.0,-3.275644525452977,2.5525347901680906,0.5541666666666667,0.24706597222222218,9c96ba67e96c41fd,c25ffd4a5b9497d3,7084365dae379ebf,78dcb389170914ab,b234beb3dc7e5d92,87fd3fc2db37d849,87fd3fc2db37d849,True,True,0ffcf306a8f0c2c1,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1074496443209643,0.12484161414312551,0.055112695933706886
4,full_coverage,bern,bernoulli,1,0.20918471533945818,0.2930963484529116,0.19997018661265806,0.1344876109528051,0.6275541460183747,0.1344876109528051,0.2930963484529116,0.21430439398111684,2.7352614328291747,1.0,-3.4057248085647323,2.381891887946074,0.5291666666666667,0.24914930555555556,9c96ba67e96c41fd,c25ffd4a5b9497d3,7084365dae379ebf,20f48eb2b580032b,b234beb3dc7e5d92,87fd3fc2db37d849,87fd3fc2db37d849,True,True,0ffcf306a8f0c2c1,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1074496443209643,0.12484161414312551,0.055112695933706886
4,complementary,gauss,gaussian,2,11.111111111111109,31.691511314378538,1.181421811067117,0.4604002078876775,33.333333333333336,0.4604002078876775,31.691511314378538,0.013812006236630325,1.104528545959494,1.0,-2.6882643675774953,2.271146575222938,-0.0020538971347250318,1.105275691354106,9c96ba67e96c41fd,c25ffd4a5b9497d3,7084365dae379ebf,78dcb389170914ab,b234beb3dc7e5d92,87fd3fc2db37d849,87fd3fc2db37d849,True,True,0ffcf306a8f0c2c1,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1074496443209643,0.12484161414312551,0.055112695933706886
4,full_coverage,gauss,gaussian,2,11.111111111111109,14.757359508615979,11.123444619260617,7.452529205456746,33.33333333333334,7.452529205456746,14.757359508615979,0.2235758761637023,2.798409954700322,1.0,-3.2569130766260472,2.514307927821798,-0.0020538971347250023,1.1070076515117075,9c96ba67e96c41fd,c25ffd4a5b9497d3,7084365dae379ebf,20f48eb2b580032b,b234beb3dc7e5d92,87fd3fc2db37d849,87fd3fc2db37d849,True,True,0ffcf306a8f0c2c1,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1074496443209643,0.12484161414312551,0.055112695933706886
4,complementary,pois,poisson,3,1.5997679083951633,4.720296350264966,0.06276743298824818,0.016239941932274106,4.799303725185488,0.016239941932274106,4.720296350264966,0.0033838120823758556,1.0335607657159251,1.0,-3.179390993187529,2.4987109882496843,1.4291666666666667,4.4616493055555555,9c96ba67e96c41fd,c25ffd4a5b9497d3,7084365dae379ebf,78dcb389170914ab,b234beb3dc7e5d92,87fd3fc2db37d849,87fd3fc2db37d849,True,True,0ffcf306a8f0c2c1,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1074496443209643,0.12484161414312551,0.055112695933706886
4,full_coverage,pois,poisson,3,1.6242505856243608,2.122613020179373,1.5368501823011524,1.213288554392557,4.8727517568730825,1.213288554392557,2.122613020179373,0.24899453428572407,2.84715069583063,1.0,-3.2302851366388436,2.4034484409783317,1.4833333333333334,4.633055555555556,9c96ba67e96c41fd,c25ffd4a5b9497d3,7084365dae379ebf,20f48eb2b580032b,b234beb3dc7e5d92,87fd3fc2db37d849,87fd3fc2db37d849,True,True,0ffcf306a8f0c2c1,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.1074496443209643,0.12484161414312551,0.055112695933706886
5,complementary,bern,bernoulli,1,0.20804396151631646,0.6054492634399553,0.0175270218315672,0.0011555992774269518,0.6241318845489494,0.0011555992774269518,0.6054492634399553,0.0018515305915865615,1.0617734162921766,1.0,-2.3687682589565444,2.8230090987339285,0.5208333333333334,0.24956597222222227,19e423289c1ee06d,4ba23b1c3e97b5fa,4b0146a00a350a51,8db9621054069fd5,fdfbc7263d24b64d,6bd043af5856e0a5,6bd043af5856e0a5,True,True,63f3d3107029f78e,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.21420310460317335,-0.09664857489537172,-0.09423181207779982
5,full_coverage,bern,bernoulli,1,0.2061497859329672,0.2414941382872412,0.1920664647078152,0.1848887548038453,0.6184493577989016,0.1848887548038453,0.2414941382872412,0.29895536711667947,2.9559574876565105,1.0,-2.2633879018017065,2.8230090987339285,0.4583333333333333,0.24826388888888892,19e423289c1ee06d,4ba23b1c3e97b5fa,4b0146a00a350a51,36bb671fd9805081,fdfbc7263d24b64d,6bd043af5856e0a5,6bd043af5856e0a5,True,True,63f3d3107029f78e,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.21420310460317335,-0.09664857489537172,-0.09423181207779982
5,complementary,gauss,gaussian,2,11.111111111111109,29.21836805192344,4.09888239902144,0.016082882388446136,33.33333333333333,0.016082882388446136,29.21836805192344,0.00048248647165338417,1.276384927477087,1.0,-2.385275035924145,3.01755558274882,-0.038708535812162145,1.055388271113768,19e423289c1ee06d,4ba23b1c3e97b5fa,4b0146a00a350a51,8db9621054069fd5,fdfbc7263d24b64d,6bd043af5856e0a5,6bd043af5856e0a5,True,True,63f3d3107029f78e,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.21420310460317335,-0.09664857489537172,-0.09423181207779982
5,full_coverage,gauss,gaussian,2,11.111111111111109,19.748760114015614,9.098032770904295,4.486540448413419,33.33333333333333,4.486540448413419,19.748760114015614,0.13459621345240258,2.2541556207294446,1.0,-3.183079128873091,2.9046596978277526,-0.0387085358121622,1.1190115943904244,19e423289c1ee06d,4ba23b1c3e97b5fa,4b0146a00a350a51,36bb671fd9805081,fdfbc7263d24b64d,6bd043af5856e0a5,6bd043af5856e0a5,True,True,63f3d3107029f78e,Z|F|X_bern|X_gauss|X_pois|Y,3,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.21420310460317335,-0.09664857489537172,-0.09423181207779982
5,complementary,pois,poisson,3,1.6618496465093295,4.69206747427523,0.2933273490930149,0.00015411615974120322,4.985548939527987,0.00015411615974120322,4.69206747427523,3.0912575848828065e-05,1.1246139553851409,1.0,-2.3444754809932196,2.491987593027091,1.5166666666666666,4.416388888888889,19e423289c1ee06d,4ba23b1c3e97b5fa,4b0146a00a350a51,8db9621054069fd5,fdfbc7263d24b64d,6bd043af5856e0a5,6bd043af5856e0a5,True,True,63f3d3107029f78e,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.21420310460317335,-0.09664857489537172,-0.09423181207779982
5,full_coverage,pois,poisson,3,1.7138834049769034,2.3728488862961505,1.678934194682238,1.089867133952323,5.141650214930712,1.089867133952323,2.3728488862961505,0.2119683542041589,2.7432241431259223,1.0,-2.3444754809932196,3.4046001743751204,1.65,9.560833333333333,19e423289c1ee06d,4ba23b1c3e97b5fa,4b0146a00a350a51,36bb671fd9805081,fdfbc7263d24b64d,6bd043af5856e0a5,6bd043af5856e0a5,True,True,63f3d3107029f78e,Z|F|X_bern|X_gauss|X_pois|Y,4,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.21420310460317335,-0.09664857489537172,-0.09423181207779982
6,complementary,bern,bernoulli,1,0.2045351052684556,0.5914005364897458,0.01760405773777731,0.004600721577843723,0.6136053158053668,0.004600721577843723,0.5914005364897458,0.007497851565717291,1.0754838665222588,1.0,-2.2609491658487015,2.4891400537534807,0.5583333333333333,0.24659722222222227,89720cf5691027ea,909448797bd7eac2,29cd03fdb1eb2952,a637d7f8e7597282,19744852b4c5aec4,f1a32eac1dd74d87,f1a32eac1dd74d87,True,True,1b9daa74818583d0,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.16441521225424346,-0.13025664946267818,0.14131071902351117
6,full_coverage,bern,bernoulli,1,0.20671565004703615,0.3021438346955151,0.21099191794587066,0.10701119749972281,0.6201469501411085,0.10701119749972281,0.3021438346955151,0.17255780662208114,2.6115886607250127,1.0,-3.478806518283546,2.5720735635202634,0.55,0.24750000000000008,89720cf5691027ea,909448797bd7eac2,29cd03fdb1eb2952,7af7d4043aa2d6ae,19744852b4c5aec4,f1a32eac1dd74d87,f1a32eac1dd74d87,True,True,1b9daa74818583d0,Z|F|X_bern|X_gauss|X_pois|Y,2,"common-random-number inverse-CDF coupling, with q=0 replaced only by nextafter(0,1) for floating-point endpoint safety; no eta/mu clipping",-0.16441521225424346,-0.13025664946267818,0.14131071902351117
