trial,y_obs_rate,condition,n_cols_used,n_train_pairs,rmse_Z,rmse_z_dim1,rmse_z_dim2,rmse_z_dim3,test_y_ll,test_y_rmse,train_y_ll,w0_err,w_err,w0_est,w_est,bic_diagnostic_only,q_strict_diagnostic_only,numerics_mode,internal_retry_detected,nan_occurred,nan_count,q_bic_failed,failure_reason,n_warnings,clip_diag_status,hash_dataset,hash_test_mask,hash_train_mask,runtime_s,prec_t_total,prec_identity_max_abs_err,prec_t_bern,prec_t_bern_share,prec_fnorm_bern_mean,prec_t_bern_to_dim1,prec_t_bern_to_dim1_share,prec_t_bern_to_dim2,prec_t_bern_to_dim2_share,prec_t_bern_to_dim3,prec_t_bern_to_dim3_share,prec_eta_bern_min,prec_eta_bern_max,prec_eta_bern_var,prec_t_gauss,prec_t_gauss_share,prec_fnorm_gauss_mean,prec_t_gauss_to_dim1,prec_t_gauss_to_dim1_share,prec_t_gauss_to_dim2,prec_t_gauss_to_dim2_share,prec_t_gauss_to_dim3,prec_t_gauss_to_dim3_share,prec_eta_gauss_min,prec_eta_gauss_max,prec_eta_gauss_var,prec_t_pois,prec_t_pois_share,prec_fnorm_pois_mean,prec_t_pois_to_dim1,prec_t_pois_to_dim1_share,prec_t_pois_to_dim2,prec_t_pois_to_dim2_share,prec_t_pois_to_dim3,prec_t_pois_to_dim3_share,prec_eta_pois_min,prec_eta_pois_max,prec_eta_pois_var
3,0.1,all_gaussian,9,253,0.8228638111916037,1.2122388055841324,0.2906015011088803,0.6908997040783381,-2.4936830280181423,3.707461609306461,-2.179770519917473,0.16165111734451076,0.02145573455992844,1.0383488826554892,0.27854426544007155,3158.477786800465,-1506.9354539281135,consistent,False,False,0,False,,0,not_applicable,baf5980776c84cac,f0f5263c0594dfe3,917a24dc5786af2c,6.55,47.46139616098165,5.329070518200751e-15,4.2902044306725875,0.0903935572422034,0.5626148857655773,3.71401751597863,0.0782534399827022,0.08208337408082897,0.0017294766003599004,0.49410354061312556,0.01041064065914124,-0.330876672352362,1.5805175821511497,0.12613374863751348,29.741760564606928,0.6266516152143421,0.9878178283980056,0.8330916045218009,0.017553036191689013,28.271722967098853,0.5956782828555144,0.6369459929862678,0.01342029616713858,-2.9128880730633187,3.0351655742591532,0.9920183476154191,13.429431165702127,0.2829548275434543,2.6622624329345683,3.662141680515097,0.07716042882711843,0.4869396119353098,0.010259698435412364,9.280349873251708,0.19553470028092326,-2.001064750286333,9.802694094822614,3.9196394240438766
4,1.0,y_only,0,2528,0.2955282462359817,0.2830814134897743,0.30543358747271787,0.29763412094402436,-2.078972053011932,2.1588174839884604,-1.9909109681246895,0.012389839821858706,0.005344856653988095,1.1876101601781412,0.3053448566539881,14190.227917654407,-7022.810519355085,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,5e0c8f5babdf7378,6.56,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,
4,1.0,single_bernoulli,3,2528,0.3024986724198643,0.2876949651843435,0.3292290191858784,0.2887147387661825,-2.092390336937284,2.1993530871055444,-1.99168062673102,0.00941398794130155,0.004716073251687047,1.1905860120586984,0.30471607325168704,11048.921421744293,-5511.314630968125,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,5e0c8f5babdf7378,7.65,0.8499539355455437,1.6653345369377348e-16,0.8499539355455437,1.0,1.2210718063880697,0.7766099449353544,0.9137082757748356,0.034571175443799736,0.04067417538529332,0.03877281516638903,0.045617548839870556,-3.9136013501736864,3.219301858340737,1.6363859790612563,,,,,,,,,,,,,,,,,,,,,,,,
4,1.0,single_gaussian,3,2528,0.26833531489564005,0.2798025012913175,0.18408982895825593,0.3222313125778891,-2.074056881488531,2.235992430221658,-1.9940058753706624,0.009845180485205551,0.003781404237499897,1.1901548195147944,0.3037814042374999,10849.56004265722,-5405.060901472578,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,5e0c8f5babdf7378,6.44,48.73136328442483,1.0658141036401503e-14,,,,,,,,,,,,,48.73136328442483,1.0,1.0748013604252045,1.085319855714661,0.022271485601174288,47.17619746035763,0.9680869624970198,0.469845968352555,0.009641551901806199,-2.337541282308393,2.4997546789290275,1.0517900885589173,,,,,,,,,,,,
4,1.0,single_poisson,3,2528,0.2955348305967512,0.2951705960788163,0.32739375376665153,0.2602117551007422,-2.0788183908102567,2.1802571069567347,-1.994434264127473,0.009456211938602799,0.004694368909306523,1.1905437880613972,0.3046943689093065,11446.036825882917,-5709.872333037437,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,5e0c8f5babdf7378,7.53,4.563017344638321,1.1102230246251565e-15,,,,,,,,,,,,,,,,,,,,,,,,,4.563017344638321,1.0,0.9965923986805437,0.3506753190816661,0.07685162965547783,0.021567624952485764,0.004726614720811517,4.190774400604168,0.9184217556237104,-2.5503163568834037,2.2184681717647132,0.97707112347659
4,1.0,per_column_all,9,2528,0.25263126515707623,0.293638554903825,0.200461624650839,0.25506705887067116,-2.0424678887616095,2.120440934806077,-1.9910877021060844,0.011798495070366677,0.002939317779763917,1.1882015049296333,0.3029393177797639,11867.406179515283,-5874.545730189544,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,5e0c8f5babdf7378,11.22,53.28436563459055,1.4210854715202004e-14,0.8467098726313618,0.015890399792649574,1.220779551253098,0.7755638415383413,0.014555185790461386,0.05140989037218928,0.0009648212896958199,0.019736140720829996,0.00037039271249234706,-4.003438721229488,2.9696264694884835,1.6034259443361967,47.9826503632389,0.9005014846623239,1.0775066585364212,1.126594841843668,0.021143065670886352,46.43927032635604,0.8715365149474372,0.4167851950391578,0.007821904043999612,-2.411696957695665,2.6504761292247028,1.0761794982472352,4.455005398720277,0.08360811554502634,0.9847656689266412,0.30559392641752137,0.005735151817574409,0.019921834112352023,0.00037387766327125774,4.1294896381904,0.07749908606418059,-2.912594377572546,2.124112909271811,0.981665002452093
4,1.0,all_gaussian,9,2528,0.2708038483911478,0.27148532842158946,0.19287955848908936,0.33029890293375624,-2.0650628185088475,2.1454406779018758,-1.9960370825631437,0.013406359994180495,0.002134009946029858,1.1865936400058195,0.30213400994602985,12500.145463423107,-6177.769292239434,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,5e0c8f5babdf7378,6.6,48.93430844439231,1.0658141036401503e-14,0.49178041067418543,0.010049808126603691,0.26501967091117823,0.4190461126865565,0.00856344201048125,0.01952016423468916,0.00039890548891421187,0.05321413375293984,0.00108746062720823,-0.6070321592239059,0.7065388459389865,0.0720174929447796,47.17867205379736,0.9641225870681301,1.070054705689983,1.0492145633887497,0.021441287242897285,45.754323757766045,0.9350152318952272,0.37513373264258026,0.0076660679300060534,-2.5303689813985706,2.658904016453249,1.0835016624299765,1.2638559799207667,0.025827604805266233,1.3870328675026073,0.07554328509258318,0.0015437693408588502,0.010605224080118289,0.00021672369381023937,1.1777074707480661,0.02406711177059716,-3.509158080548649,3.874559267448839,1.9777848594405423
4,0.1,y_only,0,253,1.1471224528416768,1.3388228759089738,0.931119069111359,1.13500676276423,-2.773872430788302,3.2798539389101258,-1.9751627108177026,0.05378263293082952,0.01448783803829451,1.1462173670691704,0.3144878380382945,5113.405276852665,-2484.3991989542137,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,c33be060e7414c9b,6.51,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,
4,0.1,single_bernoulli,3,253,1.1280445859084014,0.9962032010978386,1.12783087664589,1.2462064272015103,-2.7535252011730034,3.1934172513696386,-1.9510684770559519,0.04942449303936991,0.01276375705872379,1.15057550696063,0.3127637570587238,1962.7283826214377,-968.2181114066972,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,c33be060e7414c9b,7.61,1.0430512610005747,5.551115123125783e-16,1.0430512610005747,1.0,1.3612926893892423,0.8594968683611597,0.8240216952872138,0.10254676897215469,0.09831421791656143,0.08100762366726191,0.07766408679622629,-4.83879675049113,2.773881892062772,1.7920588400200574,,,,,,,,,,,,,,,,,,,,,,,,
4,0.1,single_gaussian,3,253,0.9368430683037577,0.956485393436114,0.2656952920964896,1.2835756727935912,-2.579867644692241,2.9813825437723342,-1.9642262114152127,0.05234838582707013,0.018781139418588666,1.1476516141729298,0.31878113941858865,1772.3014094276189,-866.431584857777,consistent,False,False,0,False,,0,not_applicable,5e105ebef78445d5,5759d4b8b4dac19b,c33be060e7414c9b,6.5,50.062189780587495,7.105427357601002e-15,,,,,,,,,,,,,50.062189780587495,1.0,1.0896856643236592,0.8855982395494961,0.017689962093765676,48.74407568415881,0.973670466629492,0.4325158568791705,0.008639571276741998,-2.2999362349147527,2.7083572797536815,1.0755720113035756,,,,,,,,,,,,
