condition,y_obs_rate,trial,n_cols_used,n_train_pairs,rmse_Z,w0_err,w_err,train_y_ll,test_y_ll,train_y_rmse,test_y_rmse,nan_occurred,runtime_s,x_rmse_gauss,x_rmse_bern,x_rmse_pois
all_gaussian,0.2,0,9,506,0.6308009077543137,0.13706255157904979,0.028988618093508278,-2.010981909657261,-2.146627348174369,1.9641180313504476,2.2184270392341836,False,5.26,0.6058930092803287,0.5923285037632816,1.940667872380718
y_only,0.2,0,0,506,0.8211231419544742,0.09201828925031652,0.030549426945472358,-1.9341372752007042,-2.385374462011245,1.8440569229910682,2.674655121986191,False,5.29,,,
single_gaussian,0.1,0,3,253,0.383806805469384,0.05360825531588009,0.03970105282031816,-2.038666895708793,-2.0862178966982152,1.952166589908318,2.1415330545719375,False,5.37,0.39224258073663537,,
per_column_all,0.1,0,9,253,0.3306069707952357,0.04588917919566349,0.019988834816981327,-2.0499344192122857,-2.0169438793289003,1.989453273038894,1.9516433141062874,False,8.41,0.35181712417105193,0.4393819044270879,1.220462544683958
all_gaussian,0.1,0,9,253,0.9136735220244235,0.008632755156324112,0.0777677757470823,-2.184349460653717,-2.1844673375103234,2.2283078376594405,2.295071839683643,False,5.27,0.7336801384863619,0.500082696955085,1.7777210157254204
y_only,0.1,0,0,253,1.1429774559624175,0.09997657824818829,0.014097690790164874,-2.0190429172504167,-2.6200194389322173,1.9277954847396601,3.01468552489061,False,5.35,,,
single_gaussian,1.0,1,3,2528,0.24260884017305967,0.019557604270149742,0.008783997419020584,-1.975453184552683,-1.933069500633764,1.903256686734705,1.8797638103667695,False,5.24,0.29319124137556085,,
per_column_all,1.0,1,9,2528,0.21176840140359526,0.01951483676146637,0.008528417549141076,-1.9739611739458116,-1.9231823240723946,1.8998129877812495,1.781487483830623,False,8.36,0.2963119541006817,0.45129553765434655,1.2274234286193426
all_gaussian,1.0,1,9,2528,0.2298215915941755,0.021617598281385986,0.008163889542880609,-1.9722685830302422,-1.9260589494257814,1.8988065499946376,1.8075606686725683,False,5.36,0.305207736168071,0.6977929715652146,2.272376603125168
y_only,1.0,1,0,2528,0.30442196582647035,0.019507447888988727,0.009196330351898485,-1.980823950079816,-1.9366518290109558,1.9169192701412823,1.8182044451165624,False,5.31,,,
single_gaussian,0.5,1,3,1264,0.2776890697043947,0.010165452086817073,0.02045122559671958,-2.00164789071937,-1.9487475837908492,1.9884238833898316,1.9061671593757914,False,5.23,0.3045896494597146,,
per_column_all,0.5,1,9,1264,0.26151908677395364,0.011123641378045779,0.02179064560747629,-1.997635189954903,-1.943749195730064,1.9814648349493713,1.8893248648702075,False,8.3,0.3120728665688409,0.4486271459327284,1.166658701116072
all_gaussian,0.5,1,9,1264,0.27064752857166496,0.011512460904463895,0.018484161513805497,-1.9987383564056316,-1.947881673255058,1.9770137667132084,1.8964569902702644,False,5.4,0.31014339492348886,0.6968800910693511,2.2782305407827055
y_only,0.5,1,0,1264,0.4510457821793911,0.00828094390768519,0.03158951561185791,-2.009037105364035,-2.0049992208431973,1.9788206914179869,2.0467699264818955,False,5.35,,,
single_gaussian,0.2,1,3,506,0.37169478879377493,0.011392550108159094,0.014278383773131786,-1.9596933183173295,-1.9974854492681247,1.882919836263658,2.0049399868084743,False,5.31,0.31604993213870125,,
per_column_all,0.2,1,9,506,0.32594790055113676,0.010783576528745842,0.02005956064431136,-1.951686609517766,-1.9759783325571514,1.8636351224298306,1.9554870794031571,False,8.31,0.3177963889072084,0.4502734949936323,1.1778359909077254
all_gaussian,0.2,1,9,506,0.663596274961781,0.07291966147429418,0.058519425573907574,-2.0873549395406683,-2.1301830271731728,2.1490913771282547,2.3347130007197046,False,5.23,0.516165058696489,0.5498398605875771,1.706906316603323
y_only,0.2,1,0,506,0.7835608620878135,0.010565787853985542,0.009862122452901356,-1.9940183765365125,-2.2282993941182276,1.9531733109618934,2.44437821700097,False,5.34,,,
single_gaussian,0.1,1,3,253,0.4521226510670055,0.012723793735062827,0.02339536820675603,-1.9780390304630575,-2.04122794385479,1.8567414977103973,2.0291576486958087,False,5.26,0.36346835050627246,,
per_column_all,0.1,1,9,253,0.3561284712242715,0.005667834652215875,0.033323560568543464,-1.9841530654102015,-1.9720237212933132,1.8741976447740232,1.8812685120322692,False,8.21,0.33818567173033304,0.45449105925270805,1.178480190307033
all_gaussian,0.1,1,9,253,0.7572111096280896,0.08402214234207706,0.10719465026394767,-2.1248341780839106,-2.1065487611439693,2.1355716689551265,2.15917233494665,False,5.25,0.5571460182944507,0.5218487483311256,1.5803275603052003
y_only,0.1,1,0,253,1.2318529874486392,0.005277139594761504,0.022308361639681307,-2.069189827392264,-2.436343917999328,1.979220909682022,2.810624512984812,False,5.23,,,
