scenario,condition_name,true_x,true_y,est_x,est_y,trial,seed_data,seed_model,old_rmse_z,fixed_rmse_z,diff_fixed_old_rmse_z,ratio_fixed_old_rmse_z,old_rmse_y,fixed_rmse_y,diff_fixed_old_rmse_y,old_rmse_x,fixed_rmse_x,diff_fixed_old_rmse_x,old_q_final,fixed_q_final,old_q_start,old_q_end,old_q_delta,fixed_q_start,fixed_q_end,fixed_q_delta,old_w_est,fixed_w_est,old_success,fixed_success,old_error_message,fixed_error_message,note
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,27,10700,10750,0.45544940549199686,0.8630490297750691,0.4075996242830723,1.8949394144949314,0.47397573206433574,0.4847675365578916,0.010791804493555879,0.6767770347472944,0.6863855833305376,0.009608548583243115,42444.240094302935,33058.65701683782,11310.263891798855,42444.240094302935,31133.97620250408,2845.764650689409,33058.65701683782,30212.892366148408,4.476616004869768,4.45992670341423,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,28,10800,10850,0.45283234872800804,1.1807999713525812,0.7279676226245732,2.6075874982637868,0.4763068382964086,0.49826065893139543,0.021953820634986854,0.6733133785017582,0.697232326546196,0.023918948044437838,40856.62945975256,19547.840725764712,8636.122945246947,40856.62945975256,32220.506514505614,3707.143379121204,19547.840725764712,15840.697346643508,4.479322654560164,4.478985610367514,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_23_6x_like,bernoulli,gaussian,gaussian,bernoulli,29,10900,10950,0.4573005291133111,0.45005757154697074,-0.007242957566340358,0.9841614931424107,0.47872541395739043,0.4781099926868763,-0.000615421270514116,0.678870240678822,0.6789145390344576,4.429835563568574e-05,40761.43268651901,41193.12198924561,4010.582376680889,40761.43268651901,36750.85030983812,9481.669507536706,41193.12198924561,31711.4524817089,4.479366756432746,4.484064081681633,True,True,,,"fig1b gray-bar condition (old model, ~23.6x in exp_scenario_C_exp4_mismatch.csv)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,0,8000,8050,0.6349313321937973,0.6435550931295465,0.0086237609357492,1.0135821946382022,2.339737444245744,2.212964426053079,-0.1267730181926647,0.4832511460634387,0.4771630535051532,-0.0060880925582854,17696.95142702755,18078.579317142903,-7348.736103776204,17696.95142702755,25045.68753080376,-5627.772233536566,18078.579317142903,23706.35155067947,1.6124023727686918,1.6136572612972615,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,1,8100,8150,1.6081423018978318,0.3173366519139995,-1.2908056499838323,0.1973312010631759,3.4791867984681937,2.5233841005839164,-0.9558026978842772,0.4951431585546834,0.679774649971595,0.1846314914169116,-847.6675842151346,21261.60972191717,-7288.984240910357,-847.6675842151346,6441.316656695222,-7375.589346294555,21261.60972191717,28637.19906821173,-2.250735366356876,1.9426354119537772,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,2,8200,8250,0.6383114429729948,0.6302696787166879,-0.0080417642563068,0.9874015038507666,2.0178125939577,2.0213353369800955,0.0035227430223954,0.4701916964747109,0.469732396373368,-0.0004593001013429,18574.6620938956,18907.28501282773,-7437.406236747335,18574.6620938956,26012.06833064293,-5963.162044559848,18907.28501282773,24870.447057387584,1.6131207253419697,1.6197827255075452,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,3,8300,8350,1.5445972798412893,0.6579855860641639,-0.8866116937771253,0.4259916773463263,2.9292884074287886,2.2818447066085183,-0.6474437008202703,0.5263834759641755,0.4852242992613583,-0.0411591767028171,-1123.6130312249795,17643.678778739293,-7387.578585718644,-1123.6130312249795,6263.965554493664,-7448.4374803543715,17643.678778739293,25092.116259093666,-1.981995521322816,1.6179220358999904,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,4,8400,8450,1.5886363971721262,0.320993377570118,-1.267643019602008,0.2020559129461635,3.056818900262533,2.1305724105463426,-0.9262464897161906,0.5618116248635057,0.6859344954736707,0.124122870610165,-1119.8513677804,21453.199604226666,-7527.018129866735,-1119.8513677804,6407.166762086335,-7521.737037157666,21453.199604226666,28974.936641384327,-1.7585048285714902,1.929417641253093,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,5,8500,8550,0.6456156970777074,0.6400916812208693,-0.005524015856838,0.9914438018129952,1.8616424617251817,1.8232990172526229,-0.0383434444725589,0.4801923242866054,0.4804622559199329,0.0002699316333275,18104.673255142083,18439.332187212087,-7394.335062911094,18104.673255142083,25499.008318053176,-6453.191027897128,18439.332187212087,24892.523215109213,1.6154930822849585,1.6272911139668509,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
C,C_41_5x_like,bernoulli,gaussian,gaussian,poisson,6,8600,8650,0.6543832879559142,0.3200560272120434,-0.3343272607438707,0.4890956616752805,2.6890765473375136,2.431995780703481,-0.257080766634032,0.4721456797924633,0.6806179343442856,0.2084722545518223,17982.465400165027,21365.826700538244,-7436.076784192346,17982.465400165027,25418.54218435737,-6218.800393058502,21365.826700538244,27584.627093596748,1.6105436255159322,1.9548844400702687,True,True,,,"manuscript max-misspec condition (old model, ~41.5x, no bar in fig1b)"
