phase,n,per_class,k,split_trial,model_trial,model_seed,split_seed,train_neg_seed,test_neg_seed,d,family_x,family_y,evaluation_mode,train_edges,test_edges,train_neg,test_neg,sampled_random_ap_baseline,train_auc_sampled,train_ap_sampled,test_auc_sampled,test_ap_sampled,test_ap_over_sampled_random,test_auc_all_candidates,test_ap_all_candidates,all_candidate_random_ap_baseline,test_precision_at_K,test_recall_at_K,n_candidates,n_candidate_neg,bic,bic_per_train_pair,q_strict,q_per_train_pair,num_params,nmi,ari,silhouette,w0,w,nan_occurred,nan_count,success,error_message,runtime_seconds,peak_memory_mb,memory_measurement_note
main,490,70,3,2,0,27263620,27260620,27960620,28060620,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,739,184,3695,920,0.16666666666666666,0.857466751873669,0.613106515029695,0.7624409262759925,0.4399085030792904,2.6394510184757425,0.7654688006302194,0.015782942615343753,0.0015453613962004267,0.07065217391304347,0.07065217391304347,119066,118882,26747.595740962086,0.2232594277447693,-12918.50907423485,-0.10782946516618547,147,0.2680470799488065,0.1644633530576421,-0.03119435144505708,-6.448786060337743,0.770879624019825,False,0,True,,136.6686136999997,,unavailable
main,490,70,6,2,0,27266620,27260620,27960620,28060620,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,739,184,3695,920,0.16666666666666666,0.9117503263928689,0.7294764659029109,0.8087783553875236,0.5314495684728924,3.1886974108373543,0.8039375270180222,0.015121556493737788,0.0015453613962004267,0.059782608695652176,0.059782608695652176,119066,118882,29387.64283789242,0.24529562904630375,-13811.118650713795,-0.11527998539888816,285,0.2196550282959165,0.13065488075224765,-0.04643877458327689,-6.586272929644592,0.6291933744423169,False,0,True,,168.1552254000053,,unavailable
main,700,100,3,0,0,30263618,30260618,30960618,31060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1176,294,5880,1470,0.16666666666666666,0.8382781769170251,0.5719498167921738,0.7464274145032164,0.4343361284615923,2.606016770769554,0.7351902764560054,0.009594567993072043,0.0012075211316198034,0.05782312925170068,0.05782312925170068,243474,243180,39554.52183413646,0.1616779964608071,-19295.75651244254,-0.07887086250742914,147,0.22836454841139514,0.15123488533416488,-0.04528161735224621,-6.629551829525746,0.7579055947625535,False,0,True,,312.97328659999766,,unavailable
main,700,100,6,0,0,30266618,30260618,30960618,31060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1176,294,5880,1470,0.16666666666666666,0.8996993440233235,0.7015191888809914,0.7990212411495211,0.5075861357899425,3.045516814739655,0.7899014223667918,0.012285781068944224,0.0012075211316198034,0.047619047619047616,0.047619047619047616,243474,243180,43083.9638180956,0.17610449138808748,-20608.452961304116,-0.08423647235358314,285,0.24284654162987965,0.1610865703809313,-0.04288455399826272,-6.788768089831975,0.6179789959489989,False,0,True,,418.6365743999995,,unavailable
main,700,100,3,1,0,30263619,30260619,30960619,31060619,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1176,294,5880,1470,0.16666666666666666,0.8363450992641954,0.5706598532151778,0.753672081077329,0.453762538948306,2.722575233689836,0.7570279398871975,0.017208969712082283,0.0012075211316198034,0.04421768707482993,0.04421768707482993,243474,243180,39764.82495199308,0.16253760454524047,-19400.90807137085,-0.07930066654964582,147,0.25238871818502834,0.17392178082832097,-0.011098772710264425,-6.602524682922775,0.7493403320163525,False,0,True,,309.2144546999989,,unavailable
main,700,100,6,1,0,30266619,30260619,30960619,31060619,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1176,294,5880,1470,0.16666666666666666,0.9025779189226711,0.7173496065297461,0.8052802073210237,0.48546762460937937,2.9128057476562765,0.8092730784229145,0.015240984129517592,0.0012075211316198034,0.05102040816326531,0.05102040816326531,243474,243180,42910.343070291325,0.17539482146041824,-20521.642587401977,-0.08388163738974852,285,0.16210307718456887,0.09675752357071093,-0.05553267744596547,-6.749603766317199,0.6138948464781395,False,0,True,,415.9783645999996,,unavailable
main,700,100,3,2,0,30263620,30260620,30960620,31060620,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1176,294,5880,1470,0.16666666666666666,0.8384943773427739,0.5880604936693177,0.7503887269193391,0.3975041251299065,2.385024750779439,0.7512800629751037,0.0067252632305289314,0.0012075211316198034,0.027210884353741496,0.027210884353741496,243474,243180,39488.7628982663,0.16140920865835398,-19262.87704450746,-0.07873646860620256,147,0.23647468950584552,0.1604499182255973,-0.044775972061991826,-6.658528801752231,0.7641890285025943,False,0,True,,296.3233524000025,,unavailable
main,700,100,6,2,0,30266620,30260620,30960620,31060620,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1176,294,5880,1470,0.16666666666666666,0.9054355245499559,0.7117127780817447,0.7563862279605719,0.4164341816777444,2.4986050900664662,0.7556741234202373,0.006415180227467777,0.0012075211316198034,0.023809523809523808,0.023809523809523808,243474,243180,42969.01718668541,0.17563465026235606,-20550.979645599018,-0.08400155179071743,285,0.15305000139305783,0.09488133828351132,-0.07943088288559273,-6.802594105551115,0.6291479535898525,False,0,True,,413.1088718999963,,unavailable
stress,980,140,3,0,0,34263618,34260618,34960618,35060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1748,437,8740,2185,0.16666666666666666,0.8500601537422304,0.581087519662605,0.7724656881483383,0.46548317436779885,2.7928990462067933,0.7646680244975014,0.011712205398812502,0.0009142986262506225,0.04805491990846682,0.04805491990846682,477962,477525,57040.48572806155,0.1189061844198819,-28014.007750013425,-0.0583977981489096,147,0.259860446886649,0.17890363269442808,-0.03095603112926316,-7.012420466284531,0.8012252272426169,False,0,True,,740.2827491999997,,unavailable
stress,980,140,6,0,0,34266618,34260618,34960618,35060618,50,bernoulli,bernoulli,zero_filled_edge_hiding_no_pair_mask,1748,437,8740,2185,0.16666666666666666,0.9166067529284858,0.7413516726177704,0.8004691860982673,0.5146386717703144,3.0878320306218865,0.8050587069554507,0.011670858878141609,0.0009142986262506225,0.05034324942791762,0.05034324942791762,477962,477525,61297.62937469805,0.12778059530695224,-29667.338445886817,-0.06184431937188471,285,0.17549212782104998,0.09980077706517093,-0.08089138310225502,-7.115343132564149,0.6407695498646551,False,0,True,,835.6369083000027,,unavailable
