r_true,r_true_tag,trial,data_seed,model_seed,y_var_mean_ratio_gen,y_mean_gen,y_zero_ratio_gen,fit_condition,family_y_fit,nb_r_fit,w0_est,w_est,bic_train,q_strict_train,nan_occurred,runtime_s,rmse_Z,rmse_F,w0_err,w_err,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,r_hat_train
20.0,20,0,51000,53000,3.2555295805101525,5.147272727272727,0.03777777777777778,poisson,poisson,,1.5070026895542348,0.30512389589653666,20606.545922843634,-10206.564387516068,False,8.59,0.2503159810496107,0.2862167730956783,0.007002689554234776,0.005123895896536668,990,2.943254247639419,2.1424488932681456,0.7150726293272579,0.5925620668719159,-2.356892366487503,1.5141582860351213,3960,2.5952031987622117,1.9531244906776202,0.7694615212573327,0.6712911329655474,-2.251816601467739,1.2512224522660875,
20.0,20,0,51000,53000,3.2555295805101525,5.147272727272727,0.03777777777777778,nb_oracle,nb,20.0,1.5095623126145434,0.30367029917625943,20581.888793997477,-10191.933237999994,False,9.4,0.26396837235931336,0.29583728662622244,0.009562312614543433,0.0036702991762594395,990,3.0200931486846674,2.20653290124437,0.6967836740279295,0.5772640384051939,-2.3284233232721485,1.570234948292851,3960,2.6479208247863375,1.9835575555576908,0.7588092082658705,0.6680490780486676,-2.2474321693780897,1.286176677580803,21.728807541802812
20.0,20,0,51000,53000,3.2555295805101525,5.147272727272727,0.03777777777777778,nb_moment,nb,21.728807541802812,1.50980442553399,0.30406031969993286,20568.236900252512,-10185.107291127511,False,9.83,0.27136928726587056,0.2920475968566396,0.009804425533989969,0.004060319699932868,990,3.0126405307008737,2.1664791137543546,0.6986697828974622,0.5864265492259888,-2.3173725630273507,1.5216695107564628,3960,2.6434495072911495,1.9818873058350042,0.7596082045730889,0.6683491046797485,-2.246417872996992,1.2780299913243944,21.728807541802812
20.0,20,1,51001,53010,3.230685280712608,5.027070707070707,0.04181818181818182,poisson,poisson,,1.4914389493653486,0.3001382331952806,20498.6226981478,-10152.60277516815,False,10.64,0.25792511236721627,0.23876318802340699,0.008561050634651401,0.00013823319528061262,990,2.832539158455812,2.108873810536903,0.6501735168168846,0.5721579705368132,-2.352822742921372,1.501996532726338,3960,2.542717623665729,1.9149128039071743,0.7864806638657056,0.6465469753772993,-2.232380947801957,1.2454768336293291,
20.0,20,1,51001,53010,3.230685280712608,5.027070707070707,0.04181818181818182,nb_oracle,nb,20.0,1.4939053209116364,0.2966376440619164,20482.705525895166,-10142.341603948838,False,10.61,0.2809452250035831,0.24311020534347166,0.006094679088363586,0.0033623559380835943,990,2.8209186599657676,2.125365949269374,0.6496700451061304,0.5752697769662135,-2.3122643466212156,1.4912903452937152,3960,2.648004392784336,1.9631845263986816,0.7660504765837516,0.6413133831780139,-2.230247755763225,1.2784815549719162,17.891782177900552
20.0,20,1,51001,53010,3.230685280712608,5.027070707070707,0.04181818181818182,nb_moment,nb,17.891782177900552,1.4943149948498944,0.2975212367884008,20485.174109543204,-10143.575895772858,False,10.37,0.28548190671483353,0.24218951244679673,0.005685005150105615,0.0024787632115991776,990,2.816595165749396,2.119175138002485,0.6489360115635174,0.5681101319970918,-2.3130971059049212,1.509086395186674,3960,2.631754217595792,1.9630117755234477,0.7693473127498729,0.6391140988653176,-2.2295327857960023,1.2693562752101473,17.891782177900552
20.0,20,2,51002,53020,3.369076368281786,5.1307070707070705,0.04040404040404041,poisson,poisson,,1.5046489853752574,0.30739209926911853,20517.20598967171,-10161.894420930106,False,10.79,0.2381637522386789,0.2847457523949846,0.004648985375257375,0.007392099269118546,990,2.7702159128390136,2.0832211453297824,0.7400582714341842,0.5839797449946068,-2.312076938649197,1.3781288906736575,3960,2.5763297574724775,1.9427358404863728,0.7881483049070878,0.6353934143297244,-2.243256523372046,1.2499519808461705,
20.0,20,2,51002,53020,3.369076368281786,5.1307070707070705,0.04040404040404041,nb_oracle,nb,20.0,1.5075364652371002,0.3044138163088616,20490.119728456633,-10146.048705229572,False,12.3,0.2565896058309233,0.3018264554843752,0.007536465237100165,0.004413816308861618,990,2.9275747120844504,2.1398828629647446,0.7039945201475961,0.5754122364509688,-2.301665847939988,1.4450975519406306,3960,2.6815811717820837,1.9823249982335844,0.7684511567458266,0.6351085019448395,-2.2417427331268356,1.2859356106647164,13.442568143148812
20.0,20,2,51002,53020,3.369076368281786,5.1307070707070705,0.04040404040404041,nb_moment,nb,13.442568143148812,1.5101796779663097,0.303845358519896,20532.138225749113,-10167.057953875812,False,12.17,0.26448291860794165,0.3005844366725971,0.010179677966309697,0.003845358519896036,990,2.9155298939745267,2.130563298591792,0.7011977601526667,0.5698675883806218,-2.2974003929197653,1.4473083946379235,3960,2.708374775711568,1.990894100410009,0.7635993187972406,0.630304422057923,-2.247176249207129,1.294477512729277,13.442568143148812
20.0,20,3,51003,53030,3.379671218252508,5.092121212121212,0.038181818181818185,poisson,poisson,,1.491646896299206,0.29624966429989,20595.77062489463,-10201.176738541566,False,10.74,0.2604668339963902,0.27622494147439663,0.008353103700794007,0.0037503357001099635,990,3.0719350086659003,2.232136315898606,0.7189618023770458,0.6067822709752313,-2.409373879846366,1.6609824372065924,3960,2.589699650645078,1.9525850751856433,0.7729473619245418,0.6244564154961333,-2.2481486122463736,1.2697245979713385,
20.0,20,3,51003,53030,3.379671218252508,5.092121212121212,0.038181818181818185,nb_oracle,nb,20.0,1.494495590891715,0.29300134233583824,20542.43228078851,-10172.204981395511,False,10.87,0.28158070275008584,0.2795309120319804,0.00550440910828498,0.006998657664161745,990,3.076225531066786,2.245927932922409,0.7182196783592248,0.5876827536361185,-2.36536429709278,1.656353495222182,3960,2.6496885163060715,1.9764737042846705,0.760243622015659,0.6194021561573847,-2.2403376165263076,1.2960719426113323,17.670366332053348
20.0,20,3,51003,53030,3.379671218252508,5.092121212121212,0.038181818181818185,nb_moment,nb,17.670366332053348,1.4952812774731707,0.29159448080581346,20546.998513605715,-10174.488097804113,False,10.67,0.2833894639065378,0.27784390578308504,0.004718722526829255,0.008405519194186528,990,3.020088750667235,2.20986193829765,0.7304243823768299,0.5956088136213039,-2.3528613885432974,1.6350409947724418,3960,2.6913305446107034,1.991929306063396,0.7515702314369421,0.6227444748011893,-2.2416577779164175,1.3010690702274494,17.670366332053348
20.0,20,4,51004,53040,3.7706381379777887,5.159191919191919,0.040606060606060604,poisson,poisson,,1.5074859913747163,0.3023154279105976,20446.362550011254,-10126.472701099878,False,10.26,0.25382729961686495,0.25819982327142377,0.007485991374716283,0.002315427910597634,990,3.17616940940813,2.185512634173139,0.6615789104602185,0.6462444301875467,-2.365943042088625,1.493304457235782,3960,2.5249217450052033,1.9170556245894261,0.8246417661828359,0.6434587399403534,-2.2276074977796583,1.1935739768214542,
20.0,20,4,51004,53040,3.7706381379777887,5.159191919191919,0.040606060606060604,nb_oracle,nb,20.0,1.5110643236705152,0.3004318869051813,20442.561479413253,-10122.269580707882,False,10.49,0.2565028074451634,0.25928715436739147,0.011064323670515241,0.00043188690518131123,990,3.127859582238537,2.158010587587957,0.6744963556063114,0.6454066125433997,-2.3082443535340462,1.491331523747231,3960,2.59738183729356,1.944311836506522,0.8133089665849709,0.6439087198452055,-2.2252027650536004,1.2107748089269754,23.086659229809587
20.0,20,4,51004,53040,3.7706381379777887,5.159191919191919,0.040606060606060604,nb_moment,nb,23.086659229809587,1.509550642646197,0.3014473375490427,20428.877505958633,-10115.427593980572,False,10.39,0.26322132968878575,0.2675313702818835,0.009550642646197094,0.0014473375490426932,990,3.1410453700880234,2.2110783196591015,0.6672958571471544,0.640212956263106,-2.327734970246234,1.5398593922681463,3960,2.5844962501981277,1.9376447357810904,0.8154937832556862,0.6401713969236701,-2.2240979082504677,1.2067708026087773,23.086659229809587
inf,inf,0,51000,53000,2.8892512778517734,5.143232323232323,0.03191919191919192,poisson,poisson,,1.5106418701127726,0.29896605302522195,19608.711656355812,-9707.647254272157,False,10.14,0.22808264859816774,0.28125024242783264,0.010641870112772622,0.0010339469747780439,990,2.5715290368438737,1.918443879420466,0.7534020576611667,0.628790082296663,-2.2304916197088245,1.2125825988147643,3960,2.23578896419562,1.727010864836688,0.8131764228907099,0.7072591468285861,-2.1235616875930416,0.9580794556002771,
inf,inf,0,51000,53000,2.8892512778517734,5.143232323232323,0.03191919191919192,nb_moment,nb,1000000.0,1.5106419446977435,0.29896594954335043,19613.32012042334,-9707.648901212926,False,11.64,0.2280830964519733,0.281250332454447,0.010641944697743488,0.00103405045664956,990,2.571530318572819,1.9184446753176592,0.7534017643484375,0.628790082296663,-2.230491138171233,1.2125831085167045,3960,2.235790508820836,1.7270117405521588,0.8131761353769986,0.7072585294321305,-2.123562092860105,0.9580800439115996,1000000.0
