k,split_trial,model_trial,model_seed,split_seed,condition,family_y,nb_r,w0,w,bic_train,nan_occurred,runtime_s,r_hat_train,train_n_pairs,train_rmse,train_mae,train_pearson,train_spearman,train_mean_ll,train_pearson_dispersion,train_hc_density,train_hc_auc,train_hc_ap,test_n_pairs,test_rmse,test_mae,test_pearson,test_spearman,test_mean_ll,test_pearson_dispersion,test_hc_density,test_hc_auc,test_hc_ap
5,0,1,42501,41000,nb_strict,nb,1000000.0,3.384114647460291,0.19434663596079746,28190.962603338106,False,9.32,1000000.0,3960,5.661521661240689,4.315473223700357,0.9632765227897907,0.9631682760638217,-3.164673706078487,0.7563656143704995,0.06893939393939394,0.9899677214567368,0.9002072364802219,990,6.594163055570513,5.020041367823017,0.9523211126696536,0.9515366895512176,-3.2792388171701607,0.9767904753075025,0.06767676767676768,0.9867401885480507,0.8635347587471424
5,0,1,42501,41000,poisson_full,poisson,,3.3934342694393527,0.19157356694403507,34539.01568825364,False,8.98,,3960,5.609055869266695,4.293072564161226,0.9639739590084762,0.9635485722437368,-3.1671641881457,0.7589263240030757,0.06893939393939394,0.9895733052771295,0.8994693243030271,990,5.884079396754868,4.478990897455461,0.9621640739722093,0.9618745913120749,-3.1910321672558055,0.8048097643806079,0.06767676767676768,0.9906372794747821,0.9023325056943363
3,1,0,42310,41100,poisson_strict,poisson,,3.4140252169201593,0.2714669549753682,29079.047795452756,False,8.99,195.1262985191976,3960,6.911897229053616,5.241605943570573,0.9449923582101116,0.9446939929485276,-3.348628287939033,1.1212317749423826,0.06843434343434343,0.9822920240587605,0.8559731736200462,990,7.547986578686543,5.800743787281598,0.9371603137693579,0.9356733457699536,-3.456412547267315,1.3175495143447058,0.0696969696969697,0.9793859856173976,0.8206933852366328
3,1,0,42310,41100,nb_strict,nb,195.1262985191976,3.39609634774123,0.27628038492860313,29057.953143638042,False,8.91,195.1262985191976,3960,6.965749067401354,5.271225328852145,0.9439973467356386,0.9447350335270627,-3.349492841412566,1.1217580248033987,0.06843434343434343,0.9816308382655526,0.8429362021474895,990,7.59936016096696,5.8349758680259205,0.9361793573499793,0.936969240161532,-3.439289913356102,1.3208036122711913,0.0696969696969697,0.9785991911753135,0.8035432044493395
3,1,0,42310,41100,poisson_full,poisson,,3.418694058603482,0.27068334560250557,35790.21927269036,False,9.32,,3960,6.941705993567428,5.26142497299476,0.9444258711077006,0.9440198554931716,-3.351189191809462,1.1231711837665268,0.06843434343434343,0.9829372053547047,0.8637408191965157,990,6.995200119829129,5.361881688621372,0.9463965890704255,0.9458511032365199,-3.3709100472108373,1.151485277091653,0.0696969696969697,0.9811326692788243,0.8211882166274332
3,1,1,42311,41100,poisson_strict,poisson,,3.4122369235631185,0.2716977156077592,29087.03827665711,False,8.95,203.45271733425284,3960,6.963906635795714,5.287570990327926,0.9440069158255886,0.9442239260626853,-3.3504647651930437,1.1227773937004037,0.06843434343434343,0.9830772447057624,0.8560443650989368,990,7.710081495527222,5.903483396944525,0.9342091178038258,0.9359371728535204,-3.4668792898158207,1.350315431295223,0.0696969696969697,0.9768839792915702,0.8047156669126455
3,1,1,42311,41100,nb_strict,nb,203.45271733425284,3.397931270797225,0.27519331889113946,29091.109346595906,False,8.85,203.45271733425284,3960,7.012295079463946,5.343618837936198,0.943037711975688,0.9441290672794004,-3.3524727173949085,1.1311782301974769,0.06843434343434343,0.9817078599086344,0.844269198806541,990,7.775296175496931,5.901271857942801,0.9329251703995207,0.9370245659254701,-3.4465499509423214,1.35854117738481,0.0696969696969697,0.9735479708571338,0.7842178598607542
3,1,1,42311,41100,poisson_full,poisson,,3.416985466419912,0.2715181456451164,35793.351993276505,False,8.43,,3960,6.980486641862354,5.273069370628276,0.9437110249318029,0.9434417810377966,-3.355449001648857,1.131551392613504,0.06843434343434343,0.9839224822175031,0.8651168786910085,990,7.147269524129524,5.53058056552118,0.9437817659019565,0.9453094166349605,-3.376845611136723,1.1752926271308237,0.0696969696969697,0.9796534957277062,0.8220998090039511
5,1,0,42510,41100,poisson_strict,poisson,,3.2347490842600415,0.2201547308390445,27621.776883955303,False,9.07,1000000.0,3960,5.444876306647093,4.178378523222653,0.966045998160222,0.9671041036757339,-3.1205717911250397,0.6936237314334308,0.06843434343434343,0.9901102209720931,0.9050522365898889,990,6.211836827519497,4.749770005390113,0.9581548570013625,0.962473199007399,-3.2104672864013533,0.8767984914243214,0.0696969696969697,0.9793230420620308,0.814243279888161
5,1,0,42510,41100,nb_strict,nb,1000000.0,3.2376419943875536,0.2190235932724563,27655.638271367334,False,9.27,1000000.0,3960,5.439219022799912,4.182188367056214,0.9661401896977805,0.9670383777178787,-3.12051516305626,0.691891202766032,0.06843434343434343,0.9905493443657668,0.9013837753327587,990,6.256761050393833,4.764210677711102,0.9574370914460949,0.9618456232699609,-3.2142465244104512,0.8855710186974406,0.0696969696969697,0.9812742922783992,0.8290187646871082
