run_code_sha,scientific_baseline_sha,reviewed_full_execution_main_sha,protocol_hash,fit_index,estimand,role,K_TRUE,replicate,K,start,data_seed,split_seed,model_seed,mask_design,mask_group_id,anchor_mask_hash,anchor_train_mask_hash,heldout_mean_log_score,internal_retry,warning_count,q_failure,nan_occurred,finite_state,real_full_fits_executed
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,114,A,primary,4,3,1,2,51403,42003,573012,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5926875680952065,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,115,A,primary,4,3,2,1,51403,42003,573021,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.57733172275221,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,116,A,primary,4,3,2,2,51403,42003,573022,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5827351047869901,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,117,A,primary,4,3,3,1,51403,42003,573031,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5231034866059208,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,118,A,primary,4,3,3,2,51403,42003,573032,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5154088355536535,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,119,A,primary,4,3,4,1,51403,42003,573041,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5105122691954478,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,120,A,primary,4,3,4,2,51403,42003,573042,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5101958073448629,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,121,A,primary,4,3,5,1,51403,42003,573051,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5215811479131731,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,122,A,primary,4,3,5,2,51403,42003,573052,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5503342614520766,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,123,A,primary,4,3,6,1,51403,42003,573061,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5452284234923194,0,0,False,False,True,336
ef85b4c921546129b8d4f7440f8a09a41aa652e5,68c78e1191889609dead05ea5a9fb11525ce92e2,ddc9b0b4c38da995fedf43ceef12f17dfb4db353,2d19c5fe6edadd0823925ed7dd051cb27837bccf51d5102e0bcee53271654eb9,124,A,primary,4,3,6,2,51403,42003,573062,S_C,r3,3e56e119afbb8aabbd44551af3351ee6a55c0b96c7d9e6aac153faecff6a9110,dd38a6dc0c729eb26b133f73a06b99d12c5088e5248da46847456f733bcb326f,-0.5621361223607081,0,0,False,False,True,336
