rmse_Z,rmse_F,rmse_Y,rmse_X,w0_err,w_err,model_fx,model_fy,fix_w,fix_x,condition,trial
0.6742878544597811,1.1285914868979363,0.20976418558556845,1.5050804750123368,0.22021352489239465,0.5036939382314547,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",4
0.7710210700058869,1.2525518904368311,0.2044840995668514,1.5608462808639554,0.19917528753492642,0.5627650037820093,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",5
0.7585851442113541,1.2007202084216284,0.21023987135122216,1.528198562623132,0.19908218633538577,0.5299599230378288,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",6
0.596823623130614,0.9841934671685987,0.20392659205548397,1.5017969051456783,0.13403675636491363,0.48295097888813565,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",7
0.7554147243971471,1.2739755676322313,0.2136545561176042,1.6677602678687375,0.23349323721774295,0.5556670702957734,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",8
0.7106152745788711,1.284861728030195,0.21802351799450306,1.5560911057965658,0.14666708033060627,0.5440908533231519,gaussian,bernoulli,False,False,"X=Gaussian, Y=Bernoulli",9
0.7261555234156203,1.1879562610475642,375.4691314236603,1.7727394599103374,0.3058243263713565,1.1922354453170516,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",0
0.8298829827123954,1.1064744268568794,521.8364004828127,1.6635737709093963,0.268742970222865,1.24178284119062,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",1
0.7301576245297596,1.1850618406057662,748.5756488347379,1.6011879446955943,0.21308955710426325,1.2843206470950583,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",2
0.7603833095737745,1.0674475432519321,333.63970262507735,1.6084447997078222,0.24161192734594494,1.2431910306418423,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",3
0.8018660503672285,1.0669633959330724,257.8213689661237,1.466087624892632,0.2953924999291895,1.2297090253686247,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",4
0.8182931247470888,1.1490228911075682,480.40100196831986,1.5599200567060947,0.3110771436008952,1.2277824975411544,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",5
0.7949438053724575,1.1498477114740955,294.31893208550895,1.5352715894938147,0.3175338614708534,1.1977796172997608,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",6
0.7041040291609452,0.920826530190404,561.7009456258488,1.4730683822879596,0.2650897621446875,1.2332024275749427,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",7
0.8028449380793402,1.198199790605388,522.579434962991,1.676530825954383,0.3486393022505794,1.2081271929259607,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",8
0.7896582890956593,1.1416475932112622,580.7904136767439,1.5596593859451335,0.27504592866680255,1.2544363311375535,gaussian,poisson,False,False,"X=Gaussian, Y=Poisson",9
0.607526078123251,3.440039917605857,2.8286184489955555,2.3275428766914454,1.3230956407278618,1.3867065192227148,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",0
0.6411921326906347,3.4764687991382464,2.823750371463942,2.218929409167709,1.3296128431652012,1.3881953243407643,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",1
0.9974592100911943,3.572321750965817,2.8646522891756043,2.3164687617696367,1.3138956059972142,1.4097206544852705,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",2
0.5640390446711187,3.2291467129997704,2.8236768591597863,2.2488438301166114,1.3518466656181787,1.3819539943020733,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",3
0.7612737216662069,3.4571391537944454,2.846694281066366,2.0878359077972095,1.2913953816785821,1.3994787676958216,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",4
0.8753605739125991,3.471066246505858,2.8529769960365963,2.2287401710786905,1.2957600709033175,1.4043334116815562,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",5
0.8512183570462412,3.412375778528028,2.84727176986667,2.103695623915136,1.2954993834147486,1.4002378346880016,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",6
1.327296901695047,3.3167973600320293,2.9226413312039474,2.263702355830598,1.3567175942046508,0.5825213274876728,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",7
0.6854804683307844,3.429252990658398,2.835759759064206,2.226434647139296,1.312607457848992,1.4024751732167569,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",8
0.5873418514381015,3.3942852766692604,2.831932883562793,2.2010384378412757,1.3281603361625023,1.397747140972619,bernoulli,gaussian,False,False,"X=Bernoulli, Y=Gaussian",9
0.9750050345559577,2.834227896399526,0.3058090452947271,2.4242807428803914,0.3202184827560637,1.3187641761393816,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",0
0.7835610284253858,2.672761374302963,0.28793678268481493,2.2637078727511026,0.4330933742873583,1.0099084178365185,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",1
1.011278982677097,2.78303904027015,0.2994772279189866,2.39882708538036,0.36269542407142064,1.331889046830542,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",2
0.9850893447346415,2.4199128572265316,0.30480813550060437,2.335170876405756,0.3237142851905631,1.2979212311970312,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",3
0.9412826034003526,2.584199001898229,0.3039983384155813,2.214372145239898,0.3216736007114085,1.2699880723991663,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",4
0.9864296776025735,2.652870198539397,0.2948678835257029,2.3267472609141975,0.2879344592717866,1.3601513499053552,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",5
0.9810288231388253,2.615742727066815,0.30094057651380246,2.203659539913699,0.29475454089073727,1.323511962254116,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",6
0.9140123679722401,2.693016821163576,0.29152225683882127,2.1866864891486286,0.30807752461708016,1.2711308730883997,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",7
1.009971172378746,2.558992237391306,0.2996462730570448,2.3114506587724586,0.22990058139702307,1.349054566375524,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",8
0.9022851092372453,2.731259198871941,0.2942042465393364,2.2704343699413605,0.26478993919160343,1.3180335112840478,bernoulli,bernoulli,False,False,"X=Bernoulli, Y=Bernoulli",9
0.6237629493070287,3.44638263264655,375.5183942988865,2.3311819362366384,0.28966336129731207,1.1500151241803764,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",0
0.589616081354798,3.596774289761789,521.8521935928763,2.2147246778371747,0.2878591124317007,1.1634290511814385,bernoulli,poisson,False,False,"X=Bernoulli, Y=Poisson",1
