family,k_est,k_true,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_strict,Q_final,nan_occurred,BIC,elapsed_s
bernoulli,6,3,3,9169,0.7160401043067592,0.32694517522072086,0.023306095624082337,0.12454841202439261,0.2883931818926576,0.05555179157117973,0.6251751462029106,-6215.273145428849,-6215.273145428849,False,12881.50346732636,19.70707082748413
bernoulli,6,3,4,9192,0.5358507320970045,0.26155745451641393,0.018937660744659923,0.12326087770331529,0.29857888920221276,0.020687346885579494,0.6377939054941426,-6312.555529432705,-6312.555529432705,False,13076.068235334073,19.15437150001526
bernoulli,6,3,5,9215,0.7121886027747013,0.3200790609419146,0.01890212992098292,0.12091636125469003,0.29543297242388533,0.014647250586157345,0.6560769868462205,-6360.24412315393,-6360.24412315393,False,13171.445422776522,19.122010231018066
bernoulli,6,3,6,9238,0.5643644424789481,0.2531468798297947,0.02028569757418632,0.1332817157596031,0.29509250785996743,0.006331646823983794,0.6771266553531565,-6447.364449043692,-6447.364449043692,False,13345.686074556046,19.085658073425293
bernoulli,6,3,7,9261,0.536848192708764,0.23998208523674766,0.023577772890698803,0.12403617948265785,0.3057268550642759,0.036659376325694604,0.643686097784094,-6390.109565554379,-6390.109565554379,False,13231.17630757742,19.320456504821777
bernoulli,6,3,8,9284,0.47407084086776735,0.2055689179180322,0.015075751582926908,0.12045657733227058,0.29987225290206027,0.003473622450971048,0.6663445080830518,-6435.821492429814,-6435.821492429814,False,13322.60016132829,19.277413368225098
bernoulli,6,3,9,9307,0.7299810687263247,0.3326610359285656,0.019829875871495067,0.12810712594589777,0.2903289533930255,0.012774652955089616,0.6715518778599487,-6444.453712371129,-6444.453712371129,False,13339.86460121092,19.769795179367065
poisson,1,3,0,9100,0.9454983202276123,0.4947241447123258,0.6616113689802956,1.6933851060614358,0.8293147245298477,0.2525424123900369,0.03289692470620287,-22184.85465188149,-9109.71843495667,False,44520.02836258587,12.76933741569519
poisson,1,3,1,9123,0.6255760884691953,0.2506147205589169,0.5044072805939762,1.7669769908592245,0.7417404461062673,0.23428602119976333,0.0324576991938581,-21853.501561372977,-9029.535714883024,False,43857.322181568845,12.815405130386353
poisson,1,3,2,9146,0.6595385107282931,0.31251263183320765,0.6163512227810389,2.30078205913668,0.8102077771406435,0.2351406340322914,0.04936034125335298,-22690.40325219174,-9110.933741187331,False,45531.12556320637,12.670543909072876
poisson,1,3,3,9169,0.8350963724864483,0.46434184127088923,0.49712611861059663,1.4991116593076264,0.7204395229621077,0.20985804125871046,0.0731396698497726,-20903.468825543852,-8871.531384822152,False,41957.256709910595,12.502570867538452
poisson,1,3,4,9192,0.87327566862407,0.46073889295740494,0.6335114253835675,1.62053318590355,0.8180083583002533,0.20429001431999874,0.07592206974628424,-21341.268256605057,-7025.94920230619,False,42832.855572033004,12.5237295627594
poisson,1,3,5,9215,1.272501265201389,0.7620030580772054,0.5709590008599473,1.853644910580032,0.7767257814026293,0.25471640614961094,0.030706673848776567,-22112.43289928152,-9286.602720951061,False,44375.18485738593,12.723309516906738
poisson,1,3,6,9238,0.6222023665276961,0.37689764658118513,0.6862086800400684,2.4946915444405264,0.8503666317792081,0.23110320966271264,0.09530654699495766,-22890.20676812648,-7969.299703328104,False,45930.73259507585,12.594027996063232
poisson,1,3,7,9261,0.9202006220887367,0.5976930681480619,0.61340220235094,2.0999418236179888,0.7891610650222383,0.21928173685935104,0.06966893494926796,-22112.47214461468,-9370.813560211003,False,44375.26334805225,12.564099311828613
poisson,1,3,8,9284,1.0679012336205262,0.6358246130370467,0.7095380869986038,2.5082705648770207,0.8787898516468429,0.21792324274601843,0.07506217596928288,-22630.74892646463,-8383.090174326557,False,45411.81691175215,12.559492588043213
poisson,1,3,9,9307,0.7831744983769882,0.5313600210654668,0.6005750648592945,3.2623572073396407,0.8120438847848442,0.21719256322646768,0.14343092022410509,-22433.390208846507,4153.58753766939,False,45017.099476515905,12.300173282623291
poisson,2,3,0,9100,0.45475020771394414,0.23657695719906632,0.35226064052154926,1.1566289513993737,0.5797803054235747,0.1144640345046519,0.021831206884548093,-18706.0108616095,-5630.874644684675,False,37632.48967615923,14.253047466278076
poisson,2,3,1,9123,0.6518163635628703,0.36745587106388394,0.3431356420449045,1.2834208174100667,0.5749211166264376,0.09882522310777811,0.03054687828195768,-18542.849944694717,-5718.884098204764,False,37306.16784232967,14.203290939331055
