k_est,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,Q_strict,BIC,num_params,elapsed,nan
5,5,0.6741293860077391,0.2883045946321531,0.9000000000000001,0.1461752053377001,1.1738996962613406,0.01783056725508758,0.609402888838026,-6043.675528944451,-8791.377042902532,17908.44537992132,65,17.54034539999884,0
5,6,0.7216104164560576,0.3259171306040689,0.9000000000000001,0.14537809129839718,1.163560087917478,0.039650254814919905,0.5596260824924301,-5819.503775838122,-8670.776354847083,17667.24400381042,65,17.644559399999707,0
5,7,0.5732794145122221,0.24876764333912174,0.9000000000000001,0.1479378992007579,1.16635115263771,0.04140556838945919,0.5368773862929209,-6016.977167485731,-8546.559328229367,17418.80995057499,65,17.588565399999425,0
5,8,0.7216713586053753,0.34069809866420453,0.9000000000000001,0.14021488464519713,1.1403197035679011,0.0964348788652637,0.581493715811705,-6071.636222339627,-8752.912173556393,17831.51564122904,65,17.799253600000156,0
5,9,0.6644704876994019,0.36125221280101405,0.9000000000000001,0.14842695110207044,1.1608691935379423,0.015924561662316705,0.5966800317591117,-6197.861801260894,-8715.6002266994,17756.891747515056,65,17.71546639999906,0
6,0,0.6741275797947534,0.23518369205160075,0.9000000000000001,0.15487038427066593,1.2029932449600051,0.05385853920652017,0.7321669566100327,-6197.739768670972,-9095.207780589679,18566.213208236575,75,18.00370980000116,0
6,1,0.6164968557431191,0.30003268354254825,0.9000000000000001,0.1465119009048239,1.1669985173452038,0.05258682557368333,0.7004545186039942,-6524.731966937186,-8910.953419067928,18197.704485193073,75,17.854387900000802,0
6,2,0.8257485478172836,0.40177028153771005,0.9000000000000001,0.1553865990679489,1.1584125861004468,0.043614218647050285,0.7111686662030946,-6436.623765010584,-8894.26416473995,18164.32597653712,75,18.047920299999532,0
6,3,0.5072830039476862,0.25963673763080936,0.9000000000000001,0.15590805252619722,1.1581798147100184,0.04272428508198722,0.7224134049779131,-5892.580746536527,-9015.36167572569,18406.520998508597,75,18.02967390000049,0
6,4,0.7252764108105325,0.35357308609444843,0.9000000000000001,0.15490202498239714,1.1949727898590197,0.03655839722432552,0.7277340749992663,-6268.146459474067,-9071.109034209649,18518.015715476515,75,17.968272099999012,0
6,5,0.6726478290479376,0.2875404080842001,0.9000000000000001,0.15214010351875437,1.158782833883272,0.021693252416808417,0.7134407631930703,-6253.763955091178,-9001.46546904926,18378.72858515574,75,17.90487849999954,0
6,6,0.7699816904157663,0.3350940468727734,0.9000000000000001,0.15477875249284653,1.151061745211114,0.04219696737557188,0.6811569394749242,-6060.379035601213,-8911.651614610173,18199.100876277564,75,18.216966500000126,0
6,7,0.6904774198288381,0.3181314281990956,0.9000000000000001,0.14586073153704343,1.131610122130028,0.04542662831011268,0.6645434853125798,-6263.248162747531,-8792.830323491165,17961.45829403955,75,18.458478900000046,0
6,8,0.8015069550904264,0.41919118830922486,0.9000000000000001,0.16642733772792995,1.1119305624037334,0.11193052993714236,0.6957664012460582,-6283.538700903921,-8964.814652120687,18305.426951298592,75,18.164789300000848,0
6,9,0.6339304207600897,0.34032118282483886,0.9000000000000001,0.15806527957359573,1.153827771674241,0.01877641911469774,0.7054324142467664,-6419.971508200242,-8937.709933638747,18251.217514334712,75,18.09744959999989,0
