family,condition,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,w_est,nan_occurred,BIC,elapsed_s
poisson,proposed,0,9500,0.2648000044271658,0.18015478803126028,0.016364657430820835,1.0587830138227066,0.32779300324477983,0.11880227815900564,0.08594258050245573,-3221.0170082256636,0.41405741949754427,False,34408.19619781985,16.1007399559021
poisson,proposed,1,9541,0.16867331165328114,0.04036725371026463,0.01408881484243958,0.606922298802362,0.3048493834913229,0.057766162164548655,0.023480541320599624,-2872.674748126679,0.4765194586794004,False,32685.935397339126,16.71525239944458
poisson,proposed,2,9582,0.1523915981185219,0.03142960729863959,0.014615119587370327,0.5393740557191141,0.3077034249412285,0.02285177937131278,0.005103223493459763,-934.1646878292843,0.49489677650654024,False,32428.131801938347,16.00898051261902
poisson,proposed,3,9623,0.27149887501015996,0.16833980768348378,0.020103034931521758,1.2741015423563664,0.29514729322249283,0.2006228461704341,0.13758183993405582,-2849.2846100043903,0.3624181600659442,False,34328.54457174426,16.14708161354065
poisson,proposed,4,9664,0.1619973048496099,0.028810996955573483,0.015258610361740118,0.6029825921116889,0.30661799190560185,0.027360350500970368,0.00943721244705431,-1326.4780010791997,0.4905627875529457,False,32574.96359175273,16.05876922607422
poisson,proposed,5,9705,0.1554628053872807,0.03447854988255709,0.015293487697089193,0.694291664737966,0.3050459047667427,0.08780247261552093,0.032832985255959735,834.1436177074098,0.46716701474404027,False,32366.419634861006,16.249022722244263
poisson,proposed,6,9746,0.22156924502695866,0.11021724735995751,0.02712530912523531,0.9066271359781751,0.3172462172402147,0.136096515090073,0.08223421616663723,-3586.0292410271154,0.41776578383336277,False,33864.22924404655,15.99570345878601
poisson,proposed,7,9787,0.16424757953603383,0.031056682771805278,0.011034769000869046,0.5671086582397946,0.3146286657449692,0.0482497217177845,0.009912782484131855,-2104.186291322101,0.49008721751586815,False,32735.308973162533,16.424038887023926
poisson,proposed,8,9828,0.1567917267876033,0.03255074258308516,0.016085487829030812,0.49233648737248337,0.31235929010189906,0.0063951887599574975,0.012913644688251513,-4093.0896677952323,0.4870863553117485,False,32316.31094187309,16.184563398361206
poisson,proposed,9,9869,0.15799311649412426,0.025132100930002236,0.01470406648274419,0.5515326856687909,0.29889495102374836,0.025888791342263295,0.0073852077817908035,-3478.3611804686807,0.4926147922182092,False,32517.120313574484,16.572733879089355
