true_fam,model_fam,correct,trial,data_seed,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,Q_final,nan_occurred,BIC,elapsed_s
bernoulli,gaussian,False,0,9400,0.20739007858970152,0.029598249842666555,0.01694239563580592,2.708882276837305,0.31887509401438,1.3553617271676206,1.337386382601891,3792.098489689226,False,-7298.590767614965,13.845980644226074
bernoulli,gaussian,False,1,9437,0.19220167525575074,0.03192843767660811,0.011665416292500097,2.680515585540772,0.32055505315945065,1.356590894443367,1.333358187669086,3849.670351938673,False,-7413.734492113859,14.05120301246643
bernoulli,gaussian,False,2,9474,0.1760720127877814,0.025113161941494426,0.014112089963442936,2.6826345940662217,0.3115733274761542,1.3552907630194435,1.3361702810367255,3815.3229139475275,False,-7345.039616131568,13.747915983200073
bernoulli,gaussian,False,3,9511,0.18168001442478554,0.026715725416597343,0.019126378371977334,2.696263894181325,0.3016026863597443,1.3542029055492777,1.337188010941484,3920.2409435586405,False,-7554.875675353795,13.952884912490845
bernoulli,gaussian,False,4,9548,0.19002034486048794,0.02960078700403579,0.0179243168368365,2.691184330891654,0.31550102263436064,1.3628603373072192,1.3349726893158744,3839.8016265326614,False,-7393.997041301836,13.79805302619934
bernoulli,gaussian,False,5,9585,0.22120022904717948,0.04145907032949293,0.01394222279682398,2.6931935533241127,0.3207249706161905,1.363504087061623,1.3326030666181463,3873.819268627386,False,-7462.0323254912855,13.71182131767273
bernoulli,gaussian,False,6,9622,0.18585356711931206,0.02640045630107163,0.015501867286052413,2.689635170304267,0.30658738998932333,1.3586290314838807,1.3344518042316098,3947.5601635255016,False,-7609.514115287517,13.971684217453003
bernoulli,gaussian,False,7,9659,0.19777892110297232,0.026709942807822074,0.014096201279752259,2.674745733959669,0.3095722352869594,1.3603048011744088,1.3301855893214074,4050.271814354546,False,-7814.937416945606,13.86661171913147
bernoulli,gaussian,False,8,9696,0.1912537803006423,0.02758856824964128,0.010468504198344877,2.6811766753728317,0.3231297764691087,1.365915427680463,1.3320033433715945,3832.596435308745,False,-7379.586658854004,13.865853071212769
bernoulli,gaussian,False,9,9733,0.18365909450721077,0.03022219936546153,0.02027476505877723,2.686006101690819,0.31017473000981943,1.3654921937884796,1.3302212716281083,3982.7608927811643,False,-7679.915573798842,13.74860692024231
poisson,bernoulli,False,0,9400,1.378146415328731,26163965.993855193,5.713378315229648,0.5321237199307016,2.726048174619109,17.815509447224905,3.999999996197668,117661.7311304794,False,-235037.8560491953,22.783910274505615
poisson,bernoulli,False,1,9437,1.0142235303570428,0.2520999363709181,0.5391612992595135,0.5291184033741648,0.7709232021502823,17.815494471053047,3.999952355807106,114115.31657183582,False,-227945.02693190816,22.674443244934082
poisson,bernoulli,False,2,9474,1.153413522107969,0.27953314580090677,0.534896488832112,0.5318388354120442,0.7721567194907991,17.815506322753993,3.999985857115986,119665.00937785015,False,-239044.4125439368,22.710501670837402
poisson,bernoulli,False,3,9511,1.367639955329788,0.4766353610741674,0.7725889288137892,0.5326427934614977,0.9173787490875009,17.815509459133896,3.999999999573169,115416.31371755472,False,-230547.02122334595,22.528218746185303
poisson,bernoulli,False,4,9548,1.070680392743235,0.23045322921115052,0.5405773118853298,0.5294720820099683,0.7761501451640266,17.815500374864282,3.9999714134965503,112124.07147217127,False,-223962.53673257906,22.48993492126465
poisson,bernoulli,False,5,9585,1.1644790525460984,0.4136763388468658,0.606743414135201,0.5324478442400161,0.8195493058921365,17.815503094823704,3.999859431675139,129435.33084176407,False,-258585.05547176464,22.435049295425415
poisson,bernoulli,False,6,9622,1.448601286149242,55535.25859755669,0.6215247810086473,0.5332229570952839,0.8314720914023309,17.81550944574404,3.999999999835415,104791.6321152595,False,-209297.65801875552,22.558937788009644
poisson,bernoulli,False,7,9659,1.1662109936066902,11675618.038140448,0.723625057480098,0.5311610212843841,1.0079296224147447,17.815491288531845,3.9999148073829165,116527.50142158451,False,-232769.39663140554,22.79504132270813
poisson,bernoulli,False,8,9696,1.1274010100735086,0.2505233652396143,0.5912321376706533,0.5316116191711538,0.8159347736750268,17.81549595472845,3.999955274608503,112711.50001493892,False,-225137.39381811436,23.03512215614319
poisson,bernoulli,False,9,9733,1.0775481544600274,0.3231522375091622,0.53964034185704,0.5307980803703669,0.7609044867641483,17.815484847353936,3.999864059049922,118083.19450725688,False,-235880.78280275027,22.992831707000732
poisson,poisson,True,0,9400,0.16947239471025732,0.03470471166856559,0.015428580288324301,0.7984822445579391,0.31368444769528664,0.0796902794698067,0.030558604777788545,-204.67265144913364,False,32668.943299473754,16.324126720428467
poisson,poisson,True,1,9437,0.1637071891435528,0.0264495193248121,0.011896772088668442,0.5785184888982666,0.316123245609492,0.007016076410275217,0.011623119862818776,-3716.934101901034,False,32479.50754903912,16.314713954925537
poisson,poisson,True,2,9474,0.16991188066310103,0.04979664772954857,0.013953712412663398,0.7968381805465057,0.31137721713144045,0.09511950481794285,0.04194695740664328,-3310.4001745478135,False,32728.7070987235,16.157172918319702
poisson,poisson,True,3,9511,0.2649310668841778,0.16914908954945884,0.0187859868803497,0.9437885146511905,0.29836620505656525,0.12804885015058365,0.09964608771785849,-3323.386969236627,False,34055.465273816844,16.013285398483276
poisson,poisson,True,4,9548,0.15720758467486845,0.030130077279822046,0.016880277729393822,0.5432896348372016,0.3088978293984306,0.02116575859190935,0.015333988147526179,-3451.7999617352266,False,32390.276805454105,16.289993047714233
poisson,poisson,True,5,9585,0.28843479945089684,0.13984239761405876,0.013940422425763764,1.7927484829501064,0.32058803698455945,0.22817558008564157,0.16910800646374435,-2526.579578214154,False,35340.82911735131,16.093356370925903
poisson,poisson,True,6,9622,0.29824530659007503,0.17857379397064607,0.01901442450759867,1.1891697242989785,0.30557667504565933,0.16343948140082062,0.11962571142508471,-3057.865087848543,False,34647.899027593965,16.445375680923462
poisson,poisson,True,7,9659,0.15759399644169816,0.024660160901633296,0.014111706151157066,0.48367042839134117,0.30555244515592617,0.024881437137134376,0.00616526905367315,-3757.645958085005,False,32494.69520451041,17.73534655570984
poisson,poisson,True,8,9696,0.1568511521256832,0.023992468831269015,0.012014082158579137,0.5219912805576158,0.31806703934556696,0.04160902614639025,0.01744771927407429,-3208.7815103507237,False,32525.54911789471,17.36473822593689
poisson,poisson,True,9,9733,0.14978143819275558,0.026550498431117217,0.02085897057893312,0.45760005728549974,0.30634978967491033,0.013797998674223563,0.006678062966021525,-4057.523738803985,False,32330.093373996322,16.331207513809204
poisson,gaussian,False,0,9400,0.9985058392866095,0.5666078176675206,0.332514896935816,4.741810281700771,0.5521891747409673,1.4002551635609686,2.4065568335844847,-16454.135043397437,False,33193.87629855836,13.737959861755371
poisson,gaussian,False,1,9437,0.3679605978720966,0.098618535163836,0.08849561572987617,1.8804890140622272,0.4075169596867655,1.4635170089637928,0.5242694895133715,-14510.663098055633,False,29306.932407874752,14.03783369064331
poisson,gaussian,False,2,9474,0.6871774569155757,0.2157219267446536,0.27938065375890936,2.4146201946490065,0.5229864303975724,1.424361164275028,0.877574675866605,-14367.586869441726,False,29020.77995064694,14.605476140975952
poisson,gaussian,False,3,9511,0.5749057612572476,0.1826315706934949,0.2272459382771342,2.239160808000009,0.5083793484881411,1.4022525904131398,0.7361225043697464,-14769.007763463651,False,29823.62173869079,13.954087734222412
poisson,gaussian,False,4,9548,0.21363685496406887,0.03736563491556355,0.019641454558059872,1.693972761320593,0.32365192852075675,1.4890493478379627,0.4450947446290485,-15808.742456316502,False,31903.09112439649,13.97765302658081
poisson,gaussian,False,5,9585,0.6699720241633133,0.23219174160752765,0.07371040282693159,2.993384745505067,0.38740351398897754,1.4064196140638807,1.0751782847818192,-16176.17420215363,False,32637.954616070747,13.94899868965149
poisson,gaussian,False,6,9622,0.959853874338257,0.6932042449082105,0.3021112375691333,3.229570690894112,0.555507272007175,1.4009081391406075,2.5089929860878404,-13945.098801602118,False,28175.803814967723,13.7883141040802
poisson,gaussian,False,7,9659,0.41315348554432363,0.08556421816625395,0.0799423918445636,1.8489982957991513,0.3806171886111755,1.489471349087833,0.49614502885336664,-13993.10115522088,False,28271.808522205247,13.298664331436157
poisson,gaussian,False,8,9696,0.7760222000026323,0.3039794971349603,0.33013231051756126,2.618813615031571,0.5672628698183156,1.3866553737260334,1.20825739292121,-14206.298494151773,False,28698.203200067033,14.483190774917603
poisson,gaussian,False,9,9733,0.18931952448105643,0.04355233684532079,0.020933557808317304,1.6317197553627982,0.3133357696876001,1.483997681703574,0.34763864080013585,-13538.614185514069,False,27362.834582791624,12.998024225234985
gaussian,bernoulli,False,0,9400,0.5282366081795924,0.08385674710800094,0.2534101106381057,0.47586213430326557,0.4706630932269465,17.80201300398487,3.9844629270707177,37327.17636920366,False,-74368.74652664384,20.97426128387451
gaussian,bernoulli,False,1,9437,0.5544897382146354,0.08652153142300045,0.27231599144738744,0.46920808419062354,0.45510451978004207,17.80329651167342,3.979427744494461,37277.16688436186,False,-74268.72755696024,20.58300518989563
gaussian,bernoulli,False,2,9474,0.49777979049235965,0.07602045263025256,0.21057322706066234,0.4715445806021838,0.45764680585342743,17.802307565204256,3.981155421153308,38941.333480612884,False,-77597.06074946228,20.625055074691772
gaussian,bernoulli,False,3,9511,0.500670706888033,0.08227748965095455,0.20878989627409728,0.4736740678197859,0.4517685200557122,17.801357712402552,3.979655548818383,38423.854126949926,False,-76562.10204213636,20.90753722190857
gaussian,bernoulli,False,4,9548,0.4639130345400531,0.0562942648569224,0.16772760662259817,0.4770062886436064,0.46797395973667194,17.8016993936241,3.9776275972750703,40077.377729987915,False,-79869.14924821234,20.923434257507324
gaussian,bernoulli,False,5,9585,0.5164864356583735,0.080473757055462,0.2525744720917716,0.47508808064948704,0.47636022704908526,17.800498263327473,3.9804353973400515,38173.046949155694,False,-76060.4876865479,21.123915195465088
gaussian,bernoulli,False,6,9622,0.5124490578323015,0.07979413269619363,0.23243154355081394,0.47151316081520717,0.46126910646777863,17.80082318180863,3.9807780010000586,39266.3487679969,False,-78247.0913242303,20.792011260986328
gaussian,bernoulli,False,7,9659,0.8555555329305569,31721.35527457266,1.2745318814591782,0.4825709038201794,1.3744965269778961,17.802376483560128,3.9806519465547963,30156.348297033674,False,-60027.09038230386,20.28740406036377
gaussian,bernoulli,False,8,9696,0.5269578299883724,0.08112276553645782,0.24639698091554105,0.468794918257845,0.4560898786047259,17.801606559089976,3.9829062120263137,38279.131786617356,False,-76272.65736147123,20.199352264404297
gaussian,bernoulli,False,9,9733,0.4656112265486626,0.055462677723213456,0.1600304968931831,0.47670236959833484,0.458329409232212,17.803001023794714,3.9795287591547286,41176.85463016573,False,-82068.10304856798,20.37847900390625
gaussian,poisson,False,0,9400,0.29114783008171485,0.050074669778317316,0.050479152244976726,4.582887457319488,0.3815307349581483,4.221787152034783,1.3417736839976766,22011.06079146992,False,-33486.81641845831,14.677056074142456
gaussian,poisson,False,1,9437,0.2730978163867293,0.040197871000480605,0.05986318108825363,1.77101231761698,0.39658927917001785,4.208271602391307,1.370971826566773,22049.327584920342,False,-33313.485069710165,14.542633295059204
gaussian,poisson,False,2,9474,0.26858608629987346,0.031644348136392435,0.05283575179717232,2.061060349246581,0.38225664744903254,4.23545488275579,1.3482853321831691,21865.971079207382,False,-33379.0403210238,14.627517461776733
gaussian,poisson,False,3,9511,0.27973176263886995,0.03753102297588458,0.05152779230255844,2.0102847739437246,0.38309830250030924,4.228442442736857,1.346288235295938,22019.037949578335,False,-33610.427258932985,14.590452432632446
gaussian,poisson,False,4,9548,0.2892570527640317,0.04067144917977587,0.05310599977351287,1.805823840297808,0.38781963726681395,4.217109501746115,1.3681353107265046,22033.471532169922,False,-33409.20321992798,14.70950722694397
gaussian,poisson,False,5,9585,0.29274701085177407,0.045440662173573974,0.04891220292052923,2.7369633674424003,0.3810934449693156,4.23220311706118,1.3486773950394513,21977.594938792514,False,-33385.456432876024,14.77946925163269
gaussian,poisson,False,6,9622,0.281354031270249,0.03597499376833217,0.04342503196110805,2.765955114883805,0.3789020895577495,4.211199071068732,1.3769888639055199,22495.5435836723,False,-33820.75040996287,14.402829885482788
gaussian,poisson,False,7,9659,0.2631226609159889,0.03442647308205149,0.0349971401998577,1.6371002411262612,0.3623209119825349,4.2123352285967846,1.3749925628185788,22430.383046107185,False,-34045.562829400675,14.575838565826416
gaussian,poisson,False,8,9696,0.26849250327583873,0.03487889401477412,0.05281721526449285,2.10223409374925,0.3899775177394587,4.226155458017861,1.3723112257149928,22231.217273331917,False,-33733.92777039697,14.444568157196045
gaussian,poisson,False,9,9733,0.25741010110965534,0.041946348962166397,0.041048857469533274,1.4461751243285474,0.3632854772368851,4.20725619595112,1.3587584100560677,22519.80491590613,False,-34223.93388937884,14.5790696144104
gaussian,gaussian,True,0,9400,0.030697638117509238,0.030892635738514192,0.014993409408576549,0.03740227711393564,0.3171074350410921,1.5174722468436273e-05,0.0011699906474860744,18551.89189243498,False,-36818.17757310647,11.179548263549805
gaussian,gaussian,True,1,9437,0.029323138182646407,0.02610452382198891,0.011058190615437734,0.03580278685670068,0.3204585062783901,0.00026537542998969786,0.0004015767644307555,18495.253968778805,False,-36704.90172579412,11.30807113647461
gaussian,gaussian,True,2,9474,0.02748469963552221,0.023490980263226702,0.011383109576727776,0.03360527579050635,0.31377537355601853,0.0015085668023336603,0.0002457537150913347,18816.323324794754,False,-37347.04043782602,11.332581996917725
gaussian,gaussian,True,3,9511,0.028947206774135616,0.02792457492638056,0.016932003445473326,0.03526198174592779,0.30341781635654796,0.00010480368454664679,0.00018796396010922756,18808.570915516277,False,-37331.53561926907,11.52839183807373
gaussian,gaussian,True,4,9548,0.02720068194417501,0.0273061319270117,0.01567283608437755,0.03304724114584452,0.3159239818280144,0.0007488125522654016,1.9255490213754278e-05,18912.185452682294,False,-37538.7646936011,11.35015344619751
gaussian,gaussian,True,5,9585,0.026951071377500874,0.030549309067549286,0.015313957554093129,0.03273878670659762,0.32600437125940523,0.0006635257689910785,0.0010241083719838562,18722.835609271086,False,-37160.065006778685,11.359925508499146
gaussian,gaussian,True,6,9622,0.029464615100572286,0.024498753826143936,0.01526520168507958,0.03573379440491361,0.3065548986676361,0.0006451657949678368,0.0003537166555828142,18700.065851742824,False,-37114.52549172216,11.17484712600708
gaussian,gaussian,True,7,9659,0.029583210500976644,0.024625917241301674,0.013685374169126588,0.036119635394197956,0.3054552140812138,0.0002426531669596847,3.206991733067932e-05,18865.0489355603,False,-37444.49165935711,11.34671688079834
gaussian,gaussian,True,8,9696,0.030998380949942995,0.024065041976587327,0.01134616254251985,0.03796512328151498,0.3168917874807582,0.0009476277152317782,0.00020197541564082044,18676.06334800018,False,-37066.52048423688,11.35187840461731
gaussian,gaussian,True,9,9733,0.02874897119384699,0.02742336118945736,0.017282141668720333,0.03501571673815151,0.3075609638242524,0.0007359653354115276,0.001614375431019499,18730.5489511542,False,-37175.49169054491,11.235456228256226
