kind,name,metric,n,mean,median,min,max,count_positive,std,abs_mean,spread_to_abs_mean_ratio,p10,p90
condition,mixed_train_raw_poisson,test_spearman,30,0.8160439451447977,0.8196603650117353,0.7312997465620155,0.8710087698550563,30,0.03012120781421937,0.8160439451447977,0.036911257038828596,0.7796718773969668,0.8485260127478298
condition,mixed_train_raw_poisson,train_y_ll,30,-2.9420375595152306,-2.940139794719369,-2.9867626991556815,-2.8936926234946174,0,0.0236352208398959,2.9420375595152306,0.008033623079846185,-2.9758048634544227,-2.916005570878501
contrast,delta_primary,test_y_ll,30,0.0042476305806333475,0.006875188115732289,-0.02988408208221749,0.020766581621395552,23,0.012275952256866693,0.0042476305806333475,2.89007059908592,-0.009930545361507769,0.016535639387283665
contrast,A_component,test_y_ll,30,0.0020090367421865688,0.0027827372453330668,-0.020701054470411595,0.020560370818601292,22,0.010121521248510736,0.0020090367421865688,5.037997083863588,-0.012453969528122855,0.01396735938830385
contrast,B_component,test_y_ll,30,0.0022385938384467787,0.001964666953528482,-0.01667561577223875,0.02460006307353524,19,0.009346103273109826,0.0022385938384467787,4.174988384491627,-0.006835465221188829,0.015429295928071164
contrast,P_positive_control,test_y_ll,30,0.012437171865752224,0.011099794810765395,-0.0180799120951729,0.051358766282914914,25,0.013342916428140459,0.012437171865752224,1.0728256047407652,-0.0020547870427799703,0.02718458773069013
contrast,sec_mixed_vs_yonly,test_y_ll,30,0.016684802446385573,0.018746305231764016,-0.013794738966025122,0.04522881037759863,28,0.012747390974721952,0.016684802446385573,0.7640121011731498,0.0016329067988079871,0.029343475151511242
contrast,sec_genreyear_vs_genreonly,test_y_ll,30,-0.0022223320224939486,0.0005717391159736351,-0.03988301083928647,0.021856263550376287,16,0.012214723585215343,0.0022223320224939486,5.496354037821819,-0.01820933913227316,0.00791452164908542
contrast,sec_rawpoisson_vs_mixedlog,test_y_ll,30,-0.10027352676187211,-0.10266404557688746,-0.2036500959693579,0.07012241780136286,1,0.051451753144532715,0.10027352676187211,0.5131140272618463,-0.15230245994831865,-0.04972715294650492
contrast,sec_mixed_vs_genreonly_test_y_rmse,test_y_rmse,30,-0.012143325509319276,-0.01848220799781508,-0.08063835577203626,0.1389840818044581,11,0.04446764822135161,0.012143325509319276,3.6619003737670828,-0.05706434264837092,0.020480569642960366
contrast,sec_mixed_vs_genreonly_test_spearman,test_spearman,30,0.0005778942755267062,0.0009495727965376788,-0.005960152915920225,0.005866052363519003,20,0.002508259487414452,0.0005778942755267062,4.340343197081104,-0.001364046182384293,0.0033454551749348984
contrast,sec_mixed_vs_genreonly_train_y_ll,train_y_ll,30,-0.0008719473630963334,-0.000985596978949399,-0.0031011384270507314,0.002331676374221381,5,0.0013246522169526832,0.0008719473630963334,1.5191882824770178,-0.0026181939519262618,0.0008871254298327803
