contrast,role,metric,cond_a,cond_b,split,value
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,27,0.07012241780136286
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,28,-0.15111645356512637
sec_rawpoisson_vs_mixedlog,secondary,test_y_ll,mixed_train_raw_poisson,mixed_train_log,29,-0.0935899063046639
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,0,0.002966258674513611
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,1,-0.08063835577203626
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,2,0.007899112772868477
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,3,0.0036214892869343984
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,4,-0.056585753398447736
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,5,-0.033789719931959006
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,6,-0.017595104619134716
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,7,-0.07172819419407617
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,8,0.009707121028668553
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,9,0.017339664786180542
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,10,-0.03040055385126461
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,11,-0.04474790497792114
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,12,-0.009105668531283584
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,13,-0.022144135553318733
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,14,-0.01659365700352744
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,15,0.048748713353978346
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,16,0.1389840818044581
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,17,0.014988433790627198
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,18,-0.030653704321960795
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,19,-0.05099357957199935
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,20,-0.06137164589767963
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,21,0.07606362336185235
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,22,-0.0282053318542701
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,23,-0.038220551473870934
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,24,-0.003117796140053919
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,25,0.0010912764542663211
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,26,-0.05603407146721384
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,27,0.005372167671215067
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,28,-0.019369311376495446
sec_mixed_vs_genreonly_test_y_rmse,secondary,test_y_rmse,mixed_train_log,genre_only,29,-0.019786668328627854
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,0,-0.0012764574356356473
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,1,0.0032541122397675704
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,2,0.0012927869618647447
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,3,0.00208857368561155
sec_mixed_vs_genreonly_test_spearman,secondary,test_spearman,mixed_train_log,genre_only,4,0.0009115330930330456
