K_TRUE,n,replicate,status,unthresholded_rank,min_eigenvalue,eigenvalues,gap_ratios
3,50,2,ok,15,-1.0746119537951673,"[3.831069855361685, 3.164339588686912, 1.6652437157282538, 1.1768853480034491, 0.3947029849697791, 0.3748449543941328, 0.19672325881419997, 0.01338872583945386, -0.11196577740123244, -0.4109368203880525, -0.4488810701931854, -0.5760874179890318, -0.7987485556963912, -0.9831569021127502, -1.0746119537951673]","[1.2107012373319395, 1.9002261103282803, 1.4149583207517114, 2.9816986261037743, 1.052976651660533, 1.9054429895763578, 14.693202413219668, -0.11957873334344826, 0.27246469979375865, 0.9154692582852675, 0.7791891580623476, 0.7212375082002725, 0.8124324347211768, 0.9148948126256844]"
3,50,3,ok,15,-0.9933637642730343,"[4.298690410023051, 2.905257796941385, 2.0385924239413833, 0.7383813439887971, 0.6256307337677118, 0.46556484674558407, 0.3355044516129977, 0.11655188586275296, -0.005201827515543581, -0.0811045963840336, -0.2383900206954735, -0.32145546205786085, -0.4938839104923269, -0.6247259103528351, -0.9933637642730343]","[1.4796244293875236, 1.425129301385514, 2.76089373131875, 1.1802191039146552, 1.343810079607661, 1.3876562427332864, 2.878584495904896, -22.405949738718608, 0.0641372714674852, 0.34021808525130764, 0.7415958004551315, 0.6508725132135178, 0.7905609521036021, 0.6288994352537345]"
3,50,4,ok,15,-1.3100044008199259,"[3.794928053936884, 2.97867069427511, 2.020605206140191, 0.8909961140340052, 0.6062050595616796, 0.5396055482476741, 0.12018294873608634, 0.0011149041685806344, -0.15643701583315453, -0.23128241929916396, -0.2539562297767738, -0.5375984138470504, -0.7380907291750035, -0.8194740162685987, -1.3100044008199259]","[1.2740341056265767, 1.4741477876150972, 2.2678047348510364, 1.4697932654640753, 1.123422584386469, 4.4898677717802675, 107.79666281909164, -0.007126856534835196, 0.6763895686805452, 0.9107176441486, 0.4723902140251211, 0.7283635908121321, 0.9006883861136114, 0.6255505826970457]"
3,75,1,ok,15,-0.5692815062785248,"[2.4782728994748657, 2.05869558904764, 1.9505210790750727, 0.5914762293724083, 0.48504729301729244, 0.3285135816103575, 0.2570151609485684, -0.0008891182199949181, -0.07051242701007474, -0.1116751344568073, -0.15533410535900666, -0.2752963346874136, -0.4519828615553847, -0.5237743934412998, -0.5692815062785248]","[1.203807358727243, 1.0554592878452067, 3.2977167673241787, 1.2194197099690267, 1.476490836815983, 1.2781875606011301, -289.0674773822962, 0.01260938330583745, 0.6314066900662376, 0.7189350606468864, 0.5642432745622329, 0.6090857820140589, 0.8629342465288714, 0.9200621971110364]"
3,75,2,ok,15,-0.8316573232687691,"[3.154364630153816, 2.863012656468839, 1.5203434406105176, 0.5928697176341223, 0.45362217197898547, 0.35183451815416245, 0.15785016672908997, 0.011851769045197537, -0.03005210447251896, -0.19877053256591545, -0.36385013193976606, -0.5559481586588576, -0.6101798300893676, -0.7425139360685906, -0.8316573232687691]","[1.1017641235454132, 1.8831354679434482, 2.56438032739727, 1.3069681207328367, 1.289305479061105, 2.228914453780703, 13.31870087301883, -0.394374013175528, 0.15118993788756493, 0.5462978163735313, 0.6544677345770881, 0.9111218221969626, 0.8217755929539907, 0.8928123582802027]"
3,75,3,ok,15,-0.6953055262230998,"[3.4648350832911903, 2.395811642954857, 1.381808821547442, 0.6545560408015946, 0.4193476724574124, 0.370571260441577, 0.22225737201599818, 0.13276037792657644, 0.027999008850957924, 0.001557587764913381, -0.14525444552390065, -0.15673981278619303, -0.422931838134369, -0.520460135078789, -0.6953055262230998]","[1.446205127802894, 1.733822802109388, 2.1110626675375657, 1.5608910786742693, 1.13162491866669, 1.6673069472579884, 1.6741242793005482, 4.741609913167849, 17.975878779784185, -0.0107231676063029, 0.9267233572751588, 0.3706030112975214, 0.8126113983164998, 0.7485344434207633]"
3,75,4,ok,15,-1.0260801011249514,"[3.238657860977672, 2.6516656447769686, 2.2017456834774456, 0.8390523674702497, 0.40771388129196356, 0.3357728436921324, 0.12994176858336687, 0.11991635479411339, -0.03348248297421406, -0.18205402973566928, -0.3037513857490495, -0.3745827518650299, -0.582495656425131, -0.685531054205233, -1.0260801011249514]","[1.2213673572899026, 1.2043469255672243, 2.624086134356224, 2.05794407787015, 1.2142550803357801, 2.584025501212955, 1.0836033901002602, -3.5814654154073593, 0.18391508840989934, 0.5993520960792489, 0.8109059593285747, 0.643065313420368, 0.8496998828163145, 0.6681067622826379]"
3,100,1,ok,15,-0.6555472977036095,"[3.1576549013833994, 2.964635605565101, 1.9711301895595383, 0.6005919114919004, 0.43565411960172934, 0.34078679030893566, 0.25517380818924157, 0.23644242701938964, 0.005921907566255544, -0.09671181663967991, -0.1660328335786107, -0.34581979537965135, -0.36479199910961013, -0.5392997235431102, -0.6555472977036095]","[1.0651072581925314, 1.5040283088696276, 3.2819792472115585, 1.3785980310273562, 1.2783773667013119, 1.3355085019392035, 1.0792217429248256, 39.926733805622966, -0.06123251296497561, 0.5824860935947965, 0.4801137349478068, 0.9479917219229961, 0.6764179234377998, 0.8226709581936863]"
3,100,2,ok,15,-0.7294947544400057,"[2.3647459915647677, 1.900740065521654, 1.295174807745445, 0.5675098566062645, 0.5040225283290183, 0.3801074042725848, 0.14824849530823425, 0.06874850027097713, 0.024687777210311755, -0.060736223981518886, -0.1768857491197216, -0.23439096788698205, -0.26017439309288787, -0.5768199815446904, -0.7294947544400057]","[1.2441185591127992, 1.4675548459982302, 2.2822067188236184, 1.1259612908330214, 1.326000290085301, 2.563988278479831, 2.156388789921267, 2.7847181090998263, -0.4064753386352084, 0.34336414484363453, 0.7546611147790125, 0.9008994509436578, 0.4510495499759838, 0.7907116233995191]"
3,100,3,ok,15,-0.8581238091946294,"[3.2040630174518308, 2.6389556075940517, 1.7374216524362964, 0.558669009566676, 0.38572765605255643, 0.23012325542421713, 0.1187093967269319, 0.0718401182925837, -0.008490660968625859, -0.10033968016894516, -0.12747702640811215, -0.31460588467861117, -0.45830789886823087, -0.5830610034019684, -0.8581238091946294]","[1.2141405517514523, 1.5188918613357794, 3.109930249726764, 1.4483509305087416, 1.6761785128647375, 1.9385428767157444, 1.6524109306649997, -8.461074886636348, 0.08461917512921965, 0.7871197108701928, 0.4051959375722981, 0.6864509327801575, 0.7860376464797948, 0.6794602330742759]"
3,100,4,ok,15,-0.7397743479187558,"[2.886952604211532, 2.267439291246244, 1.5632500743302697, 0.5488134698174072, 0.4810522732475229, 0.32381899060053104, 0.1400490681164412, 0.02480601100301252, -0.08964101905719456, -0.21743301499947515, -0.32662925629544376, -0.34789773487264813, -0.41380740830354534, -0.46885476933406905, -0.7397743479187558]","[1.273221565559441, 1.450464854266944, 2.8484178328392167, 1.1408603603771312, 1.485559177228607, 2.312182401180262, 5.645771426104471, -0.2767261156099229, 0.4122695859109112, 0.6656875059679342, 0.9388657170044814, 0.8407237953977139, 0.882591871447294, 0.6337807882270068]"
3,150,1,ok,15,-0.42530851285680704,"[2.6990244434010657, 2.357000208321271, 2.1620393659373685, 0.5362946224783934, 0.4193544390558017, 0.34834461329760963, 0.2979207266418482, 0.12467460230956572, 0.07879143494947972, -0.017285287769726126, -0.07918070142773317, -0.1578980949481947, -0.23183951143098186, -0.354641712065948, -0.42530851285680704]","[1.1451099723590585, 1.0901745109064542, 4.031439576898748, 1.2788576262263698, 1.203849357927417, 1.1692526976022706, 2.3895863401441955, 1.5823369937291512, -4.558294660704288, 0.21830177629206912, 0.5014671105038463, 0.6810663720502217, 0.653728829810831, 0.8338457880464502]"
3,150,2,ok,15,-0.5015838419052603,"[3.2072898570885515, 2.7397093029850974, 1.8130763621880581, 0.5025653340773031, 0.34445910255187845, 0.30577231436638974, 0.039892189169371095, 0.004146122758603278, -0.049111263050805994, -0.10144239622937577, -0.22676378608363656, -0.2644796646059625, -0.39186826125253277, -0.4810202328561676, -0.5015838419052603]","[1.1706679440749403, 1.5110832395822311, 3.60764310478521, 1.4589985584765104, 1.1265215533514015, 7.66496702069084, 9.621564891341942, -0.08442305290161405, 0.4841295639326027, 0.4473483089224886, 0.8573959227507442, 0.6749198410726178, 0.8146606618306373, 0.9590026485482824]"
