K_TRUE,n,replicate,data_seed,split_seed,generator_version,F_rank,f_scale,mean_f_row_norm_sq,w0_true,w_true,link_policy,normalization_policy,x_mean,x_max,y_density,n_train_pairs,n_test_pairs,train_mask_hash,test_mask_hash
3,75,3,840753,850753,canonical-clean-v1,3,1.5811388300841898,0.5,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2897777777777777,28.0,0.32360360360360363,2220,555,106bffb179473a9c3f9006078c389097b17d1f8ee83d04ebb01ffee2ae36c02c,069771caa53ca2e8532374a9e56e7269be0d7687c43c7123369ecb3a145c18a6
3,75,4,840754,850754,canonical-clean-v1,3,1.5811388300841898,0.5000000000000001,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.296,15.0,0.3326126126126126,2220,555,57bfe3638f781a2ba48603960f8fdbe4ff8b9eb76e436b103f417ff930fdef66,219df8123b5dfb952a57ee4ebabcb4eddcc66427579db6b67e32410de2db8ac2
3,100,1,841001,851001,canonical-clean-v1,3,1.5811388300841898,0.5,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.3273333333333333,28.0,0.3523232323232323,3960,990,4bc07e141429341cff63d350d17aa787a665c32d04fa1e7b2b75b03be9be3c6f,33df2bbcc941a351bfa7908d81f695d6d9e0b84cc735ba24374d9520545e73cc
3,100,2,841002,851002,canonical-clean-v1,3,1.5811388300841898,0.4999999999999999,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2013333333333334,21.0,0.32202020202020204,3960,990,0446b17fb58eb1016c9adf1ffbceb1c54c6f9c60df2704b8cfcde9d817480ecf,4e2be4555c9d87f33466d99e4be0af277502ef177d441208d45a77b9385c83a8
3,100,3,841003,851003,canonical-clean-v1,3,1.5811388300841898,0.5000000000000002,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2666666666666666,23.0,0.3183838383838384,3960,990,87b174091c679a262e70307209c88bf8b5b664850a008caafb5225af73da32e1,b679388724bf3eff8a2010a8d9d7402a85c20f295647c3108a08bc087cf5fb39
3,100,4,841004,851004,canonical-clean-v1,3,1.5811388300841898,0.5000000000000001,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.2373333333333334,14.0,0.31353535353535356,3960,990,7f079de836058ab1664a5bfa74b34e865f1ccb356d54550bd335b1ae114c29b6,c96757e24edd48f34d2ee52fb00b93a6f0e5ff59b445dfc4fbdc62f276a1d0fc
3,150,1,841501,851501,canonical-clean-v1,3,1.5811388300841898,0.5000000000000002,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.3217777777777777,14.0,0.330738255033557,8940,2235,cf49dd86dd4db5c759b98e8939950887be360d1f12c83ad9b59687dcedd85628,7719f9d593ad1b787c42fa41fc0dd30a154b55116a45d896707b46572a4445f0
3,150,2,841502,851502,canonical-clean-v1,3,1.5811388300841898,0.4999999999999999,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.279111111111111,18.0,0.34630872483221475,8940,2235,fca5504a1b068cbd9aab560c8bbae1f6276420ac721f3fe56bff024ada249c41,562622391598ea53ebbc63711821499e8ab9118f05649933738459dadbe9a863
3,150,3,841503,851503,canonical-clean-v1,3,1.5811388300841898,0.5000000000000001,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.3244444444444445,35.0,0.3314541387024609,8940,2235,545a951e7e4248d3e472a22959ae4226659408fbae681d70cc4b8dcf7304b711,3a896cd3bd9e6958dbdfd940886f318dbcdb785317f3eb4510e901c08c24a1cf
3,150,4,841504,851504,canonical-clean-v1,3,1.5811388300841898,0.5,-1.0,1.0,canonical_no_clipping_fail_fast,none,1.3253333333333333,28.0,0.3364653243847875,8940,2235,35af51d7160bdd9a1e51b3d6ef43ad3956b7393c1a19cde36bd896e8dcfe1d83,a12ed832ddbc3caf8613b5d0965caf92da82f2467fa7c7bd7e13b84bb99ce34b
5,50,1,860501,870501,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2053333333333334,18.0,0.32979591836734695,980,245,b926db36603e3a7aff03b665065dbb6525b5fa66dfe42d066f6ff5a82b67bae8,9e780c8f4a30bc06394f124e516410525b5cc5f521e303bf7a4cae4b5864ac76
5,50,2,860502,870502,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.156,12.0,0.3379591836734694,980,245,56acadbf00bae4f27fe5e432d4a4f99f116fd983947d3b605a6ddc1b26916895,f0a657977ab9b2a8b498e743da0cb0352c34df7eb26eb6eb296eacf5422b7b44
5,50,3,860503,870503,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.244,11.0,0.34285714285714286,980,245,f208b309202632ad5ceb2b139f93fcd9843d904f0376e501c88ed367424987a9,7c4229d190b6bba799bafdb3aad41f0e833e1bc7146a5ae3ec47b8b88969e8ff
5,50,4,860504,870504,canonical-clean-v1,5,1.224744871391589,0.5,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.24,9.0,0.3379591836734694,980,245,261ede92f9533c21798d1a42e428f8e867e4eb95b91c704c058f73692c446d2a,c35bb0209e27e1d5f98ec37296f992fcc1315dd30ae1b57db0b922bf5d7b2a0f
5,50,5,860505,870505,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3573333333333333,19.0,0.32979591836734695,980,245,22f2b444027c48dcc90dd29832022ea6a17b2670a32271a17e28f73d43ceda64,e8c793c925c3394d984d858c102eac9d96d0429cffea07c8ef7f73b0887327c2
5,50,6,860506,870506,canonical-clean-v1,5,1.224744871391589,0.49999999999999983,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.288,23.0,0.3510204081632653,980,245,adfefb81a37a5152624a8ba6872f5a017d911a2d3ddc1b50cf11a4db32cf33d6,8dc24e9ff92f6c7ed90b07601c2e4d19818c553a9b9057d1841624818c0206a8
5,50,7,860507,870507,canonical-clean-v1,5,1.224744871391589,0.49999999999999983,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3546666666666667,16.0,0.3363265306122449,980,245,8e88bd6d932b806d9c8e8edd0ec547997404ddfc5c7b93daf2902dd09e47dd3c,ec447f1622c3951d40cc31fc6ec4c2a4794304256f5ed6dd281bea9ee495cdca
5,50,8,860508,870508,canonical-clean-v1,5,1.224744871391589,0.49999999999999994,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3133333333333332,23.0,0.3224489795918367,980,245,f56f4a3d81969d178a66158fd831c57940e069504e9f0c1ebe114d2f4b73f2be,6ed1418619973171d5dc44cdb483058a4c2520b20f92e8d60d0a933ea2e09d2e
5,75,1,860751,870751,canonical-clean-v1,5,1.224744871391589,0.49999999999999983,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.3075555555555556,15.0,0.338018018018018,2220,555,c1abecd3cab20e8d8121e9c7e0481c0b6e2c57af67c391c3ce55b45df67dcf01,863b3bfce385fef9607d570229b7e552e8284b1dae78d45d7120d9a2b2b3b2e8
5,75,2,860752,870752,canonical-clean-v1,5,1.224744871391589,0.4999999999999999,-1.0,0.7745966692414834,canonical_no_clipping_fail_fast,none,1.2915555555555556,15.0,0.3589189189189189,2220,555,28d62d14c13472193e75885c162dd8e8c480843e03590648f7e9ec20d167f241,45945e9f51947a6a5936005ecaec80e05144ed8815f6867a9ea1b41a0a96af10
