fit_index,K_TRUE,n,replicate,K,start,data_seed,split_seed,model_seed
106,1,75,4,4,2,820754,830754,1005442
107,1,75,4,5,1,820754,830754,1005451
108,1,75,4,5,2,820754,830754,1005452
109,1,75,4,6,1,820754,830754,1005461
110,1,75,4,6,2,820754,830754,1005462
111,1,75,4,7,1,820754,830754,1005471
112,1,75,4,7,2,820754,830754,1005472
113,1,100,1,1,1,821001,831001,1030111
114,1,100,1,1,2,821001,831001,1030112
115,1,100,1,2,1,821001,831001,1030121
116,1,100,1,2,2,821001,831001,1030122
117,1,100,1,3,1,821001,831001,1030131
118,1,100,1,3,2,821001,831001,1030132
119,1,100,1,4,1,821001,831001,1030141
120,1,100,1,4,2,821001,831001,1030142
121,1,100,1,5,1,821001,831001,1030151
122,1,100,1,5,2,821001,831001,1030152
123,1,100,1,6,1,821001,831001,1030161
124,1,100,1,6,2,821001,831001,1030162
125,1,100,1,7,1,821001,831001,1030171
126,1,100,1,7,2,821001,831001,1030172
127,1,100,2,1,1,821002,831002,1030211
128,1,100,2,1,2,821002,831002,1030212
129,1,100,2,2,1,821002,831002,1030221
130,1,100,2,2,2,821002,831002,1030222
131,1,100,2,3,1,821002,831002,1030231
132,1,100,2,3,2,821002,831002,1030232
133,1,100,2,4,1,821002,831002,1030241
134,1,100,2,4,2,821002,831002,1030242
135,1,100,2,5,1,821002,831002,1030251
136,1,100,2,5,2,821002,831002,1030252
137,1,100,2,6,1,821002,831002,1030261
138,1,100,2,6,2,821002,831002,1030262
139,1,100,2,7,1,821002,831002,1030271
140,1,100,2,7,2,821002,831002,1030272
141,1,100,3,1,1,821003,831003,1030311
142,1,100,3,1,2,821003,831003,1030312
143,1,100,3,2,1,821003,831003,1030321
144,1,100,3,2,2,821003,831003,1030322
145,1,100,3,3,1,821003,831003,1030331
146,1,100,3,3,2,821003,831003,1030332
147,1,100,3,4,1,821003,831003,1030341
148,1,100,3,4,2,821003,831003,1030342
149,1,100,3,5,1,821003,831003,1030351
150,1,100,3,5,2,821003,831003,1030352
151,1,100,3,6,1,821003,831003,1030361
152,1,100,3,6,2,821003,831003,1030362
153,1,100,3,7,1,821003,831003,1030371
154,1,100,3,7,2,821003,831003,1030372
155,1,100,4,1,1,821004,831004,1030411
156,1,100,4,1,2,821004,831004,1030412
157,1,100,4,2,1,821004,831004,1030421
158,1,100,4,2,2,821004,831004,1030422
159,1,100,4,3,1,821004,831004,1030431
160,1,100,4,3,2,821004,831004,1030432
161,1,100,4,4,1,821004,831004,1030441
162,1,100,4,4,2,821004,831004,1030442
163,1,100,4,5,1,821004,831004,1030451
164,1,100,4,5,2,821004,831004,1030452
165,1,100,4,6,1,821004,831004,1030461
166,1,100,4,6,2,821004,831004,1030462
167,1,100,4,7,1,821004,831004,1030471
168,1,100,4,7,2,821004,831004,1030472
169,1,150,1,1,1,821501,831501,1080111
170,1,150,1,1,2,821501,831501,1080112
171,1,150,1,2,1,821501,831501,1080121
172,1,150,1,2,2,821501,831501,1080122
173,1,150,1,3,1,821501,831501,1080131
174,1,150,1,3,2,821501,831501,1080132
175,1,150,1,4,1,821501,831501,1080141
176,1,150,1,4,2,821501,831501,1080142
177,1,150,1,5,1,821501,831501,1080151
178,1,150,1,5,2,821501,831501,1080152
179,1,150,1,6,1,821501,831501,1080161
180,1,150,1,6,2,821501,831501,1080162
181,1,150,1,7,1,821501,831501,1080171
182,1,150,1,7,2,821501,831501,1080172
183,1,150,2,1,1,821502,831502,1080211
184,1,150,2,1,2,821502,831502,1080212
185,1,150,2,2,1,821502,831502,1080221
186,1,150,2,2,2,821502,831502,1080222
187,1,150,2,3,1,821502,831502,1080231
188,1,150,2,3,2,821502,831502,1080232
189,1,150,2,4,1,821502,831502,1080241
190,1,150,2,4,2,821502,831502,1080242
191,1,150,2,5,1,821502,831502,1080251
192,1,150,2,5,2,821502,831502,1080252
193,1,150,2,6,1,821502,831502,1080261
194,1,150,2,6,2,821502,831502,1080262
195,1,150,2,7,1,821502,831502,1080271
196,1,150,2,7,2,821502,831502,1080272
197,1,150,3,1,1,821503,831503,1080311
198,1,150,3,1,2,821503,831503,1080312
199,1,150,3,2,1,821503,831503,1080321
200,1,150,3,2,2,821503,831503,1080322
201,1,150,3,3,1,821503,831503,1080331
202,1,150,3,3,2,821503,831503,1080332
203,1,150,3,4,1,821503,831503,1080341
204,1,150,3,4,2,821503,831503,1080342
205,1,150,3,5,1,821503,831503,1080351
206,1,150,3,5,2,821503,831503,1080352
207,1,150,3,6,1,821503,831503,1080361
208,1,150,3,6,2,821503,831503,1080362
209,1,150,3,7,1,821503,831503,1080371
210,1,150,3,7,2,821503,831503,1080372
211,1,150,4,1,1,821504,831504,1080411
212,1,150,4,1,2,821504,831504,1080412
213,1,150,4,2,1,821504,831504,1080421
214,1,150,4,2,2,821504,831504,1080422
215,1,150,4,3,1,821504,831504,1080431
216,1,150,4,3,2,821504,831504,1080432
217,1,150,4,4,1,821504,831504,1080441
218,1,150,4,4,2,821504,831504,1080442
219,1,150,4,5,1,821504,831504,1080451
220,1,150,4,5,2,821504,831504,1080452
221,1,150,4,6,1,821504,831504,1080461
222,1,150,4,6,2,821504,831504,1080462
223,1,150,4,7,1,821504,831504,1080471
224,1,150,4,7,2,821504,831504,1080472
225,3,50,1,1,1,840501,850501,1180111
226,3,50,1,1,2,840501,850501,1180112
227,3,50,1,2,1,840501,850501,1180121
228,3,50,1,2,2,840501,850501,1180122
229,3,50,1,3,1,840501,850501,1180131
230,3,50,1,3,2,840501,850501,1180132
231,3,50,1,4,1,840501,850501,1180141
232,3,50,1,4,2,840501,850501,1180142
233,3,50,1,5,1,840501,850501,1180151
234,3,50,1,5,2,840501,850501,1180152
235,3,50,1,6,1,840501,850501,1180161
236,3,50,1,6,2,840501,850501,1180162
237,3,50,1,7,1,840501,850501,1180171
238,3,50,1,7,2,840501,850501,1180172
239,3,50,2,1,1,840502,850502,1180211
240,3,50,2,1,2,840502,850502,1180212
241,3,50,2,2,1,840502,850502,1180221
242,3,50,2,2,2,840502,850502,1180222
243,3,50,2,3,1,840502,850502,1180231
244,3,50,2,3,2,840502,850502,1180232
245,3,50,2,4,1,840502,850502,1180241
246,3,50,2,4,2,840502,850502,1180242
247,3,50,2,5,1,840502,850502,1180251
248,3,50,2,5,2,840502,850502,1180252
249,3,50,2,6,1,840502,850502,1180261
250,3,50,2,6,2,840502,850502,1180262
251,3,50,2,7,1,840502,850502,1180271
252,3,50,2,7,2,840502,850502,1180272
253,3,50,3,1,1,840503,850503,1180311
254,3,50,3,1,2,840503,850503,1180312
255,3,50,3,2,1,840503,850503,1180321
256,3,50,3,2,2,840503,850503,1180322
257,3,50,3,3,1,840503,850503,1180331
258,3,50,3,3,2,840503,850503,1180332
259,3,50,3,4,1,840503,850503,1180341
260,3,50,3,4,2,840503,850503,1180342
261,3,50,3,5,1,840503,850503,1180351
262,3,50,3,5,2,840503,850503,1180352
263,3,50,3,6,1,840503,850503,1180361
264,3,50,3,6,2,840503,850503,1180362
265,3,50,3,7,1,840503,850503,1180371
266,3,50,3,7,2,840503,850503,1180372
267,3,50,4,1,1,840504,850504,1180411
268,3,50,4,1,2,840504,850504,1180412
269,3,50,4,2,1,840504,850504,1180421
270,3,50,4,2,2,840504,850504,1180422
271,3,50,4,3,1,840504,850504,1180431
272,3,50,4,3,2,840504,850504,1180432
273,3,50,4,4,1,840504,850504,1180441
274,3,50,4,4,2,840504,850504,1180442
275,3,50,4,5,1,840504,850504,1180451
276,3,50,4,5,2,840504,850504,1180452
277,3,50,4,6,1,840504,850504,1180461
278,3,50,4,6,2,840504,850504,1180462
279,3,50,4,7,1,840504,850504,1180471
280,3,50,4,7,2,840504,850504,1180472
281,3,75,1,1,1,840751,850751,1205111
282,3,75,1,1,2,840751,850751,1205112
283,3,75,1,2,1,840751,850751,1205121
284,3,75,1,2,2,840751,850751,1205122
285,3,75,1,3,1,840751,850751,1205131
286,3,75,1,3,2,840751,850751,1205132
287,3,75,1,4,1,840751,850751,1205141
288,3,75,1,4,2,840751,850751,1205142
289,3,75,1,5,1,840751,850751,1205151
290,3,75,1,5,2,840751,850751,1205152
291,3,75,1,6,1,840751,850751,1205161
292,3,75,1,6,2,840751,850751,1205162
293,3,75,1,7,1,840751,850751,1205171
294,3,75,1,7,2,840751,850751,1205172
295,3,75,2,1,1,840752,850752,1205211
296,3,75,2,1,2,840752,850752,1205212
297,3,75,2,2,1,840752,850752,1205221
298,3,75,2,2,2,840752,850752,1205222
299,3,75,2,3,1,840752,850752,1205231
300,3,75,2,3,2,840752,850752,1205232
301,3,75,2,4,1,840752,850752,1205241
302,3,75,2,4,2,840752,850752,1205242
303,3,75,2,5,1,840752,850752,1205251
304,3,75,2,5,2,840752,850752,1205252
305,3,75,2,6,1,840752,850752,1205261
306,3,75,2,6,2,840752,850752,1205262
307,3,75,2,7,1,840752,850752,1205271
308,3,75,2,7,2,840752,850752,1205272
309,3,75,3,1,1,840753,850753,1205311
310,3,75,3,1,2,840753,850753,1205312
311,3,75,3,2,1,840753,850753,1205321
312,3,75,3,2,2,840753,850753,1205322
313,3,75,3,3,1,840753,850753,1205331
314,3,75,3,3,2,840753,850753,1205332
315,3,75,3,4,1,840753,850753,1205341
316,3,75,3,4,2,840753,850753,1205342
317,3,75,3,5,1,840753,850753,1205351
318,3,75,3,5,2,840753,850753,1205352
319,3,75,3,6,1,840753,850753,1205361
320,3,75,3,6,2,840753,850753,1205362
321,3,75,3,7,1,840753,850753,1205371
322,3,75,3,7,2,840753,850753,1205372
323,3,75,4,1,1,840754,850754,1205411
324,3,75,4,1,2,840754,850754,1205412
325,3,75,4,2,1,840754,850754,1205421
326,3,75,4,2,2,840754,850754,1205422
327,3,75,4,3,1,840754,850754,1205431
328,3,75,4,3,2,840754,850754,1205432
329,3,75,4,4,1,840754,850754,1205441
330,3,75,4,4,2,840754,850754,1205442
331,3,75,4,5,1,840754,850754,1205451
332,3,75,4,5,2,840754,850754,1205452
333,3,75,4,6,1,840754,850754,1205461
334,3,75,4,6,2,840754,850754,1205462
335,3,75,4,7,1,840754,850754,1205471
336,3,75,4,7,2,840754,850754,1205472
337,3,100,1,1,1,841001,851001,1230111
338,3,100,1,1,2,841001,851001,1230112
339,3,100,1,2,1,841001,851001,1230121
340,3,100,1,2,2,841001,851001,1230122
341,3,100,1,3,1,841001,851001,1230131
342,3,100,1,3,2,841001,851001,1230132
343,3,100,1,4,1,841001,851001,1230141
344,3,100,1,4,2,841001,851001,1230142
345,3,100,1,5,1,841001,851001,1230151
346,3,100,1,5,2,841001,851001,1230152
347,3,100,1,6,1,841001,851001,1230161
348,3,100,1,6,2,841001,851001,1230162
349,3,100,1,7,1,841001,851001,1230171
350,3,100,1,7,2,841001,851001,1230172
351,3,100,2,1,1,841002,851002,1230211
352,3,100,2,1,2,841002,851002,1230212
353,3,100,2,2,1,841002,851002,1230221
354,3,100,2,2,2,841002,851002,1230222
355,3,100,2,3,1,841002,851002,1230231
356,3,100,2,3,2,841002,851002,1230232
357,3,100,2,4,1,841002,851002,1230241
358,3,100,2,4,2,841002,851002,1230242
359,3,100,2,5,1,841002,851002,1230251
360,3,100,2,5,2,841002,851002,1230252
361,3,100,2,6,1,841002,851002,1230261
362,3,100,2,6,2,841002,851002,1230262
363,3,100,2,7,1,841002,851002,1230271
364,3,100,2,7,2,841002,851002,1230272
365,3,100,3,1,1,841003,851003,1230311
366,3,100,3,1,2,841003,851003,1230312
367,3,100,3,2,1,841003,851003,1230321
368,3,100,3,2,2,841003,851003,1230322
369,3,100,3,3,1,841003,851003,1230331
370,3,100,3,3,2,841003,851003,1230332
371,3,100,3,4,1,841003,851003,1230341
372,3,100,3,4,2,841003,851003,1230342
373,3,100,3,5,1,841003,851003,1230351
374,3,100,3,5,2,841003,851003,1230352
375,3,100,3,6,1,841003,851003,1230361
376,3,100,3,6,2,841003,851003,1230362
377,3,100,3,7,1,841003,851003,1230371
378,3,100,3,7,2,841003,851003,1230372
379,3,100,4,1,1,841004,851004,1230411
380,3,100,4,1,2,841004,851004,1230412
381,3,100,4,2,1,841004,851004,1230421
382,3,100,4,2,2,841004,851004,1230422
383,3,100,4,3,1,841004,851004,1230431
384,3,100,4,3,2,841004,851004,1230432
385,3,100,4,4,1,841004,851004,1230441
386,3,100,4,4,2,841004,851004,1230442
387,3,100,4,5,1,841004,851004,1230451
388,3,100,4,5,2,841004,851004,1230452
389,3,100,4,6,1,841004,851004,1230461
390,3,100,4,6,2,841004,851004,1230462
391,3,100,4,7,1,841004,851004,1230471
392,3,100,4,7,2,841004,851004,1230472
393,3,150,1,1,1,841501,851501,1280111
394,3,150,1,1,2,841501,851501,1280112
395,3,150,1,2,1,841501,851501,1280121
396,3,150,1,2,2,841501,851501,1280122
397,3,150,1,3,1,841501,851501,1280131
398,3,150,1,3,2,841501,851501,1280132
399,3,150,1,4,1,841501,851501,1280141
400,3,150,1,4,2,841501,851501,1280142
401,3,150,1,5,1,841501,851501,1280151
402,3,150,1,5,2,841501,851501,1280152
403,3,150,1,6,1,841501,851501,1280161
404,3,150,1,6,2,841501,851501,1280162
405,3,150,1,7,1,841501,851501,1280171
406,3,150,1,7,2,841501,851501,1280172
407,3,150,2,1,1,841502,851502,1280211
408,3,150,2,1,2,841502,851502,1280212
409,3,150,2,2,1,841502,851502,1280221
410,3,150,2,2,2,841502,851502,1280222
411,3,150,2,3,1,841502,851502,1280231
412,3,150,2,3,2,841502,851502,1280232
413,3,150,2,4,1,841502,851502,1280241
414,3,150,2,4,2,841502,851502,1280242
415,3,150,2,5,1,841502,851502,1280251
416,3,150,2,5,2,841502,851502,1280252
417,3,150,2,6,1,841502,851502,1280261
418,3,150,2,6,2,841502,851502,1280262
419,3,150,2,7,1,841502,851502,1280271
420,3,150,2,7,2,841502,851502,1280272
421,3,150,3,1,1,841503,851503,1280311
422,3,150,3,1,2,841503,851503,1280312
423,3,150,3,2,1,841503,851503,1280321
424,3,150,3,2,2,841503,851503,1280322
425,3,150,3,3,1,841503,851503,1280331
426,3,150,3,3,2,841503,851503,1280332
427,3,150,3,4,1,841503,851503,1280341
428,3,150,3,4,2,841503,851503,1280342
429,3,150,3,5,1,841503,851503,1280351
430,3,150,3,5,2,841503,851503,1280352
431,3,150,3,6,1,841503,851503,1280361
432,3,150,3,6,2,841503,851503,1280362
433,3,150,3,7,1,841503,851503,1280371
434,3,150,3,7,2,841503,851503,1280372
435,3,150,4,1,1,841504,851504,1280411
436,3,150,4,1,2,841504,851504,1280412
437,3,150,4,2,1,841504,851504,1280421
438,3,150,4,2,2,841504,851504,1280422
439,3,150,4,3,1,841504,851504,1280431
440,3,150,4,3,2,841504,851504,1280432
441,3,150,4,4,1,841504,851504,1280441
442,3,150,4,4,2,841504,851504,1280442
443,3,150,4,5,1,841504,851504,1280451
444,3,150,4,5,2,841504,851504,1280452
445,3,150,4,6,1,841504,851504,1280461
446,3,150,4,6,2,841504,851504,1280462
447,3,150,4,7,1,841504,851504,1280471
448,3,150,4,7,2,841504,851504,1280472
449,5,50,1,1,1,860501,870501,1380111
450,5,50,1,1,2,860501,870501,1380112
451,5,50,1,2,1,860501,870501,1380121
452,5,50,1,2,2,860501,870501,1380122
453,5,50,1,3,1,860501,870501,1380131
454,5,50,1,3,2,860501,870501,1380132
455,5,50,1,4,1,860501,870501,1380141
456,5,50,1,4,2,860501,870501,1380142
457,5,50,1,5,1,860501,870501,1380151
458,5,50,1,5,2,860501,870501,1380152
459,5,50,1,6,1,860501,870501,1380161
460,5,50,1,6,2,860501,870501,1380162
461,5,50,1,7,1,860501,870501,1380171
462,5,50,1,7,2,860501,870501,1380172
463,5,50,2,1,1,860502,870502,1380211
464,5,50,2,1,2,860502,870502,1380212
465,5,50,2,2,1,860502,870502,1380221
466,5,50,2,2,2,860502,870502,1380222
467,5,50,2,3,1,860502,870502,1380231
468,5,50,2,3,2,860502,870502,1380232
469,5,50,2,4,1,860502,870502,1380241
470,5,50,2,4,2,860502,870502,1380242
471,5,50,2,5,1,860502,870502,1380251
472,5,50,2,5,2,860502,870502,1380252
473,5,50,2,6,1,860502,870502,1380261
474,5,50,2,6,2,860502,870502,1380262
475,5,50,2,7,1,860502,870502,1380271
476,5,50,2,7,2,860502,870502,1380272
477,5,50,3,1,1,860503,870503,1380311
478,5,50,3,1,2,860503,870503,1380312
479,5,50,3,2,1,860503,870503,1380321
480,5,50,3,2,2,860503,870503,1380322
481,5,50,3,3,1,860503,870503,1380331
482,5,50,3,3,2,860503,870503,1380332
483,5,50,3,4,1,860503,870503,1380341
484,5,50,3,4,2,860503,870503,1380342
485,5,50,3,5,1,860503,870503,1380351
486,5,50,3,5,2,860503,870503,1380352
487,5,50,3,6,1,860503,870503,1380361
488,5,50,3,6,2,860503,870503,1380362
489,5,50,3,7,1,860503,870503,1380371
490,5,50,3,7,2,860503,870503,1380372
491,5,50,4,1,1,860504,870504,1380411
492,5,50,4,1,2,860504,870504,1380412
493,5,50,4,2,1,860504,870504,1380421
494,5,50,4,2,2,860504,870504,1380422
495,5,50,4,3,1,860504,870504,1380431
496,5,50,4,3,2,860504,870504,1380432
497,5,50,4,4,1,860504,870504,1380441
498,5,50,4,4,2,860504,870504,1380442
499,5,50,4,5,1,860504,870504,1380451
500,5,50,4,5,2,860504,870504,1380452
501,5,50,4,6,1,860504,870504,1380461
502,5,50,4,6,2,860504,870504,1380462
503,5,50,4,7,1,860504,870504,1380471
504,5,50,4,7,2,860504,870504,1380472
505,5,50,5,1,1,860505,870505,1380511
506,5,50,5,1,2,860505,870505,1380512
507,5,50,5,2,1,860505,870505,1380521
508,5,50,5,2,2,860505,870505,1380522
509,5,50,5,3,1,860505,870505,1380531
510,5,50,5,3,2,860505,870505,1380532
511,5,50,5,4,1,860505,870505,1380541
512,5,50,5,4,2,860505,870505,1380542
513,5,50,5,5,1,860505,870505,1380551
514,5,50,5,5,2,860505,870505,1380552
515,5,50,5,6,1,860505,870505,1380561
516,5,50,5,6,2,860505,870505,1380562
517,5,50,5,7,1,860505,870505,1380571
518,5,50,5,7,2,860505,870505,1380572
519,5,50,6,1,1,860506,870506,1380611
520,5,50,6,1,2,860506,870506,1380612
521,5,50,6,2,1,860506,870506,1380621
522,5,50,6,2,2,860506,870506,1380622
523,5,50,6,3,1,860506,870506,1380631
524,5,50,6,3,2,860506,870506,1380632
525,5,50,6,4,1,860506,870506,1380641
526,5,50,6,4,2,860506,870506,1380642
527,5,50,6,5,1,860506,870506,1380651
528,5,50,6,5,2,860506,870506,1380652
529,5,50,6,6,1,860506,870506,1380661
530,5,50,6,6,2,860506,870506,1380662
531,5,50,6,7,1,860506,870506,1380671
532,5,50,6,7,2,860506,870506,1380672
533,5,50,7,1,1,860507,870507,1380711
534,5,50,7,1,2,860507,870507,1380712
535,5,50,7,2,1,860507,870507,1380721
536,5,50,7,2,2,860507,870507,1380722
537,5,50,7,3,1,860507,870507,1380731
538,5,50,7,3,2,860507,870507,1380732
539,5,50,7,4,1,860507,870507,1380741
540,5,50,7,4,2,860507,870507,1380742
541,5,50,7,5,1,860507,870507,1380751
542,5,50,7,5,2,860507,870507,1380752
543,5,50,7,6,1,860507,870507,1380761
544,5,50,7,6,2,860507,870507,1380762
545,5,50,7,7,1,860507,870507,1380771
546,5,50,7,7,2,860507,870507,1380772
547,5,50,8,1,1,860508,870508,1380811
548,5,50,8,1,2,860508,870508,1380812
549,5,50,8,2,1,860508,870508,1380821
550,5,50,8,2,2,860508,870508,1380822
551,5,50,8,3,1,860508,870508,1380831
552,5,50,8,3,2,860508,870508,1380832
553,5,50,8,4,1,860508,870508,1380841
554,5,50,8,4,2,860508,870508,1380842
555,5,50,8,5,1,860508,870508,1380851
556,5,50,8,5,2,860508,870508,1380852
557,5,50,8,6,1,860508,870508,1380861
558,5,50,8,6,2,860508,870508,1380862
559,5,50,8,7,1,860508,870508,1380871
560,5,50,8,7,2,860508,870508,1380872
561,5,75,1,1,1,860751,870751,1405111
562,5,75,1,1,2,860751,870751,1405112
563,5,75,1,2,1,860751,870751,1405121
564,5,75,1,2,2,860751,870751,1405122
565,5,75,1,3,1,860751,870751,1405131
566,5,75,1,3,2,860751,870751,1405132
567,5,75,1,4,1,860751,870751,1405141
568,5,75,1,4,2,860751,870751,1405142
569,5,75,1,5,1,860751,870751,1405151
570,5,75,1,5,2,860751,870751,1405152
571,5,75,1,6,1,860751,870751,1405161
572,5,75,1,6,2,860751,870751,1405162
573,5,75,1,7,1,860751,870751,1405171
574,5,75,1,7,2,860751,870751,1405172
575,5,75,2,1,1,860752,870752,1405211
576,5,75,2,1,2,860752,870752,1405212
577,5,75,2,2,1,860752,870752,1405221
578,5,75,2,2,2,860752,870752,1405222
579,5,75,2,3,1,860752,870752,1405231
580,5,75,2,3,2,860752,870752,1405232
581,5,75,2,4,1,860752,870752,1405241
582,5,75,2,4,2,860752,870752,1405242
583,5,75,2,5,1,860752,870752,1405251
584,5,75,2,5,2,860752,870752,1405252
585,5,75,2,6,1,860752,870752,1405261
586,5,75,2,6,2,860752,870752,1405262
587,5,75,2,7,1,860752,870752,1405271
588,5,75,2,7,2,860752,870752,1405272
589,5,75,3,1,1,860753,870753,1405311
590,5,75,3,1,2,860753,870753,1405312
591,5,75,3,2,1,860753,870753,1405321
592,5,75,3,2,2,860753,870753,1405322
593,5,75,3,3,1,860753,870753,1405331
594,5,75,3,3,2,860753,870753,1405332
595,5,75,3,4,1,860753,870753,1405341
596,5,75,3,4,2,860753,870753,1405342
597,5,75,3,5,1,860753,870753,1405351
598,5,75,3,5,2,860753,870753,1405352
599,5,75,3,6,1,860753,870753,1405361
600,5,75,3,6,2,860753,870753,1405362
601,5,75,3,7,1,860753,870753,1405371
602,5,75,3,7,2,860753,870753,1405372
603,5,75,4,1,1,860754,870754,1405411
604,5,75,4,1,2,860754,870754,1405412
605,5,75,4,2,1,860754,870754,1405421
606,5,75,4,2,2,860754,870754,1405422
607,5,75,4,3,1,860754,870754,1405431
608,5,75,4,3,2,860754,870754,1405432
609,5,75,4,4,1,860754,870754,1405441
610,5,75,4,4,2,860754,870754,1405442
611,5,75,4,5,1,860754,870754,1405451
612,5,75,4,5,2,860754,870754,1405452
613,5,75,4,6,1,860754,870754,1405461
614,5,75,4,6,2,860754,870754,1405462
615,5,75,4,7,1,860754,870754,1405471
616,5,75,4,7,2,860754,870754,1405472
617,5,75,5,1,1,860755,870755,1405511
618,5,75,5,1,2,860755,870755,1405512
619,5,75,5,2,1,860755,870755,1405521
620,5,75,5,2,2,860755,870755,1405522
621,5,75,5,3,1,860755,870755,1405531
622,5,75,5,3,2,860755,870755,1405532
623,5,75,5,4,1,860755,870755,1405541
624,5,75,5,4,2,860755,870755,1405542
625,5,75,5,5,1,860755,870755,1405551
626,5,75,5,5,2,860755,870755,1405552
627,5,75,5,6,1,860755,870755,1405561
628,5,75,5,6,2,860755,870755,1405562
629,5,75,5,7,1,860755,870755,1405571
630,5,75,5,7,2,860755,870755,1405572
631,5,75,6,1,1,860756,870756,1405611
632,5,75,6,1,2,860756,870756,1405612
633,5,75,6,2,1,860756,870756,1405621
634,5,75,6,2,2,860756,870756,1405622
635,5,75,6,3,1,860756,870756,1405631
