criterion,K_TRUE,n,replicate,selected_k,tie_candidates,signed_error,abs_error,label,best_mean,mean_scores
S1,5,50,8,5,[5],0,0,exact,-0.5795078229425206,"{""1"": -0.6521680762881741, ""2"": -0.611868874963009, ""3"": -0.5997999988753545, ""4"": -0.6495768856103532, ""5"": -0.5795078229425206, ""6"": -0.6236660518251957, ""7"": -0.6505379090286443}"
S2,5,50,8,2,[2],-3,3,under,-3667.9725545221986,"{""1"": -3757.712068502444, ""2"": -3667.9725545221986, ""3"": -3688.373297984123, ""4"": -3755.933129443547, ""5"": -3813.751850433163, ""6"": -3978.241899570924, ""7"": -4120.765954391447}"
S3,5,50,8,5,[5],0,0,exact,-1996.7938942963078,"{""1"": -2490.653339373882, ""2"": -2275.4758157123065, ""3"": -2140.652195618439, ""4"": -2084.1219716207065, ""5"": -1996.7938942963078, ""6"": -2012.4332755587616, ""7"": -2015.7266748275765}"
S1,5,75,1,4,[4],-1,1,under,-0.5581514059401065,"{""1"": -0.6058637596038845, ""2"": -0.5898843036175918, ""3"": -0.5907111034783394, ""4"": -0.5581514059401065, ""5"": -0.5625201231378814, ""6"": -0.5865671750510464, ""7"": -0.5953969831787228}"
S2,5,75,1,2,[2],-3,3,under,-6231.252585067396,"{""1"": -6427.929075291021, ""2"": -6231.252585067396, ""3"": -6244.568823530508, ""4"": -6241.340523894156, ""5"": -6391.252515127445, ""6"": -6605.231956577442, ""7"": -6772.833780822164}"
S3,5,75,1,7,[7],2,2,over,-3613.813828510997,"{""1"": -4542.982346464324, ""2"": -4127.811678131437, ""3"": -3927.6493375087016, ""4"": -3716.808180279563, ""5"": -3670.3458474494355, ""6"": -3672.1843024793006, ""7"": -3613.813828510997}"
S1,5,75,2,4,[4],-1,1,under,-0.596483501321299,"{""1"": -0.6395999734385587, ""2"": -0.6388699530943927, ""3"": -0.616936344514948, ""4"": -0.596483501321299, ""5"": -0.6071207020654716, ""6"": -0.6581547145958231, ""7"": -0.6761502076310826}"
S2,5,75,2,4,[4],-1,1,under,-6346.089612046805,"{""1"": -6474.024175142533, ""2"": -6406.309061139778, ""3"": -6378.639149272077, ""4"": -6346.089612046805, ""5"": -6472.733842876081, ""6"": -6628.525528796951, ""7"": -6845.438576619171}"
S3,5,75,2,7,[7],2,2,over,-3824.1428562210303,"{""1"": -4718.233156470789, ""2"": -4435.700801836747, ""3"": -4206.526763872256, ""4"": -3941.7612582928946, ""5"": -3900.837223010092, ""6"": -3824.9741951653286, ""7"": -3824.1428562210303}"
S1,5,75,3,4,[4],-1,1,under,-0.5613143652133418,"{""1"": -0.6116980887198733, ""2"": -0.5873583866328345, ""3"": -0.5705218568426851, ""4"": -0.5613143652133418, ""5"": -0.5896556627288585, ""6"": -0.6138884859562259, ""7"": -0.6055455695788988}"
