replicate,start_label,column,candidate_family,score,neg2_score,sigma_sq,optimizer,optimiser_iterations,optimiser_converged,optimiser_gradient_inf,scipy_success,loading_norm,family_x_true,selected_family
rep3,start_B,8,poisson,-72.77959298412672,145.55918596825344,,bfgs,12,True,3.181659602446985e-10,False,0.24538574724078427,bernoulli,bernoulli
rep3,start_P,3,bernoulli,-49.515526665160465,99.03105333032093,,bfgs,7,True,6.16573458955827e-13,True,0.5812550052570387,bernoulli,bernoulli
rep3,start_P,3,poisson,-73.95059084966701,147.90118169933402,,bfgs,7,True,5.597475871699231e-10,False,0.18140287187029808,bernoulli,bernoulli
rep3,start_P,4,bernoulli,-47.537268321430794,95.07453664286159,,bfgs,7,True,8.491873870752898e-13,True,0.8299966791924746,bernoulli,bernoulli
rep3,start_P,4,poisson,-74.13300930056161,148.26601860112322,,bfgs,10,False,1.6859758034115657e-08,False,0.1754071933658862,bernoulli,bernoulli
rep3,start_P,5,bernoulli,-42.53163800018725,85.0632760003745,,bfgs,7,True,3.820805893894885e-11,True,1.2131103614541245,bernoulli,bernoulli
rep3,start_P,5,poisson,-72.0754675355237,144.1509350710474,,bfgs,10,True,8.861094435985706e-09,False,0.2752031623936414,bernoulli,bernoulli
rep3,start_P,6,bernoulli,-38.24749264248856,76.49498528497712,,bfgs,6,True,7.685370206900188e-09,False,1.6906950661228786,bernoulli,bernoulli
rep3,start_P,6,poisson,-70.91463505809705,141.8292701161941,,bfgs,12,True,3.7244205081110593e-09,False,0.33284765938307903,bernoulli,bernoulli
rep3,start_P,7,bernoulli,-43.03114087491143,86.06228174982286,,bfgs,7,True,1.5498713423767185e-13,True,1.0431115385433771,bernoulli,bernoulli
rep3,start_P,7,poisson,-73.22041817044331,146.44083634088662,,bfgs,10,True,3.4338944854273025e-09,False,0.19187691289861952,bernoulli,bernoulli
rep3,start_P,8,bernoulli,-46.98591127299362,93.97182254598724,,bfgs,7,True,1.0407443795656945e-10,False,0.8170747805501434,bernoulli,bernoulli
rep3,start_P,8,poisson,-72.9806437643495,145.961287528699,,bfgs,11,True,1.7164616394893528e-10,False,0.23649963908026797,bernoulli,bernoulli
