replicate,start_label,iteration,column,candidate_optimizer,previous_family,selected_family,margin_neg2,changed,all_candidates_converged,score_bernoulli,score_poisson,bernoulli_optimizer,bernoulli_n_iter,bernoulli_converged,bernoulli_grad_inf,bernoulli_scipy_success,bernoulli_scipy_status,poisson_optimizer,poisson_n_iter,poisson_converged,poisson_grad_inf,poisson_scipy_success,poisson_scipy_status,selected_candidate_family,selected_candidate_score,selected_loading,selected_loading_sha256,loading_installation_policy,selected_loading_installed,installed_loading_sha256,family_x_true
rep1,start_B,6,6,bfgs,bernoulli,bernoulli,50.165841642191,False,True,-49.57150220676361,-74.65442302785911,bfgs,7,True,7.241318655815121e-12,True,0,bfgs,8,True,5.480949027969473e-12,True,0,bernoulli,-49.57150220676361,-0.21182978008821873|-0.43730441079606125|-0.22365713367942794,2ece843c7ee105de0346c775ab253d6c1550ecdfc4e54a1afa6923e1b5b6c453,selected_candidate_loading,True,2ece843c7ee105de0346c775ab253d6c1550ecdfc4e54a1afa6923e1b5b6c453,bernoulli
rep1,start_B,6,7,bfgs,bernoulli,bernoulli,48.50865454934397,False,True,-50.17440452136356,-74.42873179603555,bfgs,7,True,4.237854511757177e-12,True,0,bfgs,8,True,2.0301843539627384e-10,False,2,bernoulli,-50.17440452136356,-0.22459818336389176|0.39315251622634184|-0.067298556340010529,ab2283ed230b69d48ec23078bbc01fde56eb5619afb082a6f22fbeb1b4eaba33,selected_candidate_loading,True,ab2283ed230b69d48ec23078bbc01fde56eb5619afb082a6f22fbeb1b4eaba33,bernoulli
rep1,start_B,6,8,bfgs,bernoulli,bernoulli,54.66008526899326,False,False,-45.9912322017721,-73.32127483626873,bfgs,6,True,6.294035959086841e-10,False,2,bfgs,11,False,1.0378615411532621e-08,False,2,bernoulli,-45.9912322017721,0.015716686819730836|0.35677884927020004|-0.81228379900601022,c7f37407b9bc03b2100c24fb2fb2f5e220ed0da84e99f5a14fb6efe2adeb8941,selected_candidate_loading,True,c7f37407b9bc03b2100c24fb2fb2f5e220ed0da84e99f5a14fb6efe2adeb8941,bernoulli
rep1,start_B,7,3,bfgs,bernoulli,bernoulli,61.49945882150335,False,True,-41.64065032666756,-72.39037973741924,bfgs,7,True,7.339842511555617e-10,False,2,bfgs,12,True,1.2669275406551606e-09,False,2,bernoulli,-41.64065032666756,1.3860920693162919|0.12797670298881694|-0.19133400306679213,8cc9589736c6026a4e13bcc0173fab81ad6e086e4070246ad3407f9035465f06,selected_candidate_loading,True,8cc9589736c6026a4e13bcc0173fab81ad6e086e4070246ad3407f9035465f06,bernoulli
rep1,start_B,7,4,bfgs,bernoulli,bernoulli,51.03025891407364,False,True,-48.48875499457647,-74.00388445161329,bfgs,7,True,8.136616380660655e-12,True,0,bfgs,7,True,6.775405569925397e-09,False,2,bernoulli,-48.48875499457647,-0.1286362101296529|0.11672881036493016|-0.5944232947374477,d24728b0edecf751db5fd2bbb1457e4c34aa9baf1d295ecb611bf08537dc28ba,selected_candidate_loading,True,d24728b0edecf751db5fd2bbb1457e4c34aa9baf1d295ecb611bf08537dc28ba,bernoulli
rep1,start_B,7,5,bfgs,bernoulli,bernoulli,56.59122671628185,False,True,-44.495413494857914,-72.79102685299884,bfgs,8,True,1.1734266891494372e-10,False,2,bfgs,8,True,3.842465401415751e-10,False,2,bernoulli,-44.495413494857914,0.46273727563059069|0.99621875688696537|-0.18469798271613516,da93dd83e92a888d09d3c4f5f9b173410f1d7f20f1e0b002f4b9c0d831125a8e,selected_candidate_loading,True,da93dd83e92a888d09d3c4f5f9b173410f1d7f20f1e0b002f4b9c0d831125a8e,bernoulli
rep1,start_B,7,6,bfgs,bernoulli,bernoulli,48.980346432725,False,True,-50.201689581574236,-74.69186279793674,bfgs,7,True,4.3867820487264454e-11,True,0,bfgs,9,True,7.12652159506888e-14,True,0,bernoulli,-50.201689581574236,-0.18784860029871311|-0.36560246861755091|-0.17806828260206239,01bea6319cb3583ad0136a9266d736064dba87e5a5815d5ce83b0793a8361b74,selected_candidate_loading,True,01bea6319cb3583ad0136a9266d736064dba87e5a5815d5ce83b0793a8361b74,bernoulli
rep1,start_B,7,7,bfgs,bernoulli,bernoulli,49.480887507273664,False,True,-49.45947372998409,-74.19991748362092,bfgs,7,True,1.1901590823981678e-14,True,0,bfgs,7,True,5.499213445725459e-11,True,0,bernoulli,-49.45947372998409,-0.24721070469093653|0.48148718701849808|-0.050136579667877088,d462ede6544fd7bc629b37cb2131032b06d3d0e590b6fb17989868d70d6d0a28,selected_candidate_loading,True,d462ede6544fd7bc629b37cb2131032b06d3d0e590b6fb17989868d70d6d0a28,bernoulli
rep1,start_B,7,8,bfgs,bernoulli,bernoulli,54.63853045524192,False,True,-46.01911006798355,-73.33837529560451,bfgs,7,True,9.270724327103964e-11,True,0,bfgs,10,True,3.0553737317973173e-09,False,2,bernoulli,-46.01911006798355,-0.0050050990946094529|0.26462148035581173|-0.82577393435298407,b7307e0f375c2238b8b021b25c00ce27805b4ed48c54050ad9af91490adc613e,selected_candidate_loading,True,b7307e0f375c2238b8b021b25c00ce27805b4ed48c54050ad9af91490adc613e,bernoulli
rep1,start_B,8,3,bfgs,bernoulli,bernoulli,63.20866286312892,False,True,-40.467864502661484,-72.07219593422595,bfgs,7,True,1.0456862042929061e-10,False,2,bfgs,11,True,3.142375071263359e-09,False,2,bernoulli,-40.467864502661484,1.4741061080473188|0.18721659209063074|-0.12997747319401373,6a368e158d70a617ab6aac258a51a634685003bc9afc961a3910d02d35008a30,selected_candidate_loading,True,6a368e158d70a617ab6aac258a51a634685003bc9afc961a3910d02d35008a30,bernoulli
