scenario,trial,seed_data,seed_model,k_est,k_true,family_x,family_y,n,d,q_strict,bic,num_params,rmse_z,rmse_x,rmse_y,success,error_message,note
A,6,4600,4650,5,3,poisson,bernoulli,150,15,-8370.036045851719,17065.763385819693,65,0.7303745681422176,1.2085349819117555,0.1295994210174319,True,,fixed_official full k_true=3
A,7,4700,4750,5,3,poisson,bernoulli,150,15,-8233.538861283556,16792.769016683367,65,0.5576443521510906,1.1797342808696778,0.13025193163213403,True,,fixed_official full k_true=3
A,8,4800,4850,5,3,poisson,bernoulli,150,15,-8393.328586128813,17112.348466373882,65,0.7029906926920765,1.1398227230543485,0.13038021115383025,True,,fixed_official full k_true=3
A,9,4900,4950,5,3,poisson,bernoulli,150,15,-8362.847324562343,17051.38594324094,65,0.48210357302892043,1.1722689370524932,0.13068379921458087,True,,fixed_official full k_true=3
A,0,4000,4050,6,3,poisson,bernoulli,150,15,-8681.446473360249,17738.690593777716,75,0.5916063576916397,1.2039979764158246,0.1480559489433637,True,,fixed_official full k_true=3
A,1,4100,4150,6,3,poisson,bernoulli,150,15,-8513.987104594666,17403.77185624655,75,0.5215954293742662,1.1635537972358654,0.13722506665831696,True,,fixed_official full k_true=3
A,2,4200,4250,6,3,poisson,bernoulli,150,15,-8480.781020322589,17337.359687702396,75,0.7309211794878455,1.1795297629932153,0.1361086332101769,True,,fixed_official full k_true=3
A,3,4300,4350,6,3,poisson,bernoulli,150,15,-8600.5638290746,17576.925305206416,75,0.487867942353071,1.1407144591241503,0.140852471684689,True,,fixed_official full k_true=3
A,4,4400,4450,6,3,poisson,bernoulli,150,15,-8669.419175566614,17714.635998190446,75,0.6171300818272532,1.2537646673714173,0.14631071017297062,True,,fixed_official full k_true=3
A,5,4500,4550,6,3,poisson,bernoulli,150,15,-8630.721957281026,17637.24156161927,75,0.6496711547346224,1.1644297379585542,0.13765666947470495,True,,fixed_official full k_true=3
A,6,4600,4650,6,3,poisson,bernoulli,150,15,-8500.348426185252,17376.49449942772,75,0.6002400711191599,1.195565862001871,0.1372760083662193,True,,fixed_official full k_true=3
A,7,4700,4750,6,3,poisson,bernoulli,150,15,-8357.83184404901,17091.461335155236,75,0.6847604202567701,1.1319818310612462,0.1362408054457786,True,,fixed_official full k_true=3
A,8,4800,4850,6,3,poisson,bernoulli,150,15,-8532.795985626084,17441.389618309386,75,0.6834464066224528,1.1802807801836763,0.14275792600590378,True,,fixed_official full k_true=3
A,9,4900,4950,6,3,poisson,bernoulli,150,15,-8518.811525549776,17413.42069815677,75,0.7442380919929589,1.1644314886194247,0.14500308134028986,True,,fixed_official full k_true=3
B,0,5000,5050,1,3,gaussian,poisson,150,15,-21717.72270237716,43585.76446357721,30,1.0605139451500165,0.7734869242454891,1.535721889769651,True,,fixed_official full k_true=3
B,1,5100,5150,1,3,gaussian,poisson,150,15,-22571.32174208578,45292.96254299445,30,1.3846685158939733,0.8123212944349246,1.7183460872303125,True,,fixed_official full k_true=3
B,2,5200,5250,1,3,gaussian,poisson,150,15,-21543.503900160373,43237.326859143635,30,0.7570542120096144,0.8455531505893212,1.6684812460220646,True,,fixed_official full k_true=3
B,3,5300,5350,1,3,gaussian,poisson,150,15,-22892.461586279296,45935.24223138148,30,1.1471214495655075,0.8219942775392421,2.3748385617558077,True,,fixed_official full k_true=3
B,4,5400,5450,1,3,gaussian,poisson,150,15,-21620.88628096779,43392.09162075847,30,1.3010944714558714,0.8530676556154336,1.4742985324389994,True,,fixed_official full k_true=3
B,5,5500,5550,1,3,gaussian,poisson,150,15,-21691.95205895543,43534.22317673375,30,1.1416253010686102,0.8106233595230645,1.6925191550367624,True,,fixed_official full k_true=3
B,6,5600,5650,1,3,gaussian,poisson,150,15,-21518.640477965306,43187.6000147535,30,1.197127921863556,0.7867214839427282,1.9653730062559105,True,,fixed_official full k_true=3
B,7,5700,5750,1,3,gaussian,poisson,150,15,-21733.467044661807,43617.253148146505,30,0.7620407569433111,0.8622296149358689,1.523018070530972,True,,fixed_official full k_true=3
B,8,5800,5850,1,3,gaussian,poisson,150,15,-22011.36073302757,44173.04052487803,30,0.9780394359288194,0.8618869843433189,1.6731154460930244,True,,fixed_official full k_true=3
B,9,5900,5950,1,3,gaussian,poisson,150,15,-22025.555770975596,44201.43060077408,30,0.9361164868894783,0.841555338277889,1.8994255246249916,True,,fixed_official full k_true=3
B,0,5000,5050,2,3,gaussian,poisson,150,15,-18739.443157281705,37699.354267503644,44,0.5502319099832008,0.5977106646544665,1.1369044132100317,True,,fixed_official full k_true=3
B,1,5100,5150,2,3,gaussian,poisson,150,15,-18723.727246824386,37667.92244658901,44,0.5489344724391533,0.4975878534374762,1.2148095382717239,True,,fixed_official full k_true=3
B,2,5200,5250,2,3,gaussian,poisson,150,15,-18445.78292646416,37112.03380586855,44,0.8629687449918233,0.6476252090292286,1.1474565604319442,True,,fixed_official full k_true=3
B,3,5300,5350,2,3,gaussian,poisson,150,15,-19380.12574417953,38980.7194412993,44,0.70546746068101,0.6131031590191705,1.746073789015857,True,,fixed_official full k_true=3
B,4,5400,5450,2,3,gaussian,poisson,150,15,-18577.863539059275,37376.195031058785,44,0.5521136537002309,0.6060800805689572,1.049041850329005,True,,fixed_official full k_true=3
B,5,5500,5550,2,3,gaussian,poisson,150,15,-18633.89273478808,37488.2534225164,44,0.5818215062843842,0.6805744679787409,1.047275392045893,True,,fixed_official full k_true=3
B,6,5600,5650,2,3,gaussian,poisson,150,15,-18527.404442909203,37275.27683875864,44,0.5164987340806002,0.6402844964927253,1.0316759669219635,True,,fixed_official full k_true=3
B,7,5700,5750,2,3,gaussian,poisson,150,15,-18512.439794165955,37245.347541272145,44,0.4737412840689208,0.5288068763769447,1.0711183387603007,True,,fixed_official full k_true=3
B,8,5800,5850,2,3,gaussian,poisson,150,15,-18843.580293143496,37907.628539227226,44,0.8994938643498197,0.6241307735974565,1.01840946966408,True,,fixed_official full k_true=3
B,9,5900,5950,2,3,gaussian,poisson,150,15,-18960.479010842293,38141.42597462482,44,0.22503976012084112,0.5682895587620175,1.3014948935404926,True,,fixed_official full k_true=3
B,0,5000,5050,3,3,gaussian,poisson,150,15,-15948.81418479643,32183.234581356348,57,0.14029897303132108,0.31278940008650563,0.45018214474689267,True,,fixed_official full k_true=3
B,1,5100,5150,3,3,gaussian,poisson,150,15,-16071.994747843779,32429.595707451044,57,0.1350230064895866,0.31428311654235525,0.4339217420869034,True,,fixed_official full k_true=3
B,2,5200,5250,3,3,gaussian,poisson,150,15,-15837.936880978767,31961.47997372102,57,0.13465930184237765,0.32311979000263313,0.45610169733450007,True,,fixed_official full k_true=3
B,3,5300,5350,3,3,gaussian,poisson,150,15,-16013.303158101573,32312.212527966632,57,0.15570093234504429,0.3126442593346773,0.7309171375030904,True,,fixed_official full k_true=3
B,4,5400,5450,3,3,gaussian,poisson,150,15,-15861.083166614384,32007.772544992255,57,0.13761335577017184,0.307633734707902,0.46035449955758145,True,,fixed_official full k_true=3
B,5,5500,5550,3,3,gaussian,poisson,150,15,-15924.88915199412,32135.384515751728,57,0.13786241534564161,0.30931457061647527,0.4929116826793072,True,,fixed_official full k_true=3
