scenario,k_est,trial,rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,BIC,Q_strict
A,4,0,0.6947681247859933,0.3288578185196369,0.9000000000000001,0.1343553861072643,1.2081885944125021,0.04619201498795378,0.4258636237807454,17347.041932730415,-8538.23381342461
A,4,1,0.41340512447959193,0.14665978012493824,0.9000000000000001,0.14177969869401272,1.2005067153514957,0.013429161085887764,0.44199691306668254,17568.012624171846,-8648.719159145325
A,4,2,0.4790631496412485,0.22081291491959065,0.9000000000000001,0.13082249414500666,1.1766887285862655,0.04570539789003747,0.3756281740645755,17464.942933959323,-8597.184314039063
A,4,3,0.7005039648677279,0.28286643277535617,0.9000000000000001,0.13882317521855714,1.1953123209718373,0.030322637750113346,0.40803390005995,17311.580497462073,-8520.503095790438
A,4,4,0.5063049950545959,0.24191214340992978,0.9000000000000001,0.1356462361159915,1.1920052896719742,0.054854142353533364,0.4015369245159941,17441.057257900724,-8585.241476009764
A,4,5,0.5849023387406078,0.26012256511441445,0.9000000000000001,0.13569611244353041,1.1558631093527132,0.055538614553863,0.4052400045217426,17218.392859206688,-8473.909276662745
A,4,6,0.39286062632641305,0.18233623541460636,0.9000000000000001,0.1341601856596933,1.1888588241549995,0.05007862167689503,0.42411720573533684,17242.352647824704,-8485.889170971754
A,4,7,0.48206706985473285,0.1875197788859218,0.9000000000000001,0.14019722210262633,1.2176547942786295,0.04431065998141959,0.3882639840430626,17281.023983876705,-8505.224838997754
A,4,8,0.5123996801900089,0.2188670785134132,0.9000000000000001,0.13314837209333544,1.1186591999251319,0.03464674121647193,0.358507965232687,16903.51020447115,-8316.467949294976
A,4,9,0.5303037161829406,0.2498124550004606,0.9000000000000001,0.13450922238344332,1.1511135344826648,0.014047553659791934,0.4160754293090021,17172.26048845061,-8450.843091284707
A,5,0,0.7426405185414966,0.3429110829661718,0.9000000000000001,0.15865288796933283,1.1732624018414592,0.043661650566661714,0.6099346466498997,17854.36824134672,-8764.338473615233
A,5,1,0.7124461155914575,0.3625408708133295,0.9000000000000001,0.14213932009599123,1.2066682158963502,0.03126487017619095,0.6216393725557059,18086.394790030663,-8880.351747957204
A,5,2,0.5479405265300739,0.23483595638795812,0.9000000000000001,0.1446553550269684,1.1424815599489064,0.03631533234348128,0.5781365706995153,17984.985138211658,-8829.646922047701
A,5,3,0.4808583775281528,0.23005157104617463,0.9000000000000001,0.1412668409358623,1.1413795920356102,0.04660694895402384,0.5911304532469279,17704.598546210505,-8689.453626047125
A,5,4,0.6706001751526636,0.24116693528200414,0.9000000000000001,0.14793783846473427,1.1494304214505835,0.0655542720993032,0.5836928396397195,17920.61969791706,-8797.464201900402
A,5,5,0.7232645767694946,0.3390589688105155,0.9000000000000001,0.14285746489209974,1.1439726633106588,0.05324638287843486,0.5977736256497937,17767.26512752407,-8720.786916703908
A,5,6,0.5388066546226271,0.24775249490579201,0.9000000000000001,0.15264588703190343,1.166740212055717,0.06590753011517747,0.5916091836270412,17664.879728959128,-8669.594217421436
A,5,7,0.422663340153776,0.2048012302590796,0.9000000000000001,0.15047150608338122,1.1799465008728875,0.047729212167680335,0.5673957306570167,17766.83577751333,-8720.572241698537
A,5,8,0.44866838674234305,0.20375560881554622,0.9000000000000001,0.14501624405242974,1.0823137910298588,0.027300390262870233,0.5636257004472586,17412.562223921977,-8543.435464902861
A,5,9,0.6317426579163103,0.3208459664706236,0.9000000000000001,0.14701644153486781,1.1404758677357816,0.019496597331652876,0.5881374511283611,17719.94062730717,-8697.124666595457
A,6,0,0.6756814378908693,0.2960181712681104,0.9000000000000001,0.15575833993487692,1.1868126230158258,0.026711699769245034,0.720710174520846,18294.550070571197,-8959.37621175699
A,6,1,0.5340802591302156,0.2533930851397562,0.9000000000000001,0.15452823113345165,1.1932053643867522,0.03177203896272285,0.7415251194989364,18620.277011845672,-9122.239682394227
A,6,2,0.6724070453207448,0.35217357989511594,0.9000000000000001,0.14772682201459472,1.1650993062965629,0.04007769637331959,0.6980012998382076,18419.72756230332,-9021.964957623051
A,6,3,0.8546858581902023,0.42491502251455704,0.9000000000000001,0.15448561679489792,1.1741230825395939,0.03599204722154792,0.6913187328483679,18193.714471064584,-8908.958412003683
A,6,4,0.7381502326726992,0.32068115340032693,0.9000000000000001,0.15618869163105306,1.1513432574130031,0.05055653231235979,0.7016891612314814,18408.5737619621,-9016.388057452441
A,6,5,0.7518191138377933,0.32792679979549466,0.9000000000000001,0.1540837689401333,1.1451841609730644,0.06193204072382308,0.7036460076885341,18220.111825151504,-8922.157089047143
A,6,6,0.6762172064508248,0.32778961577692683,0.9000000000000001,0.15737319037865716,1.151498387804248,0.06825751668026891,0.7199624296107862,18241.833999340568,-8933.018176141675
A,6,7,0.6560231599474287,0.2904831756262254,0.9000000000000001,0.15301856144573792,1.1733320341077178,0.05345290786169121,0.6890307017313021,18261.17661988917,-8942.689486415977
A,6,8,0.6320370505399434,0.2866114913498273,0.9000000000000001,0.15744415044548163,1.1088232420868285,0.03245467376610123,0.6716992178668377,17911.425936261832,-8767.814144602307
A,6,9,0.6633923079047499,0.29265993499865434,0.9000000000000001,0.15060592791758648,1.1557662339750197,0.009403017823761961,0.7000073741488069,18208.64507719433,-8916.423715068557
