scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,0,1.3428919334097391,1.7024475926649765,0.5329083159227682,1.2540277034035197
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,1,1.1978928269560087,2.1098953763704675,0.5316161475899805,1.2936273983203923
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,2,1.3743027823538938,1.3078086399811006,0.5318700735811998,1.2111020733947402
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,3,1.5250592421509641,1.5073695130847047,0.5325806517179934,1.3899478419898026
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,4,1.2951248257678654,1.5038358973613084,0.5325686261975633,1.3753449473242592
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,5,1.1319939304855604,1.751892518282834,0.5313293313574493,1.2178671677433184
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,6,1.284235383638737,1.2238041591613347,0.5327754205241886,1.374448806679515
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,7,1.3544268550164653,2.2323140979386067,0.532800246263796,1.205344950914055
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,8,1.303830060776933,1.9574412860370611,0.5332509652544782,1.259206412179463
B,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,9,1.2291522185818229,1.3134422902797942,0.5289360604077675,1.3367270919116925
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,0,0.6589982985496913,1.4695173550004657,1.1539888902086435,1.070263582770125
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,1,0.5881352061247783,1.276648031865546,1.004080627140262,1.121709599023065
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,2,0.2543595387296123,0.1632115667249298,0.7823978225322666,1.4626872333891803
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,3,0.3855783054534352,0.4953029819921329,0.8573461695275779,1.4944430897103762
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,4,0.5199423482632283,1.0431777429859004,0.975151498736982,1.2073035583584661
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,5,0.5597211208144806,1.1967222281380934,0.9466560512110915,1.1719795274227904
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,6,0.6650325961209359,2.4330465752871584,1.8382986506928074,1.0185973137905389
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,7,0.6183223902408715,1.1909126053158787,0.9181141734605925,1.1613075781674644
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,8,0.5059768653945903,0.6919196011606185,0.8848517825140366,1.3126827161335328
B,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,9,0.6203932623864524,2.084006995996206,1.0883406323065878,1.0709151844627964
B,gaussian,poisson,False,True,Y-only (fix_x),False,0,0.23902149020020705,0.5477225575051661,0.7395523588850081,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,1,0.22484998631060749,0.5477225575051661,0.637197440673291,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,2,0.2280208327419761,0.5477225575051661,0.7232580145459028,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,3,0.21948933682604782,0.5477225575051661,0.6264475184854551,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,4,0.23094689281677291,0.5477225575051661,0.7225969881120243,0.9999999999999999
B,gaussian,poisson,False,True,Y-only (fix_x),False,5,0.2321551965221514,0.5477225575051661,0.6789086525163268,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,6,0.24596644236626367,0.5477225575051661,0.8081887030196393,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,7,0.23611744516085476,0.5477225575051661,0.7240579802502517,1.0
B,gaussian,poisson,False,True,Y-only (fix_x),False,8,0.2278529410504477,0.5477225575051662,0.7711084455144126,0.9999999999999999
B,gaussian,poisson,False,True,Y-only (fix_x),False,9,0.24248440267532834,0.5477225575051661,0.6519214217345145,1.0
B,gaussian,poisson,True,False,X-only (fix_w),False,0,0.22310132777922254,0.05997197666472863,2.7304697053850955,0.3071160031350518
B,gaussian,poisson,True,False,X-only (fix_w),False,1,0.2936861945716716,0.07831180535085026,2.3924229730456723,0.3159759011162241
B,gaussian,poisson,True,False,X-only (fix_w),False,2,0.24326179763035108,0.08649337709846361,2.8329662409369503,0.3101924228966038
B,gaussian,poisson,True,False,X-only (fix_w),False,3,0.24260113466977462,0.07564054573577254,2.7465180517585783,0.3099644032039193
B,gaussian,poisson,True,False,X-only (fix_w),False,4,0.261281447781418,0.06082300798680363,2.32440619073177,0.3202977591416718
B,gaussian,poisson,True,False,X-only (fix_w),False,5,0.23815809724450746,0.06436761105854566,2.524584115256829,0.3000651878145903
B,gaussian,poisson,True,False,X-only (fix_w),False,6,0.2911478570132353,0.11173344516399193,3.861605122544982,0.31021077265039587
B,gaussian,poisson,True,False,X-only (fix_w),False,7,0.21724393359620378,0.050961635959426196,2.308707498015585,0.31411633181424775
B,gaussian,poisson,True,False,X-only (fix_w),False,8,0.26268815877911234,0.05318886766182738,2.4461232293452415,0.3211288188814315
B,gaussian,poisson,True,False,X-only (fix_w),False,9,0.2507333941725057,0.09984697292716468,2.5300284939171847,0.3048398369546585
