scenario,k_true,k_est,trial,rmse_Z,BIC
C,3,7,4,0.4257040207117944,-33933.50663674324
C,3,8,0,0.5395975986677155,-32937.410498733734
C,3,8,1,0.5778217759589288,-33578.18046683158
C,3,8,2,0.4547587687749776,-33228.64860274736
C,3,8,3,0.4434741558473929,-33458.237523458534
C,3,8,4,0.5684656658203602,-33368.23756953443
C,3,9,0,0.5282528355382684,-32446.827966025387
C,3,9,1,0.6548033411968449,-33072.87911001031
C,3,9,2,0.7040434356483165,-32703.162844450755
C,3,9,3,0.46985215878899406,-32940.57112489551
C,3,9,4,0.6443614195059728,-32886.37004637644
C,3,10,0,0.6517790502895187,-31987.0397178023
C,3,10,1,0.7916354084976447,-32625.541227681966
C,3,10,2,0.5684346074422849,-32282.923776415457
C,3,10,3,0.6389054296251296,-32490.68997514991
C,3,10,4,0.34912963029417343,-32407.527330333778
C,5,1,0,0.9154716867661004,13780.11811868925
C,5,1,1,1.376116023713123,13604.858724528784
C,5,1,2,0.9694737206058052,13903.583991859548
C,5,1,3,0.9251837304541218,13814.915788978118
C,5,1,4,1.0900080729560617,13821.697730910993
C,5,2,0,0.6703654042993716,9634.077025027445
C,5,2,1,0.875299011074219,9649.871199172725
C,5,2,2,0.9313607605585842,10650.900671464942
C,5,2,3,0.8391977264537749,10749.576100004335
C,5,2,4,0.9566206329584794,10308.73203049319
C,5,3,0,0.6033987176381475,4298.825630151618
C,5,3,1,0.6475114936191377,3888.7779169893256
C,5,3,2,0.8112789270057201,5495.027691222882
C,5,3,3,0.6750562713538728,6491.740848402335
C,5,3,4,0.7430208653445023,5278.274696470553
C,5,4,0,0.6078344157929855,-5863.767438199223
C,5,4,1,0.37142274194298563,-4482.554380525068
C,5,4,2,0.42617605705862366,-3250.1050835806172
C,5,4,3,0.627242485164866,-839.4671105742286
C,5,4,4,0.3860831507087239,-4698.596577014103
C,5,5,0,0.02927132452125605,-34302.532510993355
C,5,5,1,0.02952387654269519,-34377.45381246192
C,5,5,2,0.02894535145894536,-34438.92815129533
C,5,5,3,0.029917574518245085,-34241.80263151338
C,5,5,4,0.02858167571712729,-34575.072429079075
C,5,6,0,0.19656676033022397,-33844.20613352386
C,5,6,1,0.35240655089856926,-33867.19267244049
C,5,6,2,0.24662461422453025,-34040.61367853112
C,5,6,3,0.16409257922209164,-33757.51113419339
