scenario,model_fx,model_fy,fix_w,fix_x,condition,correct,trial,rmse_Z,rmse_F,rmse_Y,rmse_X
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,1,0.957938692336976,0.5195543483497652,0.5033659340795789,0.6750050732325763
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,2,0.99399701281195,0.4843034712943997,0.5031559038517444,0.6695458821542603
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,3,0.9251189943571078,0.4977219748537546,0.5000527630754301,0.6645381696393892
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,4,0.9814516902650969,0.47523368161296065,0.5048491478472062,0.6536742695234765
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,5,1.0516554147852657,0.5135433743468695,0.5009298163394028,0.6564185266802217
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,6,0.9770497566555123,0.48368007582762595,0.5062613155658895,0.6648934497583818
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,7,0.9586111439804996,0.4476656296718736,0.5032706348805276,0.652480077865855
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,8,1.073241901660552,0.564665759831432,0.5063939711788079,0.6835701602107026
C,poisson,bernoulli,False,False,"X=Poisson, Y=Bernoulli",False,9,0.923408375604242,0.48896178999387,0.4941910840970285,0.6434708901640928
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,0,0.30046424470636585,0.4281651161950327,1.8089878485281778,0.6962988346665787
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,1,0.3244460110906922,0.4456395228347393,2.5519609676218447,0.6935345158505642
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,2,0.32335726966589007,0.44733042774977727,1.879810483636384,0.6917892475918186
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,3,0.3155917070322825,0.4431676080946508,2.0677628195309787,0.686635127080601
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,4,0.3312348756438352,0.4461353090822042,2.034656268003955,0.6880526335373284
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,5,0.3048120820813055,0.4419482166510835,1.6353319013713226,0.6968467501509457
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,6,0.3277779445264951,0.44482092222506714,2.4938759669433233,0.6933803253104661
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,7,0.32711752392833426,0.4398851174956565,1.659975463178447,0.6902870499412828
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,8,0.31453605788909655,0.43677621635988073,3.360279318113459,0.7077245105815314
C,poisson,poisson,False,False,"X=Poisson, Y=Poisson",False,9,0.33874593380078727,0.44768469296846486,2.3324596043066754,0.7021036752516968
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,0,0.027301670144973273,0.5477225575051661,0.03347021716241197,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,1,0.026654964321993935,0.5477225575051661,0.0327605245711857,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,2,0.028010202391597565,0.5477225575051661,0.034052462080586404,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,3,0.027788232213762906,0.5477225575051662,0.03408435242740098,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,4,0.02841183421176954,0.5477225575051661,0.03372734185480844,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,5,0.029227078571124995,0.5477225575051661,0.0357043807141925,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,6,0.029692810950872013,0.5477225575051661,0.03612949574749684,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,7,0.030921766201293555,0.5477225575051661,0.03718332832489726,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,8,0.028604827818347552,0.5477225575051661,0.03473332163282844,0.5
C,bernoulli,gaussian,False,True,Y-only (fix_x),False,9,0.029524339332560687,0.5477225575051661,0.035504505131804726,0.5
C,bernoulli,gaussian,True,False,X-only (fix_w),False,0,0.9827549491454781,0.29428176010853674,0.8599079405261394,0.4429264726170785
C,bernoulli,gaussian,True,False,X-only (fix_w),False,1,1.0900446376453252,0.45448454176502606,0.8591091094134723,0.46215155875591085
C,bernoulli,gaussian,True,False,X-only (fix_w),False,2,1.1200230295556965,0.3740844899102725,0.8629284965648513,0.4531121014306176
C,bernoulli,gaussian,True,False,X-only (fix_w),False,3,1.1087093521322207,0.3594786847355888,0.8565014108893872,0.446552361967211
C,bernoulli,gaussian,True,False,X-only (fix_w),False,4,1.114157344980005,0.3186463375549799,0.8694436620409568,0.468270847802792
C,bernoulli,gaussian,True,False,X-only (fix_w),False,5,1.183848934760153,0.39874864207329913,0.8579630492731802,0.45677910122667004
C,bernoulli,gaussian,True,False,X-only (fix_w),False,6,1.141479797517881,0.4111039545334903,0.8593996611060288,0.46313784502582933
C,bernoulli,gaussian,True,False,X-only (fix_w),False,7,1.069198153012937,0.31579973403581335,0.8654673882735111,0.455844766262499
C,bernoulli,gaussian,True,False,X-only (fix_w),False,8,1.0863944317735563,0.372444202702464,0.8590744537437045,0.46063705553273776
C,bernoulli,gaussian,True,False,X-only (fix_w),False,9,1.1274310355938133,0.423239795959159,0.8672217804026198,0.4550164265901742
