rmse_Z,rmse_F,rmse_sigma,rmse_Y,rmse_X,w0_err,w_err,d,trial
0.1671734238235119,0.03934011872708125,0.01417687177973692,0.6690768759660818,0.30973258085994,0.04086976805915373,0.025201463345094377,10,8
0.17599033559888352,0.041538224619705064,0.01991567925835155,0.6309623936906764,0.29050490789188615,0.007005903758825455,0.009818215433938404,10,9
0.16448222059427123,0.02388988866548705,0.012131823931475275,0.7602989619714347,0.3069705193670743,0.016875057483333584,0.006903253601553305,15,0
0.15538473701759156,0.023954211032729378,0.01244781097196185,0.5681478013929632,0.30959005144483026,0.005494075670053865,0.006627021542038258,15,1
0.1547861222072265,0.03381877228143724,0.015193188198428074,0.46578887569055366,0.31015069486401897,0.0096460780669228,0.0022310812426517,15,2
0.16063084515907766,0.029021705618159453,0.019414010941603683,0.6909490720767838,0.3045991381436307,0.032176194590218206,0.013407335583228763,15,3
0.2594076420907628,0.169515022990445,0.016446513746383278,1.1644184651200058,0.30981502122189897,0.12603393923461284,0.09934045191420926,15,4
0.15992371298122232,0.023449301407705198,0.01386582439573257,0.5821875939453621,0.30976873538209065,0.009017115662531255,0.0032791055974488725,15,5
0.15358649248607606,0.023489024194270305,0.012701188662049528,0.5804978156875666,0.30542807320409315,0.006934876728621029,0.007819290235332399,15,6
0.15903060056304633,0.023701791456490547,0.01683887240808517,0.5340623324609807,0.30601372335017113,0.0005412461526006074,0.0003981058955392358,15,7
0.17915428979974854,0.07217702036013342,0.012184482298568455,0.7572727044095718,0.307601840976744,0.08204881169682285,0.04377428407261946,15,8
0.15652653049866458,0.021844805176197746,0.016488887119226765,0.5142400744503807,0.3083847214098206,0.01324798142599615,0.002381980506273862,15,9
0.5040679409374311,0.4810550733119038,0.011579348570344102,1.5832013637908582,0.3073634750106062,0.2321972383752107,0.27059637558230626,20,0
0.4158356186636043,0.605361151140738,0.012377398113698293,1.2686559459556337,0.3152360228365888,0.20523494687321026,0.1812472165787728,20,1
0.1456606011282475,0.03352246755937532,0.013770409209077798,0.47240748902621227,0.30691793657192407,0.02453142622149451,0.01748692798785395,20,2
0.13886044105849318,0.02239963861908737,0.018786588831456254,0.4769490774192165,0.3123580231972494,0.009025038604306666,0.005282629526745741,20,3
0.14478718610414718,0.028506139484752068,0.014519676839325585,0.48679305206293977,0.30208592916544225,0.019460300075026717,0.010460608944990735,20,4
0.22168431460358773,0.12289325723779274,0.02010487603277751,0.8221360760828734,0.31491318969155424,0.11168484085753956,0.07980535354131518,20,5
0.13322149053298607,0.03512096382377684,0.01797879222957865,0.48772914871447254,0.29848889948085616,0.005778545192185218,0.0025777940715009384,20,6
0.13772031724590186,0.03167593316872633,0.017059809125207187,0.5197441498842443,0.3137676436837701,0.012994822869516505,0.009514465927632942,20,7
0.28581410432892257,0.19771443042185038,0.012577748996293128,1.748600450357668,0.30659277135869384,0.19650186056178287,0.13186447278695834,20,8
0.20432409976883067,0.0951147338354325,0.014011609405052448,1.0907330365902845,0.31266522597824276,0.10801795171944827,0.057112747196041924,20,9
0.14288983313636716,0.026112987651629335,0.014723731740442645,0.5263142609328139,0.302146084231948,0.0006392814601717054,0.004759453422203075,25,0
0.12976901581986572,0.030588015112607187,0.01894553843451323,0.4993447475547705,0.3198417799797273,0.019713112950728494,0.010925650794080699,25,1
0.1330294648200843,0.023028734848302892,0.012792248404732622,0.4472547178895877,0.30975819169115576,0.015625039082990975,0.004382783587348338,25,2
0.13940313482254052,0.028352432801978966,0.012135337759677735,0.49362017952978304,0.31597136216716043,0.019910680708442877,0.012442099699399245,25,3
0.1325536718420157,0.028972658163598883,0.016103390156066995,0.4663243914010391,0.3124467457951635,0.0038439411683176897,0.00028962292087042485,25,4
0.13901716946300563,0.031563231247405794,0.016049766783557348,0.8340850322540443,0.3092868842938806,0.026639324149002205,0.006968031192397639,25,5
0.13508472230245766,0.04062230510226688,0.016850952764119825,0.46780985127126823,0.3030549821382263,0.02310499432071891,0.013090267539649147,25,6
0.15228786598982139,0.07014755133803577,0.015029917383064775,0.8474543705024509,0.30817839803589697,0.08657630175460591,0.03919743813992488,25,7
0.13099204564332112,0.02914366729464532,0.016320647606206034,0.5361356150163359,0.3123385300603187,0.015520731354203267,0.008898718632604163,25,8
0.14150378271473651,0.03531971070290918,0.014278474975543659,0.939045158006295,0.31265586881512475,0.03477173987376465,0.01694034349691176,25,9
0.1333304808560161,0.025115595078932285,0.012812000512921338,0.5191189965453968,0.3065886177390785,0.004854789548251333,0.0011626354477415335,30,0
