scenario,k_true,k_est,trial,rmse_Z,BIC
B,3,9,3,0.7724736465605766,34624.20985034792
B,3,9,4,0.8318642812439402,35204.46239472396
B,3,10,0,0.8096402564067133,35439.41825509484
B,3,10,1,0.6601107987328995,35429.62658430778
B,3,10,2,0.8089991656483407,35173.433651025356
B,3,10,3,0.7235659154335351,35076.28242008767
B,3,10,4,0.59942250861628,35550.64241787556
B,5,1,0,0.8342942621396554,57652.32392092543
B,5,1,1,1.3386350555088236,59103.118633015234
B,5,1,2,1.298701135390701,57707.89879865243
B,5,1,3,1.0421253511626327,57902.72049066382
B,5,1,4,0.843177733063377,55633.45513668085
B,5,2,0,0.6708468355278047,49169.07732887629
B,5,2,1,1.049657659818561,50265.84787329447
B,5,2,2,0.7742511318868132,48706.73774204945
B,5,2,3,0.915247266810446,50522.260882661794
B,5,2,4,0.7994612158179214,48083.988269803216
B,5,3,0,0.7121625381503701,43160.67662074113
B,5,3,1,0.5805303366547111,43666.23885370884
B,5,3,2,0.6319914414496111,43290.04990642726
B,5,3,3,0.6005331794425175,44728.023462969715
B,5,3,4,0.6713280879742587,42444.01591341237
B,5,4,0,0.6100279361982797,37601.57100141378
B,5,4,1,0.3699647046367723,37848.69606586351
B,5,4,2,0.3885264591624275,37701.09242361195
B,5,4,3,0.5829959276595236,39115.65422083315
B,5,4,4,0.40578526298441425,37672.893148373005
B,5,5,0,0.175218685109205,34286.32728983252
B,5,5,1,0.17972270016226935,34308.37715326302
B,5,5,2,0.25088873226021885,35621.721099325485
B,5,5,3,0.1772204136684753,33984.546367645016
B,5,5,4,0.17559347691287128,33471.07460586092
B,5,6,0,0.2535600058334501,34544.20549268407
B,5,6,1,0.3619974938397852,34419.93983897109
B,5,6,2,0.38442924361423686,34497.05716363809
B,5,6,3,0.20999174492866413,34380.947507428
B,5,6,4,0.3953670604859284,33897.45573167922
B,5,7,0,0.34298040882180353,34888.35355700523
B,5,7,1,0.4449654845240744,34857.99757298642
B,5,7,2,0.46656289005497664,34896.45664159421
B,5,7,3,0.46210583600481164,34766.65937851942
B,5,7,4,0.5266548437842908,34275.321625239645
B,5,8,0,0.46882709599242156,35283.96092459536
B,5,8,1,0.5295935922456714,35294.8713598091
B,5,8,2,0.5395077729843267,35194.51075618957
B,5,8,3,0.616697306223663,35087.68693697583
B,5,8,4,0.5708113773842147,34699.85505779449
B,5,9,0,0.533942972954471,35744.43893861834
B,5,9,1,0.6615635238682828,35713.279068273616
B,5,9,2,0.5190002704171602,35611.09461698236
B,5,9,3,0.6550014390012207,35471.94039658368
B,5,9,4,0.7238716857559748,35113.299217091466
B,5,10,0,0.6294312958821059,36197.925670038334
B,5,10,1,0.6842719120403664,36020.96941875141
B,5,10,2,0.6738604384872224,36062.94436031221
B,5,10,3,0.5331243842063863,35873.268936468645
B,5,10,4,0.5480209631263694,35519.06045429076
B,7,1,0,1.125267664706589,75629.4665977457
B,7,1,1,0.7934270605104613,75516.09539042733
B,7,1,2,1.1887306069796681,80152.50227452682
B,7,1,3,1.0178255931666251,77497.06238785728
B,7,1,4,0.8190356917878732,74693.83351934205
B,7,2,0,1.021582458526522,62360.10921134587
B,7,2,1,0.9640225855438054,61249.97882941237
B,7,2,2,0.9199403455473084,65068.277798229596
B,7,2,3,1.0237749729338785,63668.099961373926
B,7,2,4,1.022404169767114,61773.69227354383
B,7,3,0,0.9212785592268641,54105.13795150995
B,7,3,1,0.8307846672469729,53381.41058143243
B,7,3,2,0.9570723575986909,55654.90745074908
B,7,3,3,0.809803150520085,53625.67392050593
B,7,3,4,0.8166530543259346,54331.825641030526
B,7,4,0,0.6546721332873047,47701.60153882701
B,7,4,1,0.7860775388698921,47945.74512631371
B,7,4,2,0.6556154411094741,47473.76282159975
B,7,4,3,0.7995177682939975,47431.83500648135
B,7,4,4,0.7917112856519971,48486.3340660436
B,7,5,0,0.5871630600449163,41425.047680897114
B,7,5,1,0.6406434305549765,43438.69530667538
B,7,5,2,0.6130562011553958,41300.65315479312
B,7,5,3,0.6916041613290727,41503.11656086461
B,7,5,4,0.5882110079353081,43484.24782457955
B,7,6,0,0.45424416496263537,37996.48027191347
B,7,6,1,0.5314419303974974,38984.095871020254
B,7,6,2,0.47471920999576644,39342.13478768582
B,7,6,3,0.5320578850081586,38612.712945233754
B,7,6,4,0.48878283889488183,39162.74807376165
B,7,7,0,0.20008681368476908,36036.53900384583
