scenario,k_true,k_est,trial,rmse_Z,BIC
A,7,2,2,1.0395791128540415,20825.12385916185
A,7,2,3,0.8697549128086881,21098.57254354078
A,7,2,4,0.9142244646895878,22275.16167744245
A,7,3,0,0.9020450909245388,20874.226787620693
A,7,3,1,0.8838950809939534,20733.165728236178
A,7,3,2,1.0010109232883118,19670.11476204434
A,7,3,3,0.7881663213305417,20042.605263404657
A,7,3,4,0.8146813109521269,20889.428226335815
A,7,4,0,0.773216280444116,19347.731058181686
A,7,4,1,0.8230386227012638,19443.333511052933
A,7,4,2,0.8240882602673468,18861.127153018326
A,7,4,3,0.8010192218859449,19162.188660364674
A,7,4,4,0.8268286457894712,19451.544764784707
A,7,5,0,0.6305023062987747,18408.194175606146
A,7,5,1,0.8203962790061461,18772.95544843723
A,7,5,2,0.6277890240573424,17829.11731682023
A,7,5,3,0.7463704959728606,18503.280231501998
A,7,5,4,0.6962730820899095,18441.801763807285
A,7,6,0,0.5552732639537631,17581.006458241358
A,7,6,1,0.5945110339392051,17914.620509568747
A,7,6,2,0.5825242387495849,17530.40794169595
A,7,6,3,0.6069059637589524,18031.290186162656
A,7,6,4,0.5767216884205598,17851.818876065976
A,7,7,0,0.35957105607893836,17233.162671474187
A,7,7,1,0.3774896161689535,17338.370583960645
A,7,7,2,0.36870905674217447,17413.791541137136
A,7,7,3,0.36973097459648785,17474.853264799738
A,7,7,4,0.36255612012356103,17098.033860198935
A,7,8,0,0.4702236733251411,17849.572528154364
A,7,8,1,0.5229315326814765,17950.386874251726
A,7,8,2,0.5729960011203457,17878.737533225587
A,7,8,3,0.470600253231352,18081.631665663346
A,7,8,4,0.5369994201700609,17566.794065070695
A,7,9,0,0.5330649947481371,18354.04971470797
A,7,9,1,0.6163710924953368,18431.541413800373
A,7,9,2,0.5423118553918531,18423.98667770013
A,7,9,3,0.5856030740058188,18494.408750503426
A,7,9,4,0.6680452707628844,18255.255123494353
A,7,10,0,0.6055459409394686,18795.150653150227
A,7,10,1,0.704168809399698,18878.685468188432
A,7,10,2,0.5760588386764492,18919.537562716276
A,7,10,3,0.60279171915752,18909.50458453256
A,7,10,4,0.6843167252839465,18602.759206506387
A,9,1,0,1.3985205407501513,23507.54228352104
A,9,1,1,1.1684547928129578,23786.71848466406
A,9,1,2,1.1758990199752961,23200.090517107303
A,9,1,3,1.225082547179409,23301.291999349345
A,9,1,4,0.9925688101843938,23104.097479695094
A,9,2,0,1.2676957979523327,22524.172240597738
A,9,2,1,1.0682651747234468,22739.411706576204
A,9,2,2,1.148698509297817,21915.88970375473
A,9,2,3,0.9682625144060394,22173.868541758602
A,9,2,4,0.9845151047108234,21950.532326589408
A,9,3,0,1.0947991814803313,21437.054526672357
A,9,3,1,0.8834315172666354,21524.63245520892
A,9,3,2,0.9705002732782628,21042.57888390116
A,9,3,3,0.9106041372087299,21226.929910550207
A,9,3,4,0.9458438467138507,21221.615328619977
A,9,4,0,0.8729432355464918,20525.047145969995
A,9,4,1,0.8541560882213886,20953.720856942848
A,9,4,2,0.8923203749800477,20199.167316856572
A,9,4,3,0.8978275796899453,20364.32046781312
A,9,4,4,0.9707476158557734,20491.663328801984
A,9,5,0,0.8129781147018786,19866.884203051373
A,9,5,1,0.8382717056556845,20069.812559116184
A,9,5,2,0.8214518645193217,19555.115801324373
A,9,5,3,0.7964376657656287,19768.913742719626
A,9,5,4,0.8202363930625113,19792.553053612308
A,9,6,0,0.7367732787022097,19221.005251873867
A,9,6,1,0.6493099883024304,19464.92521803231
A,9,6,2,0.6998969772472549,18983.035403265312
A,9,6,3,0.6874117151780548,19454.378904239653
A,9,6,4,0.6627970132917379,19137.92091973976
A,9,7,0,0.6830991070943703,18736.574566665753
A,9,7,1,0.614605828396936,18885.719442911093
A,9,7,2,0.6025970988918775,18251.41038664734
A,9,7,3,0.5972964980375719,18839.735082768944
A,9,7,4,0.6591239235935754,18578.06337155904
A,9,8,0,0.5454469260104066,18407.113099603426
A,9,8,1,0.5411486886636887,18730.98427631342
A,9,8,2,0.4820196152805875,18039.915927149083
A,9,8,3,0.5522869154147855,18327.29077921676
A,9,8,4,0.484478331975148,18284.721414828764
A,9,9,0,0.41326764013729267,18053.604222493093
A,9,9,1,0.3880019022836992,18332.72896828554
A,9,9,2,0.40358933243184664,17932.47225684197
A,9,9,3,0.4027882451119708,18090.98420036356
A,9,9,4,0.4149394064250751,18194.47683653929
A,9,10,0,0.47970452680765313,18642.35099551195
A,9,10,1,0.5252181493216754,18959.20356841047
A,9,10,2,0.5503984755002254,18518.313502044228
A,9,10,3,0.5100219258142462,18520.975709024777
A,9,10,4,0.5474733336258844,18800.453416527605
