method,k,split_trial,test_auc_sampled,test_ap_sampled,test_auc_all_candidates,test_ap_all_candidates,precision_at_10,recall_at_10,ndcg_at_10,map_at_10,hit_rate_at_10,ap_sampled_mean,auc_sampled_mean,ap_all_candidates_mean,auc_all_candidates_mean,precision_at_10_mean,recall_at_10_mean,ndcg_at_10_mean,map_at_10_mean,hit_rate_at_10_mean
item_item,,1,0.00303030303030305,0.16666666666666666,0.0035729753139887577,0.014090520922288642,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.003030303030303031,0.014090520922288642,0.0035729753139887577,0.0,0.0,0.0,0.0,0.0
proposed_dual_expfam,3.0,1,0.8808999081726354,0.6748719215114879,0.8827644132971114,0.24689333994028734,0.1396551724137931,0.5479885057471264,0.4128659519689292,0.31789465882138296,0.7241379310344828,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
proposed_dual_expfam,5.0,1,0.8179981634527089,0.5955346712830517,0.8270830872606533,0.22003126759367006,0.11206896551724138,0.4620689655172414,0.356353841521965,0.2703857644590403,0.6206896551724138,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
proposed_dual_expfam,8.0,1,0.8707988980716255,0.7052809661437138,0.8722062548394294,0.25927921467400217,0.14137931034482756,0.557183908045977,0.41160092877271975,0.3108416575442437,0.7068965517241379,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
popularity,,2,0.5697658402203858,0.1940383695821037,0.5450132551150307,0.017333033200314242,0.00784313725490196,0.05294117647058824,0.031682781306614824,0.021633986928104573,0.0784313725490196,0.1996838380713283,0.5668732782369146,0.018514044102107677,0.5572020551990237,0.012959206671174216,0.06601870633310795,0.040180830149909516,0.024372887085868832,0.11809781383817895
genre_cosine,,2,0.60034435261708,0.2497402388022018,0.6001581427090306,0.034126374108387134,0.0627450980392157,0.23986928104575164,0.15039998778722696,0.08865001556178025,0.43137254901960786,0.2653784601114646,0.597757881848791,0.036708071915355474,0.5949337462979732,0.05482307865675007,0.21305029674705134,0.1382802561612996,0.08279593430603403,0.39666441289159343
popularity_genre,,2,0.611524334251607,0.24253637188464158,0.6065018964001208,0.02110094770910386,0.05882352941176471,0.257843137254902,0.1962081134407606,0.15051561365286856,0.43137254901960786,0.23996628469401524,0.6212197734925008,0.022208153785389154,0.617815224571396,0.05868830290736985,0.2703346855983773,0.1733042593590368,0.11590679641375494,0.4656299301329727
item_item,,2,0.001515151515151525,0.16666666666666666,0.0035729753139887577,0.014090520922288642,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.003030303030303031,0.014090520922288642,0.0035729753139887577,0.0,0.0,0.0,0.0,0.0
proposed_dual_expfam,3.0,2,0.8505968778696051,0.6189035063715158,0.853412864023518,0.16998216456413837,0.14117647058823532,0.4841503267973856,0.35697712921567204,0.2593396617906421,0.6666666666666666,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
proposed_dual_expfam,5.0,2,0.8534435261707989,0.6294743569834732,0.86967006575062,0.2595238139571214,0.1411764705882353,0.49493464052287583,0.41003922749804267,0.323823140367258,0.6470588235294118,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
proposed_dual_expfam,8.0,2,0.8726813590449954,0.6701544697927618,0.879066761158576,0.19425962745479164,0.1627450980392157,0.5472222222222223,0.40459371581984377,0.30269581906836807,0.7058823529411765,0.6765485632553161,0.8669676563615958,0.23839791554497433,0.8692183856757265,0.1419840733228157,0.5356177847895225,0.40771386459111075,0.31509398331490956,0.6841709864022237
