scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type,status
A_Pois_Bern,dual_expfam,poisson,bernoulli,2,3,0,150,15,0.5166644755133692,0.20551460915232245,0.1958651454975537,1.3426778221994389,0.9000000000000001,0.19118496009669805,0.3156532554019926,18415.10489894684,-9134.898237709025,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,2,3,0,150,15,0.7136594821208168,1.284803081904699,0.2515965311778566,2.089013301525824,5.502080718530687,0.09096293535976163,0.5863148531682083,22970.90234453114,-11375.217195795452,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,2,3,1,150,15,0.572886089888516,0.31718115835375704,0.20232694218887998,1.514739669820077,0.9000000000000001,0.2034299215964921,0.24161973571696738,18699.62082388116,-9277.156200176185,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,2,3,1,150,15,0.8600637756267702,1.464143969379867,0.2432718456627533,1.823148441594075,3.3952405231049276,0.03650623413595988,0.6130505455993972,22239.28844812204,-11009.410247590902,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,2,3,2,150,15,0.7338427508668305,0.40978579981551655,0.1904810529190066,1.5059906839379333,0.9000000000000001,0.18660476633956213,0.26085172816225977,18450.067722074236,-9152.379649272723,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,2,3,2,150,15,0.8590949445528817,1.4124787303447284,0.2446897243039587,1.8268344297151247,3.525004276455184,0.0755141568950135,0.6092652014378477,22131.975866926325,-10955.753956993045,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,2,3,3,150,15,0.950594258867376,0.4919884086409322,0.21399766179050916,1.5771615063638602,0.9000000000000001,0.2229589031357051,0.41345487590274277,19216.18392108163,-9535.43774877642,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,2,3,3,150,15,0.9021436773579081,1.6527825218062866,0.2620934976552685,1.9597362712959405,4.113513436086236,0.047720658164085994,0.5498085879599844,23351.531673409747,-11565.531860234756,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,2,3,4,150,15,0.7870829564216111,0.33971615736164995,0.22088131624885027,1.6507357639861218,0.9000000000000001,0.2250237333702496,0.5032235462212549,19515.646785979487,-9685.169181225348,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,2,3,4,150,15,1.082390441444522,1.3728113145396788,0.2691421596374416,2.0209067544223367,4.239857797031955,0.018969985898926733,0.82263309483517,23548.883040086457,-11664.207543573111,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,3,3,0,150,15,0.30379689229837353,0.07790225042913011,0.1342302876359791,1.1976888855730727,0.9000000000000001,0.05460544618914964,0.1852788812843349,17146.525834373588,-8468.039576010773,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,3,3,0,150,15,0.7438524787036033,1.5149968887992957,0.2088610432474295,1.6710248840709416,3.894928881688661,0.04237928923388701,0.3775036324759693,21290.42472826501,-10502.409258250762,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,3,3,1,150,15,0.2744490677165576,0.06496310870400676,0.11902258172039959,1.1889258080026233,0.9000000000000001,0.042536864992265166,0.11560911566432819,16709.17444119558,-8249.36387942177,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,3,3,1,150,15,0.632629915455368,1.2013741777471714,0.20118871547992834,1.5648793295576544,2.5703433040161108,0.1137951099442025,0.5082122009758886,20837.15917516633,-10275.776481701421,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,3,3,2,150,15,0.2655525917110631,0.07109479720565294,0.11496709130532871,1.2217032827897423,0.9000000000000001,0.039164182570226136,0.14337573307022655,16692.635340481123,-8241.094329064541,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,3,3,2,150,15,0.6812441802219769,1.1683466221526584,0.20079681224110077,1.6276359332845876,2.7469327320356816,0.21349233649834098,0.5225313102411709,20907.15689323435,-10310.775340735432,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,3,3,3,150,15,0.2681889903912467,0.061116320488753574,0.12547847421135877,1.2012336929632492,0.9000000000000001,0.043058626921568144,0.12627245111459184,16861.43164292947,-8325.492480288714,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,3,3,3,150,15,0.7587290226986405,1.4965092311204384,0.21017908290726794,1.7826636339002808,3.4565603643349485,0.09977013369506049,0.3463826173940816,21949.402776968673,-10831.898282602593,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,3,3,4,150,15,0.2871407325296677,0.07259052766411592,0.13126689460340016,1.2403527268622139,0.9000000000000001,0.030381191463119017,0.16979257838026496,17140.042099503153,-8464.797708575556,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,3,3,4,150,15,0.5926395922762682,1.0708253036150992,0.21173714657512183,1.83734799156973,3.594570878789858,0.09282569005565078,0.49436011644983924,21806.975660924683,-10760.684724580598,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,4,3,0,150,15,0.529282018976641,0.1897453319493751,0.13696876466440383,1.182642485520594,0.9000000000000001,0.05095304862968175,0.44791334911949865,17592.81980656229,-8661.122750340546,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,4,3,0,150,15,0.47547472922987855,0.8563691169785669,0.14648100327054836,1.5647847344313288,3.2015668354447273,0.23854784567096354,0.20046885061396114,20074.536179628067,-9864.401172167713,True,auxiliary,ok
A_Pois_Bern,dual_expfam,poisson,bernoulli,4,3,1,150,15,0.7138925832687001,0.31517676164504305,0.1331407489128719,1.2002816387615332,0.9000000000000001,0.05164310312823106,0.4111685894402157,17215.036552797308,-8472.231123458056,False,auxiliary,
A_Pois_Bern,baseline_X_misspecified,gaussian(assumed),bernoulli,4,3,1,150,15,0.6424348547036423,1.2981093644761963,0.12910779753632412,1.37906818777058,1.8956870370058405,0.2960227615102351,0.3183438277697035,19294.39781782219,-9474.331991264775,True,auxiliary,ok
