scenario,model,family_x,family_y,k_est,k_true,trial,n,d,rmse_Z,rmse_F,rmse_Y,rmse_X,rmse_sigma,w0_err,w_err,BIC,Q_strict,x_misspecified,comparison_type
Control,baseline,gaussian,bernoulli,3,3,0,150,15,0.2036505998963079,0.056931074640141466,0.10149630945434743,0.30060340491195703,0.019109077643603683,0.07071163974981065,0.10069019704996096,12031.275610772956,-5872.834699504735,False,main
Control,dual_expfam,gaussian,bernoulli,3,3,1,150,15,0.17906346350847663,0.04522463365226458,0.08910416834353187,0.31397025583354543,0.016279915400772064,0.04057276702247381,0.1157656819723698,12024.920349147756,-5869.657068692135,False,main
Control,baseline,gaussian,bernoulli,3,3,1,150,15,0.17906346350847654,0.04522463365226445,0.08910416834353183,0.31397025583354543,0.01627991540077206,0.04057276702247359,0.11576568197236958,11971.922185419615,-5843.157986828064,False,main
Control,dual_expfam,gaussian,bernoulli,3,3,2,150,15,0.17385116735677417,0.03200946201471428,0.0823719162849495,0.31130306359762944,0.018798971813004856,0.05247087867875222,0.046265084138352064,11603.742658362014,-5659.068223299264,False,main
Control,baseline,gaussian,bernoulli,3,3,2,150,15,0.17385116735677422,0.032009462014714295,0.0823719162849495,0.31130306359762944,0.018798971813004852,0.052470878678752664,0.046265084138352064,11548.324161949757,-5631.358975093135,False,main
Control,dual_expfam,gaussian,bernoulli,3,3,3,150,15,0.16608849312024515,0.028918130915682353,0.08074571468759124,0.3035143939988942,0.012769056439184877,0.05411519531286668,0.034138111325215936,11913.873172712334,-5814.133480474424,False,main
Control,baseline,gaussian,bernoulli,3,3,3,150,15,0.16608849312024512,0.028918130915682475,0.08074571468759123,0.3035143939988942,0.012769056439184873,0.05411519531286657,0.034138111325215714,11898.345120761416,-5806.369454498965,False,main
Control,dual_expfam,gaussian,bernoulli,3,3,4,150,15,0.1740686832055863,0.03537467906627196,0.08660320244721306,0.304907920869701,0.01274206380330567,0.08168336085528571,0.11735382154810248,12143.517123444273,-5928.955455840393,False,main
Control,baseline,gaussian,bernoulli,3,3,4,150,15,0.17406868320558627,0.035374679066271994,0.08660320244721308,0.304907920869701,0.01274206380330567,0.08168336085528616,0.11735382154810292,12123.306554400695,-5918.850171318604,False,main
Control,dual_expfam,gaussian,bernoulli,4,3,0,150,15,0.4790113640313897,0.1740646505787326,0.11289101330531588,0.29537475485223297,0.02027879509225004,0.05898611166738432,0.3689502819877908,12511.196228814952,-6082.731196761155,False,main
Control,baseline,gaussian,bernoulli,4,3,0,150,15,0.4790113640313892,0.17406465057873272,0.11289101330531585,0.29537475485223297,0.020278795092250033,0.05898611166738432,0.368950281987791,12486.194325024648,-6070.230244866003,False,main
Control,dual_expfam,gaussian,bernoulli,4,3,1,150,15,0.7104598119982608,0.30016425245299977,0.09948333708811563,0.3162616640841714,0.0153478135490729,0.02048352987680968,0.3899042608134755,12461.15000548437,-6057.708085095864,False,main
Control,baseline,gaussian,bernoulli,4,3,1,150,15,0.7132135725888612,0.2857084050529391,0.10568160876299391,0.31532475668516846,0.015038153488136679,0.033781497258049575,0.38161872403246555,12422.536221166132,-6038.401192936745,False,main
Control,dual_expfam,gaussian,bernoulli,4,3,2,150,15,0.3024729141906304,0.13392045488340348,0.10077957976103037,0.30646133829595684,0.018599755389377894,0.040982686219299236,0.34682896136840946,12077.680824531464,-5865.973494619411,False,main
Control,baseline,gaussian,bernoulli,4,3,2,150,15,0.30247291419063016,0.13392045488340312,0.10077957976103037,0.30646133829595684,0.01859975538937793,0.04098268621929946,0.3468289613684088,12051.23531664341,-5852.750740675384,False,main
Control,dual_expfam,gaussian,bernoulli,4,3,3,150,15,0.656687054500776,0.30354403377288625,0.10265784255158932,0.2989294526707494,0.015567020669410995,0.059127297720316885,0.33613895844950026,12355.018686765523,-6004.642425736441,False,main
